clave_estado,estado,clave_municipio,municipio,Total_Creditos,Total_Monto_MXN,Ticket_Promedio_MXN,Creditos_Mujer,Creditos_Hombre,Pct_Creditos_Mujeres
01,Aguascalientes,001,Aguascalientes,138447,61318438849.10331,442901.9,57.0,55.0,50.89
01,Aguascalientes,002,Asientos,4815,180662722.279956,37520.81,0.0,0.0,0.0
01,Aguascalientes,003,Calvillo,1306,159428715.7834784,122074.05,0.0,0.0,0.0
01,Aguascalientes,004,Cosío,2294,94680229.1396672,41272.99,0.0,0.0,0.0
01,Aguascalientes,005,Jesús María,17979,12097426126.625504,672864.24,35.0,47.0,42.68
01,Aguascalientes,006,Pabellón de Arteaga,3470,802208207.9797784,231183.92,0.0,0.0,0.0
01,Aguascalientes,007,Rincón de Romos,4072,803215156.4354496,197253.23,0.0,0.0,0.0
01,Aguascalientes,008,San José de Gracia,576,27267037.567228,47338.61,0.0,0.0,0.0
01,Aguascalientes,009,Tepezalá,1595,44396260.9356688,27834.65,0.0,0.0,0.0
01,Aguascalientes,010,El Llano,2269,82886130.4002016,36529.81,11.0,16.0,40.74
01,Aguascalientes,011,San Francisco de los Romo,12441,3947038931.330484,317260.58,0.0,0.0,0.0
02,Baja California,001,Ensenada,43664,14082362387.608057,322516.54,0.0,0.0,0.0
02,Baja California,002,Mexicali,123409,55354046394.9147,448541.41,0.0,0.0,0.0
02,Baja California,003,Tecate,10360,1415171793.100201,136599.59,56.0,33.0,62.92
02,Baja California,004,Tijuana,240589,95961327609.04242,398860.0,143.0,79.0,64.41
02,Baja California,005,Playas de Rosarito,9685,4431704010.4757395,457584.31,108.0,80.0,57.45
02,Baja California,006,San Quintín,684,27737947.7841056,40552.56,194.0,179.0,52.01
02,Baja California,007,San Felipe,15,9493671.3392512,632911.42,0.0,0.0,0.0
03,Baja California Sur,001,Comondú,5273,1915840266.925377,363330.22,0.0,0.0,0.0
03,Baja California Sur,002,Mulegé,4810,999619501.7129704,207821.1,0.0,0.0,0.0
03,Baja California Sur,003,La Paz,40075,18430832638.730427,459908.49,46.0,42.0,52.27
03,Baja California Sur,008,Los Cabos,65895,22392339525.897335,339818.49,0.0,0.0,0.0
03,Baja California Sur,009,Loreto,1300,332462033.2789936,255740.03,0.0,0.0,0.0
04,Campeche,001,Calkiní,9728,1206624998.0655448,124036.29,229.0,373.0,38.04
04,Campeche,002,Campeche,42420,8271220834.1126795,194983.99,19.0,18.0,51.35
04,Campeche,003,Carmen,29316,7702963199.881053,262756.28,0.0,0.0,0.0
04,Campeche,004,Champotón,8815,626163107.7873096,71033.82,8.0,2.0,80.0
04,Campeche,005,Hecelchakán,3244,372832573.97653604,114929.89,0.0,0.0,0.0
04,Campeche,006,Hopelchén,3249,210464113.511432,64778.12,0.0,0.0,0.0
04,Campeche,007,Palizada,3658,79855217.8234296,21830.29,0.0,0.0,0.0
04,Campeche,008,Tenabo,1958,122361768.2328632,62493.24,0.0,0.0,0.0
04,Campeche,009,Escárcega,6008,761654941.41364,126773.46,9.0,3.0,75.0
04,Campeche,010,Calakmul,3146,108492279.990276,34485.79,113.0,74.0,60.43
04,Campeche,011,Candelaria,4801,572199167.8742568,119183.33,81.0,33.0,71.05
04,Campeche,012,Seybaplaya,282,44940342.6001472,159362.92,0.0,0.0,0.0
04,Campeche,013,Dzitbalché,750,28382247.168944,37843.0,0.0,0.0,0.0
05,Coahuila de Zaragoza,001,Abasolo,297,16615477.0723696,55944.37,0.0,0.0,0.0
05,Coahuila de Zaragoza,002,Acuña,44478,9713858567.653442,218396.93,63.0,48.0,56.76
05,Coahuila de Zaragoza,003,Allende,1756,435384341.4102736,247940.97,2.0,2.0,50.0
05,Coahuila de Zaragoza,004,Arteaga,5994,4834228422.557201,806511.25,0.0,0.0,0.0
05,Coahuila de Zaragoza,005,Candela,246,7811835.3486,31755.43,0.0,0.0,0.0
05,Coahuila de Zaragoza,006,Castaños,5080,904452354.692116,178041.8,0.0,0.0,0.0
05,Coahuila de Zaragoza,007,Cuatro Ciénegas,1224,213005482.7743064,174024.09,0.0,0.0,0.0
05,Coahuila de Zaragoza,008,Escobedo,365,15157995.7527728,41528.76,0.0,0.0,0.0
05,Coahuila de Zaragoza,009,Francisco I. Madero,9716,1517604777.431696,156196.46,0.0,0.0,0.0
05,Coahuila de Zaragoza,010,Frontera,13005,2699572597.4938817,207579.59,0.0,0.0,0.0
05,Coahuila de Zaragoza,011,General Cepeda,1656,101152822.185996,61082.62,0.0,0.0,0.0
05,Coahuila de Zaragoza,012,Guerrero,217,15067128.2148,69433.77,0.0,0.0,0.0
05,Coahuila de Zaragoza,013,Hidalgo,123,14168712.5761,115192.79,0.0,0.0,0.0
05,Coahuila de Zaragoza,014,Jiménez,1211,12735548.0024176,10516.55,17.0,29.0,36.96
05,Coahuila de Zaragoza,015,Juárez,4762,84180316.2271,17677.51,0.0,0.0,0.0
05,Coahuila de Zaragoza,016,Lamadrid,186,21507853.5340584,115633.62,0.0,0.0,0.0
05,Coahuila de Zaragoza,017,Matamoros,16456,2608300350.36787,158501.48,12.0,15.0,44.44
05,Coahuila de Zaragoza,018,Monclova,31484,8172371157.781921,259572.2,10.0,3.0,76.92
05,Coahuila de Zaragoza,019,Morelos,492,58869992.7423528,119654.46,0.0,0.0,0.0
05,Coahuila de Zaragoza,020,Múzquiz,5549,1143238951.6146023,206026.12,0.0,0.0,0.0
05,Coahuila de Zaragoza,021,Nadadores,977,120065519.6833168,122892.04,0.0,0.0,0.0
05,Coahuila de Zaragoza,022,Nava,3548,1055932072.0224304,297613.32,0.0,0.0,0.0
05,Coahuila de Zaragoza,023,Ocampo,980,52324700.8951784,53392.55,0.0,0.0,0.0
05,Coahuila de Zaragoza,024,Parras,3768,956754302.9716576,253915.69,0.0,0.0,0.0
05,Coahuila de Zaragoza,025,Piedras Negras,25774,7641113444.176357,296465.95,12.0,18.0,40.0
05,Coahuila de Zaragoza,026,Progreso,444,23997284.9336448,54047.94,0.0,0.0,0.0
05,Coahuila de Zaragoza,027,Ramos Arizpe,22927,9983039775.974142,435427.22,0.0,0.0,0.0
05,Coahuila de Zaragoza,028,Sabinas,7853,2048973763.4356544,260916.05,0.0,0.0,0.0
05,Coahuila de Zaragoza,029,Sacramento,594,77496536.8153096,130465.55,0.0,0.0,0.0
05,Coahuila de Zaragoza,030,Saltillo,130669,54851182785.76045,419771.96,0.0,1.0,0.0
05,Coahuila de Zaragoza,031,San Buenaventura,3388,844973414.90328,249401.83,0.0,0.0,0.0
