Diagnostico,cp_extraido,Estado,Ubicacion,Precio_MXN
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,21853,Baja-California,"Av Acacias, Col. Rancho del Sol (El Dorado), San Felipe, Baja California, México, C.P. 21853, ID: 29054860",4600000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25356,Coahuila,"Se vende casa en Oscar Flores Tapia #1, Col. Parque Industrial Fundadores, Arteaga, Coahuila de Zaragoza, México, C.P. 25356, ID: 30567936",4490000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25367,Coahuila,"Venta de casa Libramiento Oscar Flores Tapia, Col. Loma Alta, Arteaga, Coahuila de Zaragoza, México, C.P. 25367, ID: 30349308",4300000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25356,Coahuila,"Casa en venta disponible en Sin nombre de calle, Col. Privadas los Llanos, Arteaga, Coahuila de Zaragoza, México, C.P. 25356, ID: 29924287",2300000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25310,Coahuila,"Casa en venta, , Col. El Sauz, Saltillo, Coahuila de Zaragoza, México, C.P. 25310, ID: 26767986",5800000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25356,Coahuila,"Venta de casa Av. Valle del Ote., 25356 Arteaga, Coah., Col. Privadas los Llanos, Arteaga, Coahuila de Zaragoza, México, C.P. 25356, ID: 30373046",2400000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25356,Coahuila,"Río Papaloapan #832, Col. Privadas los Llanos, Arteaga, Coahuila de Zaragoza, México, C.P. 25356, ID: 29483960",2300000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,26065,Coahuila,"Av. Praderas, Piedras Negras, Coah. #s/n, Col. Praderas, Piedras Negras, Coahuila de Zaragoza, México, C.P. 26065, ID: 30694083",1200000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25367,Coahuila,"Venta de casa Loma Alta, Col. Loma Alta, Arteaga, Coahuila de Zaragoza, México, C.P. 25367, ID: 30828958",7350000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25398,Coahuila,"Sin nombre de calle #S/N, Col. Huachichil (El Huache), Arteaga, Coahuila de Zaragoza, México, C.P. 25398, ID: 30859290",16950000.0
