estado,municipio,pcu,Viviendas_En_Proceso,Viviendas_Terminadas,Total_Competencia_Formal
AGUASCALIENTES,AGUASCALIENTES,FC,1604.0,216.0,1820.0
AGUASCALIENTES,AGUASCALIENTES,U1,4025.0,2130.0,6155.0
AGUASCALIENTES,AGUASCALIENTES,U2,23692.0,18647.0,42339.0
AGUASCALIENTES,AGUASCALIENTES,U3,48895.0,23889.0,72784.0
AGUASCALIENTES,CALVILLO,FC,217.0,14.0,231.0
AGUASCALIENTES,CALVILLO,U1,4.0,5.0,9.0
AGUASCALIENTES,CALVILLO,U2,179.0,6.0,185.0
AGUASCALIENTES,CALVILLO,U3,191.0,37.0,228.0
AGUASCALIENTES,COSÍO,FC,146.0,45.0,191.0
AGUASCALIENTES,EL LLANO,FC,4.0,4.0,8.0
AGUASCALIENTES,JESÚS MARÍA,FC,1985.0,385.0,2370.0
AGUASCALIENTES,JESÚS MARÍA,U1,824.0,274.0,1098.0
AGUASCALIENTES,JESÚS MARÍA,U2,2795.0,1016.0,3811.0
AGUASCALIENTES,JESÚS MARÍA,U3,7134.0,2322.0,9456.0
AGUASCALIENTES,PABELLÓN DE ARTEAGA,FC,60.0,0.0,60.0
AGUASCALIENTES,PABELLÓN DE ARTEAGA,U1,274.0,153.0,427.0
AGUASCALIENTES,PABELLÓN DE ARTEAGA,U2,234.0,215.0,449.0
AGUASCALIENTES,PABELLÓN DE ARTEAGA,U3,475.0,339.0,814.0
AGUASCALIENTES,RINCÓN DE ROMOS,FC,30.0,0.0,30.0
AGUASCALIENTES,RINCÓN DE ROMOS,U1,165.0,77.0,242.0
AGUASCALIENTES,RINCÓN DE ROMOS,U2,659.0,682.0,1341.0
AGUASCALIENTES,RINCÓN DE ROMOS,U3,503.0,41.0,544.0
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,FC,2592.0,1025.0,3617.0
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,U1,623.0,191.0,814.0
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,U2,721.0,1569.0,2290.0
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,U3,6138.0,3093.0,9231.0
BAJA CALIFORNIA,ENSENADA,FC,1028.0,24.0,1052.0
BAJA CALIFORNIA,ENSENADA,U1,109.0,35.0,144.0
BAJA CALIFORNIA,ENSENADA,U2,3026.0,361.0,3387.0
BAJA CALIFORNIA,ENSENADA,U3,5230.0,1468.0,6698.0
BAJA CALIFORNIA,MEXICALI,FC,3917.0,201.0,4118.0
BAJA CALIFORNIA,MEXICALI,ND,6.0,0.0,6.0
BAJA CALIFORNIA,MEXICALI,U1,5579.0,2477.0,8056.0
BAJA CALIFORNIA,MEXICALI,U2,12801.0,7240.0,20041.0
BAJA CALIFORNIA,MEXICALI,U3,18148.0,10818.0,28966.0
BAJA CALIFORNIA,PLAYAS DE ROSARITO,FC,3463.0,1849.0,5312.0
BAJA CALIFORNIA,PLAYAS DE ROSARITO,U1,5.0,0.0,5.0
BAJA CALIFORNIA,PLAYAS DE ROSARITO,U2,144.0,0.0,144.0
BAJA CALIFORNIA,PLAYAS DE ROSARITO,U3,230.0,178.0,408.0
BAJA CALIFORNIA,SAN QUINTÍN,FC,15.0,1.0,16.0
BAJA CALIFORNIA,TECATE,FC,148.0,50.0,198.0
BAJA CALIFORNIA,TECATE,U1,7.0,7.0,14.0
BAJA CALIFORNIA,TECATE,U2,85.0,0.0,85.0
BAJA CALIFORNIA,TECATE,U3,180.0,10.0,190.0
BAJA CALIFORNIA,TIJUANA,FC,21989.0,15307.0,37296.0
BAJA CALIFORNIA,TIJUANA,ND,1.0,0.0,1.0
BAJA CALIFORNIA,TIJUANA,U1,7237.0,1593.0,8830.0
BAJA CALIFORNIA,TIJUANA,U2,11648.0,8489.0,20137.0
BAJA CALIFORNIA,TIJUANA,U3,32616.0,13967.0,46583.0
BAJA CALIFORNIA SUR,COMONDÚ,FC,32.0,2.0,34.0
BAJA CALIFORNIA SUR,COMONDÚ,U1,64.0,30.0,94.0
BAJA CALIFORNIA SUR,COMONDÚ,U2,434.0,189.0,623.0
BAJA CALIFORNIA SUR,COMONDÚ,U3,278.0,125.0,403.0
BAJA CALIFORNIA SUR,LA PAZ,FC,3587.0,440.0,4027.0
BAJA CALIFORNIA SUR,LA PAZ,ND,2.0,0.0,2.0
BAJA CALIFORNIA SUR,LA PAZ,U1,576.0,147.0,723.0
BAJA CALIFORNIA SUR,LA PAZ,U2,3057.0,4546.0,7603.0
BAJA CALIFORNIA SUR,LA PAZ,U3,14275.0,4487.0,18762.0
BAJA CALIFORNIA SUR,LORETO,FC,19.0,11.0,30.0
BAJA CALIFORNIA SUR,LORETO,U1,0.0,1.0,1.0
BAJA CALIFORNIA SUR,LORETO,U2,16.0,9.0,25.0
BAJA CALIFORNIA SUR,LORETO,U3,29.0,23.0,52.0
BAJA CALIFORNIA SUR,LOS CABOS,FC,727.0,61.0,788.0
BAJA CALIFORNIA SUR,LOS CABOS,ND,22.0,0.0,22.0
BAJA CALIFORNIA SUR,LOS CABOS,U1,921.0,274.0,1195.0
BAJA CALIFORNIA SUR,LOS CABOS,U2,4072.0,1946.0,6018.0
BAJA CALIFORNIA SUR,LOS CABOS,U3,6759.0,2508.0,9267.0
BAJA CALIFORNIA SUR,MULEGÉ,FC,376.0,191.0,567.0
BAJA CALIFORNIA SUR,MULEGÉ,U2,8.0,3.0,11.0
BAJA CALIFORNIA SUR,MULEGÉ,U3,34.0,44.0,78.0
CAMPECHE,CALKINÍ,FC,60.0,28.0,88.0
CAMPECHE,CALKINÍ,U1,30.0,0.0,30.0
CAMPECHE,CALKINÍ,U3,25.0,35.0,60.0
CAMPECHE,CAMPECHE,FC,23.0,0.0,23.0
CAMPECHE,CAMPECHE,U1,137.0,6.0,143.0
CAMPECHE,CAMPECHE,U2,4654.0,1566.0,6220.0
CAMPECHE,CAMPECHE,U3,1278.0,170.0,1448.0
CAMPECHE,CARMEN,FC,602.0,88.0,690.0
CAMPECHE,CARMEN,U1,302.0,160.0,462.0
CAMPECHE,CARMEN,U2,6067.0,225.0,6292.0
CAMPECHE,CHAMPOTÓN,FC,50.0,9.0,59.0
CAMPECHE,CHAMPOTÓN,U1,6.0,0.0,6.0
CAMPECHE,HECELCHAKÁN,FC,28.0,2.0,30.0
CAMPECHE,SEYBAPLAYA,FC,30.0,14.0,44.0
CAMPECHE,TENABO,FC,46.0,30.0,76.0
CHIAPAS,ARRIAGA,U1,26.0,19.0,45.0
CHIAPAS,ARRIAGA,U2,44.0,15.0,59.0
CHIAPAS,BERRIOZÁBAL,FC,3044.0,1140.0,4184.0
CHIAPAS,BERRIOZÁBAL,U1,36.0,13.0,49.0
CHIAPAS,BERRIOZÁBAL,U2,56.0,617.0,673.0
CHIAPAS,BERRIOZÁBAL,U3,1885.0,338.0,2223.0
CHIAPAS,CACAHOATÁN,U2,2.0,1.0,3.0
CHIAPAS,CHIAPA DE CORZO,FC,2597.0,841.0,3438.0
CHIAPAS,CHIAPA DE CORZO,U1,72.0,0.0,72.0
CHIAPAS,CHIAPA DE CORZO,U2,1238.0,73.0,1311.0
CHIAPAS,CHIAPA DE CORZO,U3,236.0,133.0,369.0
CHIAPAS,CINTALAPA DE FIGUEROA,U1,61.0,9.0,70.0
CHIAPAS,CINTALAPA DE FIGUEROA,U2,10.0,5.0,15.0
CHIAPAS,CINTALAPA DE FIGUEROA,U3,9.0,6.0,15.0
CHIAPAS,COMITÁN DE DOMÍNGUEZ,FC,446.0,0.0,446.0
CHIAPAS,COMITÁN DE DOMÍNGUEZ,U1,1.0,1.0,2.0
CHIAPAS,COMITÁN DE DOMÍNGUEZ,U2,1221.0,537.0,1758.0
CHIAPAS,COMITÁN DE DOMÍNGUEZ,U3,1099.0,373.0,1472.0
CHIAPAS,ESCUINTLA,FC,3.0,6.0,9.0
CHIAPAS,HUEHUETÁN,FC,484.0,22.0,506.0
CHIAPAS,HUIXTLA,FC,83.0,0.0,83.0
CHIAPAS,HUIXTLA,ND,25.0,0.0,25.0
CHIAPAS,HUIXTLA,U3,34.0,4.0,38.0
CHIAPAS,LA LIBERTAD,FC,4.0,2.0,6.0
CHIAPAS,OCOSINGO,FC,16.0,10.0,26.0
CHIAPAS,OCOSINGO,U1,4.0,0.0,4.0
CHIAPAS,OCOSINGO,U2,89.0,29.0,118.0
CHIAPAS,OCOSINGO,U3,7.0,0.0,7.0
CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,FC,946.0,272.0,1218.0
CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,U2,88.0,1.0,89.0
CHIAPAS,PALENQUE,FC,1012.0,0.0,1012.0
CHIAPAS,PALENQUE,U1,381.0,459.0,840.0
CHIAPAS,PALENQUE,U2,60.0,1.0,61.0
CHIAPAS,PALENQUE,U3,4.0,3.0,7.0
CHIAPAS,PICHUCALCO,FC,9.0,3.0,12.0
CHIAPAS,PICHUCALCO,U2,2.0,3.0,5.0
CHIAPAS,PICHUCALCO,U3,3.0,2.0,5.0
CHIAPAS,PIJIJIAPAN,U3,11.0,4.0,15.0
CHIAPAS,REFORMA,U2,4.0,0.0,4.0
