Estado,Ubicacion,Precio_MXN,Recamaras,Banos,Superficie_m2,URL_Propiedad,Latitud,Longitud,Direccion_Buscada
Aguascalientes,"Casa en venta disponible en Sendero del Atrio #204Int. 204, Col. Residencial las Plazas, Aguascalientes, Aguascalientes, México, C.P. 20126, ID: 30151126",4950000.0,3.0,4.0,180.0,https://propiedades.com/inmuebles/casa-en-venta-sendero-del-atrio-204-residencial-las-plazas-aguascalientes-30151126,,,
Aguascalientes,"Venta de casa Av. Siglo XXI, Residencial Las Plazas, Aguascalientes, Ags., Col. Residencial las Plazas, Aguascalientes, Aguascalientes, México, C.P. 20126, ID: 30507167",7300000.0,4.0,2.0,370.0,https://propiedades.com/inmuebles/casa-en-venta-av-siglo-xxi-residencial-las-plazas-aguascalientes-ags-residencial-las-plazas-aguascalientes-30507167,,,
Aguascalientes,"Casa disponible en venta en Paseo de Las Plazas, Col. Las Plazas, Aguascalientes, Aguascalientes, México, C.P. 20126, ID: 27848358",4090000.0,3.0,3.0,185.0,https://propiedades.com/inmuebles/casa-en-venta-paseo-de-las-plazas-las-plazas-aguascalientes-27848358,,,
Aguascalientes,"Casa en venta, Lucerna, Col. Parque Industrial Siglo XXI, Aguascalientes, Aguascalientes, México, C.P. 20283, ID: 28856287",2368000.0,3.0,2.0,124.0,https://propiedades.com/inmuebles/casa-en-venta-lucerna-parque-industrial-siglo-xxi-aguascalientes-28856287,,,
Aguascalientes,"Casa disponible en venta en SANTA ELENA, Col. Santa Elena, Aguascalientes, Aguascalientes, México, C.P. 20230, ID: 30250366",8800000.0,3.0,2.0,380.0,https://propiedades.com/inmuebles/casa-en-venta-santa-elena-santa-elena-aguascalientes-30250366,,,
Aguascalientes,"C. Karol Wojtyla 120, El Eden, 20219 Aguascalientes, Ags. #120, Col. Parque Industrial el Vergel, Aguascalientes, Aguascalientes, México, C.P. 20219, ID: 30507490",3365000.0,3.0,2.0,178.0,https://propiedades.com/inmuebles/casa-en-venta-c-karol-wojtyla-120-el-eden-20219-aguascalientes-ags-120-parque-industrial-el-vergel-aguascalientes-30507490,,,
Aguascalientes,"Venta casa en LORETTA I CAMPESTRE, Col. Loretta, Aguascalientes, Aguascalientes, México, C.P. 20326, ID: 30296486",5660000.0,4.0,4.0,273.0,https://propiedades.com/inmuebles/casa-en-venta-loretta-i-campestre-loretta-aguascalientes-30296486,,,
Aguascalientes,"Se vende casa en Alberia, Col. Los Eucaliptos, Aguascalientes, Aguascalientes, México, C.P. 20218, ID: 29981404",4200000.0,3.0,4.0,235.0,https://propiedades.com/inmuebles/casa-en-venta-alberia-los-eucaliptos-aguascalientes-29981404,,,
Aguascalientes,"Av. Fuentes del Lago, Fuentes del Lago, 20200 Ags. #s/n, Col. Fuentes del Lago, Aguascalientes, Aguascalientes, México, C.P. 20200, ID: 28729751",2100000.0,3.0,2.0,113.0,https://propiedades.com/inmuebles/casa-en-venta-av-fuentes-del-lago-fuentes-del-lago-20200-ags-sn-fuentes-del-lago-aguascalientes-28729751,,,
Aguascalientes,"Se vende casa Av. San Antonio 100, Rancho Santa Monica, 20286 Aguascalientes, Ags. #100, Col. El Encino, Aguascalientes, Aguascalientes, México, C.P. 20240, ID: 28564299",3850000.0,3.0,2.0,174.0,https://propiedades.com/inmuebles/casa-en-venta-av-san-antonio-100-rancho-santa-monica-20286-aguascalientes-ags-100-el-encino-aguascalientes-28564299,,,
