Estado,Pagina_Extraida,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Aguascalientes,1,"$4,950,000
MXN","Casa en venta disponible en Sendero del Atrio #204Int. 204, Col. Residencial las Plazas, Aguascalientes, Aguascalientes, México, C.P. 20126, ID: 30151126",3 Recámaras | 4 Baños | 180 m 2,https://propiedades.com/inmuebles/casa-en-venta-sendero-del-atrio-204-residencial-las-plazas-aguascalientes-30151126#tipos=casas-venta&area=aguascalientes&pos=1
Aguascalientes,1,"$7,300,000
MXN","Venta de casa Av. Siglo XXI, Residencial Las Plazas, Aguascalientes, Ags., Col. Residencial las Plazas, Aguascalientes, Aguascalientes, México, C.P. 20126, ID: 30507167",4 Recámaras | 2 Baños | 370 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-siglo-xxi-residencial-las-plazas-aguascalientes-ags-residencial-las-plazas-aguascalientes-30507167#tipos=casas-venta&area=aguascalientes&pos=2
Aguascalientes,1,"$4,090,000
MXN","Casa disponible en venta en Paseo de Las Plazas, Col. Las Plazas, Aguascalientes, Aguascalientes, México, C.P. 20126, ID: 27848358",3 Recámaras | 3 Baños | 185 m 2,https://propiedades.com/inmuebles/casa-en-venta-paseo-de-las-plazas-las-plazas-aguascalientes-27848358#tipos=casas-venta&area=aguascalientes&pos=3
Aguascalientes,1,"$2,368,000
MXN","Casa en venta, Lucerna, Col. Parque Industrial Siglo XXI, Aguascalientes, Aguascalientes, México, C.P. 20283, ID: 28856287",3 Recámaras | 2 Baños | 124 m 2,https://propiedades.com/inmuebles/casa-en-venta-lucerna-parque-industrial-siglo-xxi-aguascalientes-28856287#tipos=casas-venta&area=aguascalientes&pos=4
Aguascalientes,1,"$8,800,000
MXN","Casa disponible en venta en SANTA ELENA, Col. Santa Elena, Aguascalientes, Aguascalientes, México, C.P. 20230, ID: 30250366",3 Recámaras | 2 Baños | 380 m 2,https://propiedades.com/inmuebles/casa-en-venta-santa-elena-santa-elena-aguascalientes-30250366#tipos=casas-venta&area=aguascalientes&pos=5
Aguascalientes,1,"$3,365,000
MXN","C. Karol Wojtyla 120, El Eden, 20219 Aguascalientes, Ags. #120, Col. Parque Industrial el Vergel, Aguascalientes, Aguascalientes, México, C.P. 20219, ID: 30507490",3 Recámaras | 2 Baños | 178 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-karol-wojtyla-120-el-eden-20219-aguascalientes-ags-120-parque-industrial-el-vergel-aguascalientes-30507490#tipos=casas-venta&area=aguascalientes&pos=6
Aguascalientes,1,"$5,660,000
MXN","Venta casa en LORETTA I CAMPESTRE, Col. Loretta, Aguascalientes, Aguascalientes, México, C.P. 20326, ID: 30296486",4 Recámaras | 4 Baños | 273 m 2,https://propiedades.com/inmuebles/casa-en-venta-loretta-i-campestre-loretta-aguascalientes-30296486#tipos=casas-venta&area=aguascalientes&pos=7
Aguascalientes,1,"$4,200,000
MXN","Se vende casa en Alberia, Col. Los Eucaliptos, Aguascalientes, Aguascalientes, México, C.P. 20218, ID: 29981404",3 Recámaras | 4 Baños | 235 m 2,https://propiedades.com/inmuebles/casa-en-venta-alberia-los-eucaliptos-aguascalientes-29981404#tipos=casas-venta&area=aguascalientes&pos=8
Aguascalientes,1,"$2,100,000
MXN","Av. Fuentes del Lago, Fuentes del Lago, 20200 Ags. #s/n, Col. Fuentes del Lago, Aguascalientes, Aguascalientes, México, C.P. 20200, ID: 28729751",3 Recámaras | 2 Baños | 113 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-fuentes-del-lago-fuentes-del-lago-20200-ags-sn-fuentes-del-lago-aguascalientes-28729751#tipos=casas-venta&area=aguascalientes&pos=9
Aguascalientes,1,"$3,850,000
MXN","Se vende casa Av. San Antonio 100, Rancho Santa Monica, 20286 Aguascalientes, Ags. #100, Col. El Encino, Aguascalientes, Aguascalientes, México, C.P. 20240, ID: 28564299",3 Recámaras | 2 Baños | 174 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-san-antonio-100-rancho-santa-monica-20286-aguascalientes-ags-100-el-encino-aguascalientes-28564299#tipos=casas-venta&area=aguascalientes&pos=10
