Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Baja California Sur,1,,"$280,000 USD","Casa en venta disponible en 1 #s/n, Col. Puerto San Carlos, Comondú, Baja California Sur, México, C.P. 23740, ID: 30133368",5 Recámaras | 2 Baños | 446 m 2,https://propiedades.com/inmuebles/casa-en-venta-1-sn-puerto-san-carlos-baja_california_sur-30133368
Baja California Sur,1,,"$1,600,000 MXN","Retorno Aguacates, Col. Unidad Domingo Carballo FélIX, La Paz, Baja California Sur, México, C.P. 23079, ID: 28656263",3 Recámaras | 2 Baños | 58 m 2,https://propiedades.com/inmuebles/casa-en-venta-retorno-aguacates-unidad-domingo-carballo-felix-baja_california_sur-28656263
Baja California Sur,1,,"$220,000 USD","Venta de casa Antonio Meléndez, Col. El Centenario, La Paz, Baja California Sur, México, C.P. 23205, ID: 30985374",2 Recámaras | 2 Baños | 88 m 2,https://propiedades.com/inmuebles/casa-en-venta-antonio-melendez-el-centenario-baja_california_sur-30985374
Baja California Sur,1,,"$450,000 MXN","Villa de las flores , Col. Quintas San Patricio, La Paz, Baja California Sur, México, C.P. 23085, ID: 30115291",3 Recámaras | 2 Baños | 150 m 2,https://propiedades.com/inmuebles/casa-en-venta-villa-de-las-flores-quintas-san-patricio-baja_california_sur-30115291
Baja California Sur,1,,"$860,000 MXN","Se vende casa Nopalillo 8, Jesús Castro Agúndez, 23440 San José del Cabo, B.C.S. #8, Col. Jesús Castro Agundes, Los Cabos, Baja California Sur, México, C.P. 23440, ID: 30453083",3 Recámaras | 2 Baños | 261 m 2,https://propiedades.com/inmuebles/casa-en-venta-nopalillo-8-jesus-castro-agundez-23440-san-jose-del-cabo-bcs-8-jesus-castro-agundes-baja_california_sur-30453083
Baja California Sur,1,,"$760,000 MXN","Venta casa en Océano Indicó #s/n, Col. Arco Iris, Los Cabos, Baja California Sur, México, C.P. 23456, ID: 29906730",3 Recámaras | 2 Baños | 90 m 2,https://propiedades.com/inmuebles/casa-en-venta-oceano-indico-sn-arco-iris-baja_california_sur-29906730
Baja California Sur,1,,"$555,000 MXN","Casa disponible en venta en De La Mantarraya 135, La Selva Fidepaz, 23094 La Paz, B.C.S. #135, Col. Ballenas, La Paz, Baja California Sur, México, C.P. 23094, ID: 30448515",5 Recámaras | 3 Baños | 389 m 2,https://propiedades.com/inmuebles/casa-en-venta-de-la-mantarraya-135-la-selva-fidepaz-23094-la-paz-bcs-135-ballenas-baja_california_sur-30448515
Baja California Sur,1,,"$500,000 MXN","C. San Antonio 123, Bella Vista, 23050 La Paz, B.C.S. #123, Col. Cruz de Piedra, La Paz, Baja California Sur, México, C.P. 23050, ID: 30453103",4 Recámaras | 3 Baños | 296 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-san-antonio-123-bella-vista-23050-la-paz-bcs-123-cruz-de-piedra-baja_california_sur-30453103
Baja California Sur,1,,"$700,000 MXN","Venta casa en Nopalillo 8, Jesús Castro Agúndez, 23440 San José del Cabo, B.C.S. #8, Col. Jesús Castro Agundes, Los Cabos, Baja California Sur, México, C.P. 23440, ID: 30638760",3 Recámaras | 2 Baños | 200 m 2,https://propiedades.com/inmuebles/casa-en-venta-nopalillo-8-jesus-castro-agundez-23440-san-jose-del-cabo-bcs-8-jesus-castro-agundes-baja_california_sur-30638760
Baja California Sur,1,,"$1,390,000 MXN","Venta de casa P.º Finisterra 57, Campo de Golf Fonatur, 23405 San José del Cabo, B.C.S. #57, Col. Club de Golf FONATUR, Los Cabos, Baja California Sur, México, C.P. 23405, ID: 30638731",4 Recámaras | 4 Baños | 380 m 2,https://propiedades.com/inmuebles/casa-en-venta-p-finisterra-57-campo-de-golf-fonatur-23405-san-jose-del-cabo-bcs-57-club-de-golf-fonatur-baja_california_sur-30638731
Baja California Sur,1,,"$505,000 MXN","Venta de casa C. Félix Ortega 38, Downtown, Col.Infonavit Viejo, 23468 Cabo San Lucas, B.C.S. #38, Col. INFONAVIT Viejo, Los Cabos, Baja California Sur, México, C.P. 23468, ID: 30317749",4 Recámaras | 2 Baños | 280 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-felix-ortega-38-downtown-colinfonavit-viejo-23468-cabo-san-lucas-bcs-38-infonavit-viejo-baja_california_sur-30317749
Baja California Sur,1,,"$500,000 MXN","Casa disponible en venta en Villa Flores 305, Villas del Encanto, 23085 La Paz, B.C.S. #305, Col. Quintas San Patricio, La Paz, Baja California Sur, México, C.P. 23085, ID: 30466800",3 Recámaras | 2 Baños | 120 m 2,https://propiedades.com/inmuebles/casa-en-venta-villa-flores-305-villas-del-encanto-23085-la-paz-bcs-305-quintas-san-patricio-baja_california_sur-30466800
