Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Baja California,1,,"$2,300,000 MXN","Venta de casa en C. Fabra 1364, 21395 Mexicali, B.C. #1364, Col. Parque Industrial Condesa, Mexicali, Baja California, México, C.P. 21395, ID: 30417720",3 Recámaras | 1 Baño | 162 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-fabra-1364-21395-mexicali-bc-1364-parque-industrial-condesa-baja_california-30417720
Baja California,1,,"$3,900,000 MXN","Cda. Normandía 2857, MonteCarlo Residencial, Monte Carlo, 21255 Mexicali, B.C. #2857, Col. Montecarlo 2a Sección, Mexicali, Baja California, México, C.P. 21255, ID: 30537435",2 Recámaras | 1 Baño | 90 m 2,https://propiedades.com/inmuebles/casa-en-venta-cda-normandia-2857-montecarlo-residencial-monte-carlo-21255-mexicali-bc-2857-montecarlo-2a-seccion-baja_california-30537435
Baja California,1,,"$385,000 USD","Venta casa en P.º del Pedregal, Playas de Tijuana, Costa Hermosa, Tijuana, B.C. #2570, Col. Playas de Tijuana Sección Costa Hermosa, Tijuana, Baja California, México, C.P. 22506, ID: 30739398",5 Recámaras | 4 Baños | 254 m 2,https://propiedades.com/inmuebles/casa-en-venta-p-del-pedregal-playas-de-tijuana-costa-hermosa-tijuana-bc-2570-playas-de-tijuana-seccion-costa-hermosa-baja_california-30739398
Baja California,1,,"$3,315,000 MXN","TOSSA RESIDENCIAL, Col. Verona Residencial, Tijuana, Baja California, México, C.P. 22667, ID: 29476733",3 Recámaras | 2 Baños | 112 m 2,https://propiedades.com/inmuebles/casa-en-venta-tossa-residencial-verona-residencial-baja_california-29476733
Baja California,1,,"$6,800,000 MXN","Casa en venta disponible en Playa Alta 190, Coronitas, 22860 Ensenada, B.C. #190, Col. Coronita, Ensenada, Baja California, México, C.P. 22860, ID: 30769398",3 Recámaras | 2 Baños | 359 m 2,https://propiedades.com/inmuebles/casa-en-venta-playa-alta-190-coronitas-22860-ensenada-bc-190-coronita-baja_california-30769398
Baja California,1,,"$1,695,000 MXN","Casa en venta, De la Rosella, Cañadas del Florido, 22245 Tijuana, B.C., Col. Cañadas del Florido 2a. Sección, Tijuana, Baja California, México, C.P. 22245, ID: 30439380",3 Recámaras | 1 Baño,https://propiedades.com/inmuebles/casa-en-venta-de-la-rosella-canadas-del-florido-22245-tijuana-bc-canadas-del-florido-2a-seccion-baja_california-30439380
Baja California,1,,"$1,850,000 MXN","Se vende casa en Blvrd Gral Rodolfo Sánchez Taboada, Col. Santa Fe, Tijuana, Baja California, México, C.P. 22117, ID: 26471999",2 Recámaras | 1 Baño | 72 m 2,https://propiedades.com/inmuebles/casa-en-venta-blvrd-gral-rodolfo-sanchez-taboada-santa-fe-baja_california-26471999
Baja California,1,,"$9,500,000 MXN","Casa en venta, Tecpa #s/n, Col. Residencial Casa Maya II, Mexicali, Baja California, México, C.P. 21255, ID: 30812197",3 Recámaras | 4 Baños | 313 m 2,https://propiedades.com/inmuebles/casa-en-venta-tecpa-sn-residencial-casa-maya-ii-baja_california-30812197
Baja California,1,,"$140,000 USD","Venta de casa Mariano Azuela #728, Col. Aeropuerto, Ensenada, Baja California, México, C.P. 22785, ID: 17520289",4 Recámaras | 3 Baños | 300 m 2,https://propiedades.com/inmuebles/casa-en-venta-mariano-azuela-728-aeropuerto-baja_california-17520289
Baja California,1,,"$2,000,000 MXN","Venta de casa en Blvrd Gral Rodolfo Sánchez Taboada, Col. Santa Fe, Tijuana, Baja California, México, C.P. 22117, ID: 26190024",3 Recámaras | 1 Baño | 80 m 2,https://propiedades.com/inmuebles/casa-en-venta-blvrd-gral-rodolfo-sanchez-taboada-santa-fe-baja_california-26190024
Baja California,1,,"$6,800,000 MXN","Se vende casa Patzcuaro 1, Col. Cubillas Sur, Tijuana, Baja California, México, C.P. 22045, ID: 29808660",3 Recámaras | 2 Baños | 160 m 2,https://propiedades.com/inmuebles/casa-en-venta-patzcuaro-1-cubillas-sur-baja_california-29808660
Baja California,1,,"$2,700,000 MXN","Casa en venta disponible en Blvd Francisco Zarco 15770, Col. Valparaíso Residencial, Tijuana, Baja California, México, C.P. 22663, ID: 26286387",3 Recámaras | 2 Baños | 89 m 2,https://propiedades.com/inmuebles/casa-en-venta-blvd-francisco-zarco-15770-valparaiso-residencial-baja_california-26286387
Baja California,1,,"$2,250,000 MXN","Casa en venta, Verona Residencial, 22667 B.C., Col. Verona Residencial, Tijuana, Baja California, México, C.P. 22667, ID: 30970357",2 Recámaras | 1 Baño | 1 m 2,https://propiedades.com/inmuebles/casa-en-venta-verona-residencial-22667-bc-verona-residencial-baja_california-30970357
Baja California,1,,"$6,600,000 MXN","Calle E, Col. Chula Vista, Tijuana, Baja California, México, C.P. 22045, ID: 29808887",2 Recámaras | 2 Baños | 227 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-e-chula-vista-baja_california-29808887
Baja California,1,,"$3,100,000 MXN","Venta de casa Blvd. el Rosario #211, Col. Valparaíso Residencial, Tijuana, Baja California, México, C.P. 22663, ID: 26187723",3 Recámaras | 2 Baños | 112 m 2,https://propiedades.com/inmuebles/casa-en-venta-blvd-el-rosario-211-valparaiso-residencial-baja_california-26187723
Baja California,1,,"$4,300,000 MXN","Casa en venta, C. Guatemala, Villafontana, Fontana I, 22205 Tijuana, B.C., Col. Villa Fontana XIII, Tijuana, Baja California, México, C.P. 22205, ID: 30840074",4 Recámaras | 3 Baños | 210 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-guatemala-villafontana-fontana-i-22205-tijuana-bc-villa-fontana-xiii-baja_california-30840074
Baja California,1,,"$2,720,000 MXN","Se vende casa Los Olivos #7081, Col. Rancho La Cima, Tijuana, Baja California, México, C.P. 22616, ID: 30359787",2 Recámaras | 1 Baño | 130 m 2,https://propiedades.com/inmuebles/casa-en-venta-los-olivos-7081-rancho-la-cima-baja_california-30359787
Baja California,1,,"$5,500,000 MXN","Casa en venta, Calz. Rotario Internacional 3500, ALTARIA RESIDENCIAL, 21395 Mexicali, B.C. #s/n, Col. Altaria Residencial, Mexicali, Baja California, México, C.P. 21395, ID: 30363259",3 Recámaras | 3 Baños | 185 m 2,https://propiedades.com/inmuebles/casa-en-venta-calz-rotario-internacional-3500-altaria-residencial-21395-mexicali-bc-sn-altaria-residencial-baja_california-30363259
Baja California,1,,"$1,600,000 MXN","Se vende casa en Blv Grl Rodolfo Sanchez Taboada, Col. Viñas del Mar, Tijuana, Baja California, México, C.P. 22564, ID: 26286540",3 Recámaras | 2 Baños | 72 m 2,https://propiedades.com/inmuebles/casa-en-venta-blv-grl-rodolfo-sanchez-taboada-vinas-del-mar-baja_california-26286540
Baja California,1,,"$5,700,000 MXN","Blvd Universidad #401Int. 14, Col. El Pedregal, Tecate, Baja California, México, C.P. 21460, ID: 30814790",4 Recámaras | 2 Baños | 270 m 2,https://propiedades.com/inmuebles/casa-en-venta-blvd-universidad-401-el-pedregal-baja_california-30814790
Baja California,1,,"$1,700,000 MXN","Casa en venta disponible en Calle real del mar, Col. Viñas del Mar, Tijuana, Baja California, México, C.P. 22564, ID: 26232168",2 Recámaras | 1 Baño | 60 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-real-del-mar-vinas-del-mar-baja_california-26232168
Baja California,1,,"$7,500,000 MXN","Punta Azul, 22713 Playas de Rosarito, B.C. #16Int. 16, Col. Rosarito, Playas de Rosarito, Baja California, México, C.P. 22706, ID: 30666607",4 Recámaras | 4 Baños | 276 m 2,https://propiedades.com/inmuebles/casa-en-venta-punta-azul-22713-playas-de-rosarito-bc-16-rosarito-baja_california-30666607
Baja California,1,,"$3,700,000 MXN","Venta de casa Tossá Residencial Tijuana, Col. Verona Residencial, Tijuana, Baja California, México, C.P. 22667, ID: 29476745",3 Recámaras | 2 Baños | 135 m 2,https://propiedades.com/inmuebles/casa-en-venta-tossa-residencial-tijuana-verona-residencial-baja_california-29476745
Baja California,1,,"$3,700,000 MXN","Venta de casa Pivada Picasso Valparaíso Residencial, Col. Valparaíso Residencial, Tijuana, Baja California, México, C.P. 22663, ID: 30728729",3 Recámaras | 2 Baños | 156 m 2,https://propiedades.com/inmuebles/casa-en-venta-pivada-picasso-valparaiso-residencial-valparaiso-residencial-baja_california-30728729
Baja California,1,,"$2,400,000 MXN","Venta de casa Blvd. Real del Mar 4481, 22564 Tijuana, B.C., Col. Santa Fe, Tijuana, Baja California, México, C.P. 22117, ID: 26472008",3 Recámaras | 2 Baños | 98 m 2,https://propiedades.com/inmuebles/casa-en-venta-blvd-real-del-mar-4481-22564-tijuana-bc-santa-fe-baja_california-26472008
Baja California,1,,"$3,800,000 MXN","Venta de casa en Lomas Terrabella, 22203 Tijuana, B.C., Col. Lomas Terrabella, Tijuana, Baja California, México, C.P. 22203, ID: 30970550",3 Recámaras | 2 Baños,https://propiedades.com/inmuebles/casa-en-venta-lomas-terrabella-22203-tijuana-bc-lomas-terrabella-baja_california-30970550
Baja California,1,,"$5,900,000 MXN","Venta casa en Calle E, Col. Chula Vista, Tijuana, Baja California, México, C.P. 22045, ID: 29275782",3 Recámaras | 2 Baños | 227 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-e-chula-vista-baja_california-29275782
Baja California,1,,"$260,000 USD","Venta casa en Braulio Maldonado #4313, Col. Soler, Tijuana, Baja California, México, C.P. 22530, ID: 29546905",3 Recámaras | 1 Baño | 160 m 2,https://propiedades.com/inmuebles/casa-en-venta-braulio-maldonado-4313-soler-baja_california-29546905
Baja California,1,,"$700,000 MXN","Casa disponible en venta en Av Del Bosque 5970, Hacienda Agua Caliente, 22034 Tijuana, B.C. #5970, Col. Cañón Oasis, Tijuana, Baja California, México, C.P. 22034, ID: 30317461",5 Recámaras | 3 Baños | 360 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-del-bosque-5970-hacienda-agua-caliente-22034-tijuana-bc-5970-canon-oasis-baja_california-30317461
Baja California,1,,"$560,000 MXN","Avenida Bosque Real, Col. Hacienda del Bosque, Mexicali, Baja California, México, C.P. 21355, ID: 29840801",3 Recámaras | 1 Baño | 115 m 2,https://propiedades.com/inmuebles/casa-en-venta-avenida-bosque-real-hacienda-del-bosque-baja_california-29840801
Baja California,1,,"$660,000 MXN","Cam. Aranjuez 2639, Villafontana, Fontana IX, 22205 Tijuana, B.C. #2639, Col. Villa Fontana XIII, Tijuana, Baja California, México, C.P. 22205, ID: 30313293",3 Recámaras | 2 Baños | 135 m 2,https://propiedades.com/inmuebles/casa-en-venta-cam-aranjuez-2639-villafontana-fontana-ix-22205-tijuana-bc-2639-villa-fontana-xiii-baja_california-30313293
Baja California,1,,"$710,000 MXN","Casa disponible en venta en Caracas 12556, El Paraiso, 22106 Tijuana, B.C. #12556, Col. El Paraíso, Tijuana, Baja California, México, C.P. 22106, ID: 30317450",5 Recámaras | 5 Baños | 300 m 2,https://propiedades.com/inmuebles/casa-en-venta-caracas-12556-el-paraiso-22106-tijuana-bc-12556-el-paraiso-baja_california-30317450
Baja California,1,,"$535,000 MXN","Venta de casa en Vientos Alisios 420, Gas y Anexas, 22115 Tijuana, B.C. #420, Col. Gas y Anexas, Tijuana, Baja California, México, C.P. 22115, ID: 30317491",4 Recámaras | 3 Baños | 202 m 2,https://propiedades.com/inmuebles/casa-en-venta-vientos-alisios-420-gas-y-anexas-22115-tijuana-bc-420-gas-y-anexas-baja_california-30317491
Baja California,1,,"$960,000 MXN","Casa en venta, P.º de Las Flores 381, Valle Dorado, 22890 Ensenada, B.C. #s/n, Col. Loma Linda, Ensenada, Baja California, México, C.P. 22890, ID: 30314065",6 Recámaras | 5 Baños | 680 m 2,https://propiedades.com/inmuebles/casa-en-venta-p-de-las-flores-381-valle-dorado-22890-ensenada-bc-sn-loma-linda-baja_california-30314065
Baja California,1,,"$566,000 MXN","AV. CANDAS #00, Col. Villa las Lomas, Mexicali, Baja California, México, C.P. 21355, ID: 29122141",2 Recámaras | 1 Baño | 60 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-candas-00-villa-las-lomas-baja_california-29122141
