Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Campeche,1,,"$2,500,000 MXN","Casa disponible en venta en 16 de Septiembre #11, Col. Colonia México, Campeche, Campeche, México, C.P. 24070, ID: 30615483",4 Recámaras | 3 Baños | 224 m 2,https://propiedades.com/inmuebles/casa-en-venta-16-de-septiembre-11-colonia-mexico-campeche-30615483
Campeche,1,,"$1,900,000 MXN","Casa disponible en venta en Mundo maya, Col. Mundo Maya, Carmen, Campeche, México, C.P. 24153, ID: 30116504",3 Recámaras | 2 Baños | 135 m 2,https://propiedades.com/inmuebles/casa-en-venta-mundo-maya-mundo-maya-campeche-30116504
Campeche,1,,"$4,500,000 MXN","Venta casa en , Col. Francisco I Madero, Carmen, Campeche, México, C.P. 24190, ID: 29879110",4 Recámaras | 2 Baños | 240 m 2,https://propiedades.com/inmuebles/casa-en-venta-francisco-i-madero-campeche-29879110
Campeche,1,,"$7,000,000 MXN","Casa disponible en venta en Principal, Col. Ciudad del Carmen Centro, Carmen, Campeche, México, C.P. 24100, ID: 23893832",4 Recámaras | 4 Baños | 355 m 2,https://propiedades.com/inmuebles/casa-en-venta-principal-ciudad-del-carmen-centro-campeche-23893832
Campeche,1,,"$1,050,000 MXN","Camelias oriente 4, Col. San Capistrano, Carmen, Campeche, México, C.P. 24155, ID: 29849566",3 Recámaras | 2 Baños | 115 m 2,https://propiedades.com/inmuebles/casa-en-venta-camelias-oriente-4-san-capistrano-campeche-29849566
Campeche,1,,"$7,900,000 MXN","Venta de casa en 59, Col. San Francisco de Campeche Centro., Campeche, Campeche, México, C.P. 24000, ID: 27837378",4 Recámaras | 2 Baños | 215 m 2,https://propiedades.com/inmuebles/casa-en-venta-59-san-francisco-de-campeche-centro-campeche-27837378
Campeche,1,,"$2,350,000 MXN","Se vende casa Cerrada, Col. Miguel de La Madrid, Carmen, Campeche, México, C.P. 24186, ID: 28886632",4 Recámaras | 4 Baños | 190 m 2,https://propiedades.com/inmuebles/casa-en-venta-cerrada-miguel-de-la-madrid-campeche-28886632
Campeche,1,,"$2,100,000 MXN","Venta de casa Avenida Juárez #9, Col. 1 de Mayo (Playón), Carmen, Campeche, México, C.P. 24110, ID: 30773483",3 Recámaras | 2 Baños | 250 m 2,https://propiedades.com/inmuebles/casa-en-venta-avenida-juarez-9-1-de-mayo-playon-campeche-30773483
Campeche,1,,"$4,000,000 MXN","Casa en venta, Fraccionamiento Los Olivos, Col. Benito Juárez, Campeche, Campeche, México, C.P. 24020, ID: 30275063",3 Recámaras | 4 Baños,https://propiedades.com/inmuebles/casa-en-venta-fraccionamiento-los-olivos-benito-juarez-campeche-30275063
Campeche,1,,"$3,500,000 MXN","Venta de casa en El Vergel, Col. Residencial Vistancias, Carmen, Campeche, México, C.P. 24157, ID: 30374536",3 Recámaras | 4 Baños | 230 m 2,https://propiedades.com/inmuebles/casa-en-venta-el-vergel-residencial-vistancias-campeche-30374536
Campeche,1,,"$3,300,000 MXN","Venta de casa lomas del pedregal, Col. Jardines del Pedregal, Campeche, Campeche, México, C.P. 24035, ID: 28280038",3 Recámaras | 3 Baños | 157 m 2,https://propiedades.com/inmuebles/casa-en-venta-lomas-del-pedregal-jardines-del-pedregal-campeche-28280038
Campeche,1,,"$550,000 MXN","Río Champotón 9, Villa del Río, Barrio de Sta Ana, 24010 San Francisco de Campeche, Camp. #9, Col. San Francisco, Campeche, Campeche, México, C.P. 24010, ID: 30466814",3 Recámaras | 2 Baños | 180 m 2,https://propiedades.com/inmuebles/casa-en-venta-rio-champoton-9-villa-del-rio-barrio-de-sta-ana-24010-san-francisco-de-campeche-camp-9-san-francisco-campeche-30466814
Campeche,1,,"$2,940,000 MXN","Venta de casa Av Isla de Tris, Col. Mundo Maya, Carmen, Campeche, México, C.P. 24153, ID: 28664644",3 Recámaras | 2 Baños,https://propiedades.com/inmuebles/casa-en-venta-av-isla-de-tris-mundo-maya-campeche-28664644
