Estado,Pagina_Extraida,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Chiapas,1,"$2,550,000
MXN","Venta de casa Callejon laureles, Col. Ampliación Pomarrosa, Tuxtla Gutiérrez, Chiapas, México, C.P. 29014, ID: 29031514",3 Recámaras | 4 Baños | 130 m 2,https://propiedades.com/inmuebles/casa-en-venta-callejon-laureles-ampliacion-pomarrosa-chiapas-29031514#tipos=casas-venta&area=chiapas&pos=1
Chiapas,1,"$8,495,000
MXN","Se vende casa en Blvd los laureles, Col. Los Laureles, Tuxtla Gutiérrez, Chiapas, México, C.P. 29020, ID: 25715181",3 Recámaras | 3 Baños | 350 m 2,https://propiedades.com/inmuebles/casa-en-venta-blvd-los-laureles-los-laureles-chiapas-25715181#tipos=casas-venta&area=chiapas&pos=2
Chiapas,1,"$4,950,000
MXN","Casa en venta disponible en 1era av sur oriente, Col. Zocotumbak, Tuxtla Gutiérrez, Chiapas, México, C.P. 29073, ID: 30108150",4 Recámaras | 2 Baños | 175 m 2,https://propiedades.com/inmuebles/casa-en-venta-1era-av-sur-oriente-zocotumbak-chiapas-30108150#tipos=casas-venta&area=chiapas&pos=3
Chiapas,1,"$5,100,000
MXN","AV RAFAEL SELVAS, Col. Los Laguitos, Tuxtla Gutiérrez, Chiapas, México, C.P. 29020, ID: 30256875",3 Recámaras | 3 Baños | 275 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-rafael-selvas-los-laguitos-chiapas-30256875#tipos=casas-venta&area=chiapas&pos=4
Chiapas,1,"$1,660,000
MXN","Venta casa en Los sabinos, Col. Los Sabinos, Comitán de Domínguez, Chiapas, México, C.P. 30070, ID: 30668152",3 Recámaras | 2 Baños | 96 m 2,https://propiedades.com/inmuebles/casa-en-venta-los-sabinos-los-sabinos-chiapas-30668152#tipos=casas-venta&area=chiapas&pos=5
Chiapas,1,"$4,400,000
MXN","Se vende casa 15 pte nte, Col. San Cristóbal, Tuxtla Gutiérrez, Chiapas, México, C.P. 29038, ID: 25978899",4 Recámaras | 3 Baños | 300 m 2,https://propiedades.com/inmuebles/casa-en-venta-15-pte-nte-san-cristobal-chiapas-25978899#tipos=casas-venta&area=chiapas&pos=6
Chiapas,1,"$3,250,000
MXN","Venta de casa en boulevard bosques de la trinidad, Col. Bosques de la Trinidad, Tuxtla Gutiérrez, Chiapas, México, C.P. 29054, ID: 30540198",3 Recámaras | 2 Baños | 213 m 2,https://propiedades.com/inmuebles/casa-en-venta-boulevard-bosques-de-la-trinidad-bosques-de-la-trinidad-chiapas-30540198#tipos=casas-venta&area=chiapas&pos=7
Chiapas,1,"$4,262,500
MXN","Valle Juan Sabines Guerrero, Col. Valle Balún Canan, Comitán de Domínguez, Chiapas, México, C.P. 30099, ID: 30851760",6 Recámaras | 6 Baños | 365 m 2,https://propiedades.com/inmuebles/casa-en-venta-valle-juan-sabines-guerrero-valle-balun-canan-chiapas-30851760#tipos=casas-venta&area=chiapas&pos=8
Chiapas,1,"$1,600,000
MXN","Casa en venta disponible en Periférico 7, Las Gardenias, 30034 Comitán de Domínguez, Chis. #7, Col. 27 de Junio, Comitán de Domínguez, Chiapas, México, C.P. 30034, ID: 30913927",3 Recámaras | 2 Baños | 105 m 2,https://propiedades.com/inmuebles/casa-en-venta-periferico-7-las-gardenias-30034-comitan-de-dominguez-chis-7-27-de-junio-chiapas-30913927#tipos=casas-venta&area=chiapas&pos=9
Chiapas,1,"$3,707,000
MXN","Casa disponible en venta en boulevard bosques de la trinidad, Col. Bosques de la Trinidad, Tuxtla Gutiérrez, Chiapas, México, C.P. 29054, ID: 30521043",4 Recámaras | 3 Baños | 213 m 2,https://propiedades.com/inmuebles/casa-en-venta-boulevard-bosques-de-la-trinidad-bosques-de-la-trinidad-chiapas-30521043#tipos=casas-venta&area=chiapas&pos=10
Chiapas,1,"$1,330,000
MXN","Chichima acapetahua, Col. Chichima Acapetahua, Comitán de Domínguez, Chiapas, México, C.P. 30093, ID: 30964195",2 Recámaras | 1 Baño | 77 m 2,https://propiedades.com/inmuebles/casa-en-venta-chichima-acapetahua-chichima-acapetahua-chiapas-30964195#tipos=casas-venta&area=chiapas&pos=11
Chiapas,1,"$1,100,000
MXN","Venta de casa en 10 sur, Col. San Francisco, Tuxtla Gutiérrez, Chiapas, México, C.P. 29066, ID: 30907608",1 Recámara | 1 Baño | 62 m 2,https://propiedades.com/inmuebles/casa-en-venta-10-sur-san-francisco-chiapas-30907608#tipos=casas-venta&area=chiapas&pos=12
