Estado,Pagina_Extraida,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Ciudad De Mexico,1,"$4,799,000
MXN",", Col. Héroe de Nacozari, Gustavo A. Madero, DF / CDMX, México, C.P. 07780, ID: 30712437",6 Recámaras | 3 Baños | 202 m 2,https://propiedades.com/inmuebles/casa-en-venta-heroe-de-nacozari-df-30712437#tipos=casas-venta&area=ciudad-de-mexico&pos=1
Ciudad De Mexico,1,"$42,000,000
MXN","Venta de casa Aristóteles 240 #240, Col. Polanco IV Sección, Miguel Hidalgo, DF / CDMX, México, C.P. 11550, ID: 29249823",3 Recámaras | 2 Baños | 532 m 2,https://propiedades.com/inmuebles/casa-en-venta-aristoteles-240-240-polanco-iv-seccion-df-29249823#tipos=casas-venta&area=ciudad-de-mexico&pos=2
Ciudad De Mexico,1,"$1,920,000
MXN","Venta de casa en Oriente 255 447 #447, Col. Agrícola Oriental, Iztacalco, DF / CDMX, México, C.P. 08500, ID: 28842729",5 Recámaras | 3 Baños | 212 m 2,https://propiedades.com/inmuebles/casa-en-venta-oriente-255-447-447-agricola-oriental-df-28842729#tipos=casas-venta&area=ciudad-de-mexico&pos=3
Ciudad De Mexico,1,"$7,800,000
MXN","Casa en venta disponible en Rancho Zinampa, Coapa, Hacienda de Coyoacán, Ciudad de México, CDMX, Col. Haciendas de Coyoacán, Coyoacán, DF / CDMX, México, C.P. 04970, ID: 31013842",3 Recámaras | 2 Baños | 350 m 2,https://propiedades.com/inmuebles/casa-en-venta-rancho-zinampa-coapa-hacienda-de-coyoacan-ciudad-de-mexico-cdmx-haciendas-de-coyoacan-df-31013842#tipos=casas-venta&area=ciudad-de-mexico&pos=4
Ciudad De Mexico,1,"$4,049,000
MXN","Casa en venta disponible en Sierra Madre Oriental 105, Pradera I Secc, Gustavo A. Madero, 07500 Ciudad de México, CDMX #105, Col. La Pradera, Gustavo A. Madero, DF / CDMX, México, C.P. 07500, ID: 30972594",3 Recámaras | 2 Baños | 167 m 2,https://propiedades.com/inmuebles/casa-en-venta-sierra-madre-oriental-105-pradera-i-secc-gustavo-a-madero-07500-ciudad-de-mexico-cdmx-105-la-pradera-df-30972594#tipos=casas-venta&area=ciudad-de-mexico&pos=5
Ciudad De Mexico,1,"$13,000,000
MXN","Venta casa en Rousseau 74, Anzures, Miguel Hidalgo, 11590 Ciudad de México, CDMX #74, Col. Anzures, Miguel Hidalgo, DF / CDMX, México, C.P. 11590, ID: 30912197",5 Recámaras | 3 Baños | 247 m 2,https://propiedades.com/inmuebles/casa-en-venta-rousseau-74-anzures-miguel-hidalgo-11590-ciudad-de-mexico-cdmx-74-anzures-df-30912197#tipos=casas-venta&area=ciudad-de-mexico&pos=6
Ciudad De Mexico,1,"$4,200,000
MXN","Venta de casa Jazmín 18, Santa Cruz Xochitepec, Xochimilco, 16100 Ciudad de México, CDMX #18, Col. Santa Cruz Xochitepec, Xochimilco, DF / CDMX, México, C.P. 16100, ID: 30918084",4 Recámaras | 4 Baños | 220 m 2,https://propiedades.com/inmuebles/casa-en-venta-jazmin-18-santa-cruz-xochitepec-xochimilco-16100-ciudad-de-mexico-cdmx-18-santa-cruz-xochitepec-df-30918084#tipos=casas-venta&area=ciudad-de-mexico&pos=7
Ciudad De Mexico,1,"$27,000,000
MXN","Se vende casa en Avenida San Francisco, Col. Pueblo Nuevo Bajo, La Magdalena Contreras, DF / CDMX, México, C.P. 10640, ID: 30920051",4 Recámaras | 4 Baños | 670 m 2,https://propiedades.com/inmuebles/casa-en-venta-avenida-san-francisco-pueblo-nuevo-bajo-df-30920051#tipos=casas-venta&area=ciudad-de-mexico&pos=8
Ciudad De Mexico,1,"$5,250,000
MXN","Venta de casa Teja 105, Jardines del Sur, Xochimilco, 16050 Ciudad de México, CDMX #105, Col. Jardines del Sur, Xochimilco, DF / CDMX, México, C.P. 16050, ID: 30938809",3 Recámaras | 3 Baños | 260 m 2,https://propiedades.com/inmuebles/casa-en-venta-teja-105-jardines-del-sur-xochimilco-16050-ciudad-de-mexico-cdmx-105-jardines-del-sur-df-30938809#tipos=casas-venta&area=ciudad-de-mexico&pos=9
Ciudad De Mexico,1,"$20,000,000
MXN","Venta casa en Cda. Montes Apeninos, Col. Lomas de Chapultepec II Sección, Miguel Hidalgo, DF / CDMX, México, C.P. 11000, ID: 30911558",3 Recámaras | 3 Baños | 173 m 2,https://propiedades.com/inmuebles/casa-en-venta-cda-montes-apeninos-lomas-de-chapultepec-ii-seccion-df-30911558#tipos=casas-venta&area=ciudad-de-mexico&pos=10
Ciudad De Mexico,1,"$8,200,000
MXN","Casa en venta, , Col. Del Valle Centro, Benito Juárez, DF / CDMX, México, C.P. 03100, ID: 30949104",3 Recámaras | 2 Baños | 180 m 2,https://propiedades.com/inmuebles/casa-en-venta-del-valle-centro-df-30949104#tipos=casas-venta&area=ciudad-de-mexico&pos=11
Ciudad De Mexico,1,"$8,600,000
MXN","Venta de casa en _ , Col. Campestre Coyoacán, Coyoacán, DF / CDMX, México, C.P. 04938, ID: 30915148",3 Recámaras | 3 Baños | 175 m 2,https://propiedades.com/inmuebles/casa-en-venta-campestre-coyoacan-df-30915148#tipos=casas-venta&area=ciudad-de-mexico&pos=12
Ciudad De Mexico,1,"$23,000,000
MXN","Casa en venta, Montes de Oca, Col. San Miguel Chapultepec I Sección, Miguel Hidalgo, DF / CDMX, México, C.P. 11850, ID: 30911560",3 Recámaras | 3 Baños | 194 m 2,https://propiedades.com/inmuebles/casa-en-venta-montes-de-oca-san-miguel-chapultepec-i-seccion-df-30911560#tipos=casas-venta&area=ciudad-de-mexico&pos=13
Ciudad De Mexico,1,"$5,850,000
MXN","Casa en venta disponible en Cuauhtémoc, Col. Santa Cruz Meyehualco, Iztapalapa, DF / CDMX, México, C.P. 09700, ID: 27321830",2 Recámaras | 1 Baño | 458 m 2,https://propiedades.com/inmuebles/casa-en-venta-cuauhtemoc-santa-cruz-meyehualco-df-27321830#tipos=casas-venta&area=ciudad-de-mexico&pos=14
Ciudad De Mexico,1,"$47,000,000
MXN","Casa disponible en venta en _ , Col. Rancho San Francisco Pueblo San Bartolo Ameyalco, Álvaro Obregón, DF / CDMX, México, C.P. 01807, ID: 26447533",4 Recámaras | 6 Baños | 1000 m 2,https://propiedades.com/inmuebles/casa-en-venta--rancho-san-francisco-pueblo-san-bartolo-ameyalco-df-26447533#tipos=casas-venta&area=ciudad-de-mexico&pos=15
Ciudad De Mexico,1,"$36,000,000
MXN","_ , Col. Lomas de Chapultepec I Sección, Miguel Hidalgo, DF / CDMX, México, C.P. 11000, ID: 30223323",4 Recámaras | 2 Baños | 550 m 2,https://propiedades.com/inmuebles/casa-en-venta-lomas-de-chapultepec-i-seccion-df-30223323#tipos=casas-venta&area=ciudad-de-mexico&pos=16
Ciudad De Mexico,1,"$6,265,000
MXN","Se vende casa Fuente de Diana #29, Col. Los Cedros, Coyoacán, DF / CDMX, México, C.P. 04800, ID: 31005616",4 Recámaras | 2 Baños | 176 m 2,https://propiedades.com/inmuebles/casa-en-venta-fuente-de-diana-29-los-cedros-df-31005616#tipos=casas-venta&area=ciudad-de-mexico&pos=17
Ciudad De Mexico,1,"$6,750,000
MXN","hacienda de la condesa, Col. Ex-Hacienda El Rosario, Azcapotzalco, DF / CDMX, México, C.P. 02420, ID: 30856186",3 Recámaras | 3 Baños | 195 m 2,https://propiedades.com/inmuebles/casa-en-venta-hacienda-de-la-condesa-exhacienda-el-rosario-df-30856186#tipos=casas-venta&area=ciudad-de-mexico&pos=18
Ciudad De Mexico,1,"$5,300,000
MXN","Venta de casa pileta, Col. Villa Coapa, Tlalpan, DF / CDMX, México, C.P. 14390, ID: 30856187",3 Recámaras | 2 Baños | 178 m 2,https://propiedades.com/inmuebles/casa-en-venta-pileta-villa-coapa-df-30856187#tipos=casas-venta&area=ciudad-de-mexico&pos=19
Ciudad De Mexico,1,"$5,900,000
MXN","Casa en venta disponible en campo palizada, Col. San Antonio, Azcapotzalco, DF / CDMX, México, C.P. 02720, ID: 30759436",3 Recámaras | 2 Baños | 150 m 2,https://propiedades.com/inmuebles/casa-en-venta-campo-palizada-san-antonio-df-30759436#tipos=casas-venta&area=ciudad-de-mexico&pos=20
Ciudad De Mexico,1,"$10,500,000
MXN","Venta casa en Cam. Real a Tetelpan 164, Camino Real de Tetelpan, Álvaro Obregón, 01700 Ciudad de México, CDMX #164, Col. San Agustín del Pueblo Tetelpan, Álvaro Obregón, DF / CDMX, México, C.P. 01700, ID: 30801075",4 Recámaras | 3 Baños | 200 m 2,https://propiedades.com/inmuebles/casa-en-venta-cam-real-a-tetelpan-164-camino-real-de-tetelpan-alvaro-obregon-01700-ciudad-de-mexico-cdmx-164-san-agustin-del-pueblo-tetelpan-df-30801075#tipos=casas-venta&area=ciudad-de-mexico&pos=21
Ciudad De Mexico,1,"$41,000,000
MXN","Av Loma de la Palma, Col. Lomas de Vista Hermosa, Cuajimalpa de Morelos, DF / CDMX, México, C.P. 05100, ID: 29398555",4 Recámaras | 4 Baños | 466 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-loma-de-la-palma-lomas-de-vista-hermosa-df-29398555#tipos=casas-venta&area=ciudad-de-mexico&pos=22
Ciudad De Mexico,1,"$6,821,656
MXN","Casa en venta disponible en Calle San Borja 1158, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX #1158, Col. Narvarte Poniente, Benito Juárez, DF / CDMX, México, C.P. 03020, ID: 30839543",4 Recámaras | 4 Baños | 158 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-san-borja-1158-narvarte-poniente-benito-juarez-03020-ciudad-de-mexico-cdmx-1158-narvarte-poniente-df-30839543#tipos=casas-venta&area=ciudad-de-mexico&pos=23
Ciudad De Mexico,1,"$5,900,000
MXN","Casa disponible en venta en Mar Mediterráneo, Tacuba, Miguel Hidalgo, 11410 Ciudad de México, CDMX #18, Col. Tacuba, Miguel Hidalgo, DF / CDMX, México, C.P. 11410, ID: 30486217",11 Recámaras | 11 Baños | 650 m 2,https://propiedades.com/inmuebles/casa-en-venta-mar-mediterraneo-tacuba-miguel-hidalgo-11410-ciudad-de-mexico-cdmx-18-tacuba-df-30486217#tipos=casas-venta&area=ciudad-de-mexico&pos=24
Ciudad De Mexico,1,"$8,900,000
MXN","Venta de casa en MIGUEL N LIRA #332, Col. Villa de Cortes, Benito Juárez, DF / CDMX, México, C.P. 03530, ID: 30581660",5 Recámaras | 6 Baños | 340 m 2,https://propiedades.com/inmuebles/casa-en-venta-miguel-n-lira-332-villa-de-cortes-df-30581660#tipos=casas-venta&area=ciudad-de-mexico&pos=25
Ciudad De Mexico,1,"$7,350,000
MXN","Se vende casa Cerro Gordo 346, Campestre Churubusco, Coyoacán, 04200 Ciudad de México, CDMX #346, Col. Campestre Churubusco, Coyoacán, DF / CDMX, México, C.P. 04200, ID: 30952726",3 Recámaras | 2 Baños | 210 m 2,https://propiedades.com/inmuebles/casa-en-venta-cerro-gordo-346-campestre-churubusco-coyoacan-04200-ciudad-de-mexico-cdmx-346-campestre-churubusco-df-30952726#tipos=casas-venta&area=ciudad-de-mexico&pos=26
Ciudad De Mexico,1,"$12,000,000
MXN","Casa en venta disponible en Nunkiní 122, Jardines del Ajusco, Tlalpan, 14200 Ciudad de México, CDMX #122, Col. Jardines del Ajusco, Tlalpan, DF / CDMX, México, C.P. 14200, ID: 30651269",3 Recámaras | 2 Baños | 275 m 2,https://propiedades.com/inmuebles/casa-en-venta-nunkini-122-jardines-del-ajusco-tlalpan-14200-ciudad-de-mexico-cdmx-122-jardines-del-ajusco-df-30651269#tipos=casas-venta&area=ciudad-de-mexico&pos=27
Ciudad De Mexico,1,"$8,490,000
MXN","Casa en venta, Cerro del Sombrero 118, Campestre Churubusco, Coyoacán, 04200 Ciudad de México, CDMX #118, Col. Campestre Churubusco, Coyoacán, DF / CDMX, México, C.P. 04200, ID: 30844019",4 Recámaras | 2 Baños | 320 m 2,https://propiedades.com/inmuebles/casa-en-venta-cerro-del-sombrero-118-campestre-churubusco-coyoacan-04200-ciudad-de-mexico-cdmx-118-campestre-churubusco-df-30844019#tipos=casas-venta&area=ciudad-de-mexico&pos=28
Ciudad De Mexico,1,"$19,900,000
MXN","Miraflores, Col. Insurgentes San Borja, Benito Juárez, DF / CDMX, México, C.P. 03100, ID: 30769419",4 Recámaras | 3 Baños | 501 m 2,https://propiedades.com/inmuebles/casa-en-venta-miraflores-insurgentes-san-borja-df-30769419#tipos=casas-venta&area=ciudad-de-mexico&pos=29
Ciudad De Mexico,1,"$11,500,000
MXN","Cda. de Balcon 3, Tetelpan, Álvaro Obregón, 01700 Ciudad de México, CDMX #3, Col. Tecalcapa del Pueblo Tetelpan, Álvaro Obregón, DF / CDMX, México, C.P. 01700, ID: 30537294",3 Recámaras | 3 Baños | 327 m 2,https://propiedades.com/inmuebles/casa-en-venta-cda-de-balcon-3-tetelpan-alvaro-obregon-01700-ciudad-de-mexico-cdmx-3-tecalcapa-del-pueblo-tetelpan-df-30537294#tipos=casas-venta&area=ciudad-de-mexico&pos=30
Ciudad De Mexico,1,"$3,550,000
MXN","Hacienda La Amazcala 32, Coapa, Floresta Coyoacán, Tlalpan, 14310 Ciudad de México, CDMX #32, Col. Floresta Coyoacán, Tlalpan, DF / CDMX, México, C.P. 14310, ID: 30870430",3 Recámaras | 2 Baños | 180 m 2,https://propiedades.com/inmuebles/casa-en-venta-hacienda-la-amazcala-32-coapa-floresta-coyoacan-tlalpan-14310-ciudad-de-mexico-cdmx-32-floresta-coyoacan-df-30870430#tipos=casas-venta&area=ciudad-de-mexico&pos=31
Ciudad De Mexico,1,"$25,000,000
MXN","Venta de casa en Iztaccihuatl, Florida, 01030 Ciudad de México, CDMX #106, Col. Florida, Álvaro Obregón, DF / CDMX, México, C.P. 01030, ID: 30616072",5 Recámaras | 4 Baños | 431 m 2,https://propiedades.com/inmuebles/casa-en-venta-iztaccihuatl-florida-01030-ciudad-de-mexico-cdmx-106-florida-df-30616072#tipos=casas-venta&area=ciudad-de-mexico&pos=32
Ciudad De Mexico,1,"$8,150,000
MXN","Venta casa en Cto de los Parques 213, Coapa, Parque Coyoacán, Coyoacán, 04899 Ciudad de México, CDMX #213, Col. El Parque de Coyoacán, Coyoacán, DF / CDMX, México, C.P. 04899, ID: 30870379",4 Recámaras | 2 Baños | 185 m 2,https://propiedades.com/inmuebles/casa-en-venta-cto-de-los-parques-213-coapa-parque-coyoacan-coyoacan-04899-ciudad-de-mexico-cdmx-213-el-parque-de-coyoacan-df-30870379#tipos=casas-venta&area=ciudad-de-mexico&pos=33
Ciudad De Mexico,1,"$6,821,656
MXN","La casa 5 del inmueble sujeto al régimen de propiedad en condominio marcado con el número oficial mi, Col. Narvarte Poniente, Benito Juárez, DF / CDMX, México, C.P. 03020, ID: 30795256",4 Recámaras | 4 Baños | 158 m 2,https://propiedades.com/inmuebles/casa-en-venta-la-casa-5-del-inmueble-sujeto-al-regimen-de-propiedad-en-condominio-marcado-con-el-numero-oficial-mi-narvarte-poniente-df-30795256#tipos=casas-venta&area=ciudad-de-mexico&pos=34
Ciudad De Mexico,1,"$2,662,200
MXN","Venta casa en Río Fuerte, Col. Real del Moral, Iztapalapa, DF / CDMX, México, C.P. 09010, ID: 30759687",3 Recámaras | 1 Baño | 76 m 2,https://propiedades.com/inmuebles/casa-en-venta-rio-fuerte-real-del-moral-df-30759687#tipos=casas-venta&area=ciudad-de-mexico&pos=35
Ciudad De Mexico,1,"$30,000,000
MXN","Casa disponible en venta en Hortensia 173, Florida, Álvaro Obregón, 01030 Ciudad de México, CDMX #173, Col. Florida, Álvaro Obregón, DF / CDMX, México, C.P. 01030, ID: 30508451",3 Recámaras | 3 Baños | 400 m 2,https://propiedades.com/inmuebles/casa-en-venta-hortensia-173-florida-alvaro-obregon-01030-ciudad-de-mexico-cdmx-173-florida-df-30508451#tipos=casas-venta&area=ciudad-de-mexico&pos=36
Ciudad De Mexico,1,"$8,650,000
MXN","Venta de casa en Mirlo, Col. Rosedal, Coyoacán, DF / CDMX, México, C.P. 04330, ID: 29753133",4 Recámaras | 3 Baños | 168 m 2,https://propiedades.com/inmuebles/casa-en-venta-mirlo-rosedal-df-29753133#tipos=casas-venta&area=ciudad-de-mexico&pos=37
Ciudad De Mexico,1,"$7,300,000
MXN","Venta casa en Ramon Rivera Fedz. 109, Coapa, Presidentes Ejidales 1ra Secc, Coyoacán, 04470 Ciudad de México, CDMX #109, Col. Presidentes Ejidales 2a Sección, Coyoacán, DF / CDMX, México, C.P. 04470, ID: 30854155",3 Recámaras | 3 Baños | 141 m 2,https://propiedades.com/inmuebles/casa-en-venta-ramon-rivera-fedz-109-coapa-presidentes-ejidales-1ra-secc-coyoacan-04470-ciudad-de-mexico-cdmx-109-presidentes-ejidales-2a-seccion-df-30854155#tipos=casas-venta&area=ciudad-de-mexico&pos=38
Ciudad De Mexico,1,"$11,000,000
MXN","DEL Valle , Col. Del Valle Centro, Benito Juárez, DF / CDMX, México, C.P. 03100, ID: 28823874",3 Recámaras | 3 Baños | 229 m 2,https://propiedades.com/inmuebles/casa-en-venta-del-valle-del-valle-centro-df-28823874#tipos=casas-venta&area=ciudad-de-mexico&pos=39
Ciudad De Mexico,1,"$23,500,000
MXN","Josefa Ortíz de Domingo, Col. Del Carmen, Coyoacán, DF / CDMX, México, C.P. 04100, ID: 27189593",4 Recámaras | 2 Baños | 350 m 2,https://propiedades.com/inmuebles/casa-en-venta-josefa-ortiz-de-domingo-del-carmen-df-27189593#tipos=casas-venta&area=ciudad-de-mexico&pos=40
Ciudad De Mexico,1,"$6,000,000
MXN","Se vende casa Barrio 18 #NO, Col. 18, Xochimilco, DF / CDMX, México, C.P. 16034, ID: 28087423",5 Recámaras | 4 Baños | 400 m 2,https://propiedades.com/inmuebles/casa-en-venta-barrio-18-no-18-df-28087423#tipos=casas-venta&area=ciudad-de-mexico&pos=41
Ciudad De Mexico,1,"$135,000,000
MXN","Venta de casa Roqueta, Col. Lomas de Bezares, Miguel Hidalgo, DF / CDMX, México, C.P. 11910, ID: 29737172",4 Recámaras | 500 m 2,https://propiedades.com/inmuebles/casa-en-venta-roqueta-lomas-de-bezares-df-29737172#tipos=casas-venta&area=ciudad-de-mexico&pos=42
Ciudad De Mexico,1,"$18,645,000
MXN","Casa disponible en venta en , Col. Roma Norte, Cuauhtémoc, DF / CDMX, México, C.P. 06700, ID: 30975093",3 Recámaras | 2 Baños | 258 m 2,https://propiedades.com/inmuebles/casa-en-venta-roma-norte-df-30975093#tipos=casas-venta&area=ciudad-de-mexico&pos=43
Ciudad De Mexico,1,"$9,300,000
MXN","Casa en venta, Callejón de Soledad, Col. San Nicolás Totolapan, La Magdalena Contreras, DF / CDMX, México, C.P. 10900, ID: 28876854",3 Recámaras | 3 Baños | 264 m 2,https://propiedades.com/inmuebles/casa-en-venta-callejon-de-soledad-san-nicolas-totolapan-df-28876854#tipos=casas-venta&area=ciudad-de-mexico&pos=44
Ciudad De Mexico,1,"$38,483,000
MXN","Venta de casa Cerrada de Colorines, Col. Jardines del Pedregal, Álvaro Obregón, DF / CDMX, México, C.P. 01900, ID: 29429264",4 Recámaras | 3 Baños | 350 m 2,https://propiedades.com/inmuebles/casa-en-venta-cerrada-de-colorines-jardines-del-pedregal-df-29429264#tipos=casas-venta&area=ciudad-de-mexico&pos=45
Ciudad De Mexico,1,"$8,140,000
MXN","Venta casa en Prolongación 5 de mayo, Col. San Pedro Mártir, Tlalpan, DF / CDMX, México, C.P. 14650, ID: 30113813",4 Recámaras | 5 Baños | 310 m 2,https://propiedades.com/inmuebles/casa-en-venta-prolongacion-5-de-mayo-san-pedro-martir-df-30113813#tipos=casas-venta&area=ciudad-de-mexico&pos=46
