Estado,Pagina_Extraida,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Coahuila,1,"$4,800,000
MXN","Los Viñedos Sector 1, Los Viñedos, 66367 Cdad. Santa Catarina, N.L., Col. Los Viñedos, Torreón, Coahuila de Zaragoza, México, C.P. 27023, ID: 30980665",4 Recámaras | 4 Baños | 336 m 2,https://propiedades.com/inmuebles/casa-en-venta-los-vinedos-sector-1-los-vinedos-66367-cdad-santa-catarina-nl-los-vinedos-coahuila-30980665#tipos=casas-venta&area=coahuila&pos=1
Coahuila,1,"$2,755,000
MXN","Venta de casa en Viñedos #1, Col. Los Viñedos, Torreón, Coahuila de Zaragoza, México, C.P. 27023, ID: 30948758",3 Recámaras | 2 Baños | 186 m 2,https://propiedades.com/inmuebles/casa-en-venta-vinedos-1-los-vinedos-coahuila-30948758#tipos=casas-venta&area=coahuila&pos=2
Coahuila,1,"$1,400,000
MXN","Venta de casa Afrodita #0000, Col. Ciudad las Torres, Saltillo, Coahuila de Zaragoza, México, C.P. 25110, ID: 30972502",3 Recámaras | 1 Baño | 80 m 2,https://propiedades.com/inmuebles/casa-en-venta-afrodita-0000-ciudad-las-torres-coahuila-30972502#tipos=casas-venta&area=coahuila&pos=3
Coahuila,1,"$6,200,000
MXN","E. López Sánchez S/N, Los Viñedos, 27023 Torreón, Coah. #S/N, Col. Los Viñedos, Torreón, Coahuila de Zaragoza, México, C.P. 27023, ID: 31009091",4 Recámaras | 4 Baños | 335 m 2,https://propiedades.com/inmuebles/casa-en-venta-e-lopez-sanchez-sn-los-vinedos-27023-torreon-coah-sn-los-vinedos-coahuila-31009091#tipos=casas-venta&area=coahuila&pos=4
Coahuila,1,"$25,500,000
MXN","Se vende casa TERRENO CON CONSTRUCCIONES EN LOS GONZALES DE ABAJO, Col. Saltillo Centro, Saltillo, Coahuila de Zaragoza, México, C.P. 25000, ID: 28916591",4 Recámaras | 3 Baños | 2600 m 2,https://propiedades.com/inmuebles/casa-en-venta-terreno-con-construcciones-en-los-gonzales-de-abajo-saltillo-centro-coahuila-28916591#tipos=casas-venta&area=coahuila&pos=5
Coahuila,1,"$4,750,000
MXN","Venta casa en C. de la Gracia, Las Quintas, 27105 Torreón, Coah. #s/n, Col. Las Quintas, Torreón, Coahuila de Zaragoza, México, C.P. 27105, ID: 30973653",4 Recámaras | 4 Baños | 376 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-de-la-gracia-las-quintas-27105-torreon-coah-sn-las-quintas-coahuila-30973653#tipos=casas-venta&area=coahuila&pos=6
Coahuila,1,"$1,480,000
MXN","Casa disponible en venta en Prolongación Paseo del Tecnológico S/N esquina con, Arezzo, Fraccionamiento Arezzo, Av. Toscana, La #1, Col. Arezzo, Torreón, Coahuila de Zaragoza, México, C.P. 27277, ID: 30974175",1 Recámara | 1 Baño | 114 m 2,https://propiedades.com/inmuebles/casa-en-venta-prolongacion-paseo-del-tecnologico-sn-esquina-con-arezzo-fraccionamiento-arezzo-av-toscana-la-1-arezzo-coahuila-30974175#tipos=casas-venta&area=coahuila&pos=7
Coahuila,1,"$12,950,000
MXN","Bolivia 755, Latinoamericana 1ra Amp, 25270 Saltillo, Coah. #755, Col. Latinoamericana Norte, Saltillo, Coahuila de Zaragoza, México, C.P. 25270, ID: 30937231",3 Recámaras | 3 Baños | 500 m 2,https://propiedades.com/inmuebles/casa-en-venta-bolivia-755-latinoamericana-1ra-amp-25270-saltillo-coah-755-latinoamericana-norte-coahuila-30937231#tipos=casas-venta&area=coahuila&pos=8
Coahuila,1,"$3,100,000
MXN","Casa en venta disponible en tórtola #261, Col. Portal las Palomas, Ramos Arizpe, Coahuila de Zaragoza, México, C.P. 25904, ID: 28262942",3 Recámaras | 2 Baños | 155 m 2,https://propiedades.com/inmuebles/casa-en-venta-tortola-261-portal-las-palomas-coahuila-28262942#tipos=casas-venta&area=coahuila&pos=9
Coahuila,1,"$2,300,000
MXN","Venta de casa Río culiacan, Col. Puerta del Rey, Saltillo, Coahuila de Zaragoza, México, C.P. 25298, ID: 30907631",3 Recámaras | 3 Baños | 109 m 2,https://propiedades.com/inmuebles/casa-en-venta-rio-culiacan-puerta-del-rey-coahuila-30907631#tipos=casas-venta&area=coahuila&pos=10
Coahuila,1,"$1,900,000
MXN","Nogal, Col. La Cruz, Frontera, Coahuila de Zaragoza, México, C.P. 25800, ID: 29854089",2 Recámaras | 2 Baños | 120 m 2,https://propiedades.com/inmuebles/casa-en-venta-nogal-la-cruz-coahuila-29854089#tipos=casas-venta&area=coahuila&pos=11
Coahuila,1,"$6,185,000
MXN","La Joya, Col. La Joya, Arteaga, Coahuila de Zaragoza, México, C.P. 25354, ID: 28272702",4 Recámaras | 4 Baños | 350 m 2,https://propiedades.com/inmuebles/casa-en-venta-la-joya-la-joya-coahuila-28272702#tipos=casas-venta&area=coahuila&pos=12
Coahuila,1,"$16,500,000
MXN","Casa en venta disponible en Monte Martre, Col. Jardines de Versalles, Saltillo, Coahuila de Zaragoza, México, C.P. 25200, ID: 30875295",4 Recámaras | 4 Baños | 480 m 2,https://propiedades.com/inmuebles/casa-en-venta-monte-martre-jardines-de-versalles-coahuila-30875295#tipos=casas-venta&area=coahuila&pos=13
Coahuila,1,"$13,900,000
MXN","Casa en venta disponible en fresnos, Col. Los Cedros Residencial, Saltillo, Coahuila de Zaragoza, México, C.P. 25207, ID: 27385343",5 Recámaras | 4 Baños | 600 m 2,https://propiedades.com/inmuebles/casa-en-venta-fresnos-los-cedros-residencial-coahuila-27385343#tipos=casas-venta&area=coahuila&pos=14
Coahuila,1,"$7,250,000
MXN","Villa 5, Saltillo, Coahuila de Zaragoza, México, C.P. 25298, ID: 28129345",4 Recámaras | 4 Baños | 325 m 2,https://propiedades.com/inmuebles/casa-en-venta-villa-5-torrecillas-y-ramones-coahuila-28129345#tipos=casas-venta&area=coahuila&pos=15
Coahuila,1,"$2,600,000
MXN","Se vende casa La Estrella, 27297 Torreón, Coah. #s/n, Col. Zaragoza Sur, Torreón, Coahuila de Zaragoza, México, C.P. 27297, ID: 31004939",3 Recámaras | 2 Baños | 170 m 2,https://propiedades.com/inmuebles/casa-en-venta-la-estrella-27297-torreon-coah-sn-zaragoza-sur-coahuila-31004939#tipos=casas-venta&area=coahuila&pos=16
Coahuila,1,"$1,302,000
MXN","Venta de casa en CERRADA LYON #0, Col. Casa Blanca, Torreón, Coahuila de Zaragoza, México, C.P. 27265, ID: 29122058",5 Recámaras | 3 Baños | 250 m 2,
Coahuila,1,"$760,937
MXN","Casa en venta, ENCINOS #0, Col. Balcones de La Aurora, Saltillo, Coahuila de Zaragoza, México, C.P. 25296, ID: 29122125",4 Recámaras | 2 Baños | 120 m 2,https://propiedades.com/inmuebles/casa-en-venta-encinos-balcones-de-la-aurora-coahuila-29122125#tipos=casas-venta&area=coahuila&pos=18
Coahuila,1,"$299,000
MXN","Prolongación San Marcelino 789 #789, Col. Bellavista, Torreón, Coahuila de Zaragoza, México, C.P. 27299, ID: 29950852",3 Recámaras | 2 Baños | 115 m 2,https://propiedades.com/inmuebles/casa-en-venta-prolongacion-san-marcelino-789-789-bellavista-coahuila-29950852#tipos=casas-venta&area=coahuila&pos=19
