Estado,Pagina_Extraida,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Colima,1,"$7,050,000
MXN","De La Cruz, Olas Altas, Manzanillo, Col. #9, Col. Olas Altas, Manzanillo, Colima, México, C.P. 28860, ID: 30532989",4 Recámaras | 3 Baños | 231 m 2,https://propiedades.com/inmuebles/casa-en-venta-de-la-cruz-olas-altas-manzanillo-col-9-olas-altas-colima-30532989#tipos=casas-venta&area=colima&pos=1
Colima,1,"$7,933,000
MXN","Casa en venta disponible en Ingeniero Horacio Cervantes, Col. Residencial Esmeralda Norte, Colima, Colima, México, C.P. 28017, ID: 30632762",4 Recámaras | 4 Baños | 370 m 2,https://propiedades.com/inmuebles/casa-en-venta-ingeniero-horacio-cervantes-residencial-esmeralda-norte-colima-30632762#tipos=casas-venta&area=colima&pos=2
Colima,1,"$11,000,000
MXN","Casa en venta, Península de Santiago, 28867 Manzanillo, Col. #s/n, Col. La Audiencia, Manzanillo, Colima, México, C.P. 28867, ID: 30966951",3 Recámaras | 5 Baños | 522 m 2,https://propiedades.com/inmuebles/casa-en-venta-peninsula-de-santiago-28867-manzanillo-col-sn-la-audiencia-colima-30966951#tipos=casas-venta&area=colima&pos=3
Colima,1,"$3,300,000
MXN","Venta casa en Monte sinai, Col. El Chanal, Colima, Colima, México, C.P. 28610, ID: 28955411",3 Recámaras | 3 Baños | 150 m 2,https://propiedades.com/inmuebles/casa-en-venta-monte-sinai-el-chanal-colima-28955411#tipos=casas-venta&area=colima&pos=4
Colima,1,"$3,990,000
MXN","Casa en venta disponible en esmeralda norte, Col. Residencial Esmeralda Norte, Colima, Colima, México, C.P. 28017, ID: 28339383",3 Recámaras | 2 Baños | 243 m 2,https://propiedades.com/inmuebles/casa-en-venta-esmeralda-norte-residencial-esmeralda-norte-colima-28339383#tipos=casas-venta&area=colima&pos=5
Colima,1,"$8,980,000
MXN","Venta de casa en Jacaranda, Col. Altozano, Cuauhtémoc, Colima, México, C.P. 28530, ID: 30949765",4 Recámaras | 3 Baños | 332 m 2,https://propiedades.com/inmuebles/casa-en-venta-jacaranda-altozano-colima-30949765#tipos=casas-venta&area=colima&pos=6
Colima,1,"$2,950,000
MXN","Se vende casa Asturias, Col. Colinas de Santa Fe, Colima, Colima, México, C.P. 28017, ID: 30242933",2 Recámaras | 2 Baños | 107 m 2,https://propiedades.com/inmuebles/casa-en-venta-asturias-colinas-de-santa-fe-colima-30242933#tipos=casas-venta&area=colima&pos=7
Colima,1,"$3,300,000
MXN","Casa disponible en venta en San Nicolas, Col. Colinas de Santa Fe, Colima, Colima, México, C.P. 28017, ID: 25574681",3 Recámaras | 3 Baños | 135 m 2,https://propiedades.com/inmuebles/casa-en-venta-san-nicolas-colinas-de-santa-fe-colima-25574681#tipos=casas-venta&area=colima&pos=8
Colima,1,"$2,550,000
MXN","Venta casa en Paseo Valle Dorado, Col. Residencial Santa María, Colima, Colima, México, C.P. 28018, ID: 28844271",3 Recámaras | 2 Baños | 115 m 2,https://propiedades.com/inmuebles/casa-en-venta-paseo-valle-dorado-residencial-santa-maria-colima-28844271#tipos=casas-venta&area=colima&pos=9
Colima,1,"$2,150,000
MXN","Venta de casa Av paseo de los volcanes, Col. Hacienda del Carmen, Villa de Álvarez, Colima, México, C.P. 28978, ID: 30847717",3 Recámaras | 2 Baños | 110 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-paseo-de-los-volcanes-hacienda-del-carmen-colima-30847717#tipos=casas-venta&area=colima&pos=10
Colima,1,"$2,850,000
MXN","Casa en venta, Monte carpatos, Col. Residencial Valle Verde, Colima, Colima, México, C.P. 28017, ID: 30286431",3 Recámaras | 2 Baños | 107 m 2,https://propiedades.com/inmuebles/casa-en-venta-monte-carpatos-residencial-valle-verde-colima-30286431#tipos=casas-venta&area=colima&pos=11
Colima,1,"$3,100,000
MXN","Casa en venta disponible en Tiburcio Aguilar, Col. Villa de Alvarez Centro, Villa de Álvarez, Colima, México, C.P. 28970, ID: 30418716",3 Recámaras | 2 Baños | 211 m 2,https://propiedades.com/inmuebles/casa-en-venta-tiburcio-aguilar-villa-de-alvarez-centro-colima-30418716#tipos=casas-venta&area=colima&pos=12
Colima,1,"$14,500,000
MXN","Casa disponible en venta en Camichines, Col. Campestre Comala, Comala, Colima, México, C.P. 28450, ID: 30474206",5 Recámaras | 4 Baños | 480 m 2,https://propiedades.com/inmuebles/casa-en-venta-camichines-campestre-comala-colima-30474206#tipos=casas-venta&area=colima&pos=13
Colima,1,"$1,400,000
MXN","Casa en venta, Aguililla Cangrejera, Santa Carolina, 28864 Manzanillo, Col. #s/n, Col. Santa Carolina, Manzanillo, Colima, México, C.P. 28864, ID: 30827183",2 Recámaras | 1 Baño | 63 m 2,https://propiedades.com/inmuebles/casa-en-venta-aguililla-cangrejera-santa-carolina-28864-manzanillo-col-sn-santa-carolina-colima-30827183#tipos=casas-venta&area=colima&pos=14
Colima,1,"$17,500,000
MXN","Se vende casa en Emilio Brun, Col. Residencial Los Olivos, Colima, Colima, México, C.P. 28017, ID: 30744643",4 Recámaras | 5 Baños | 700 m 2,https://propiedades.com/inmuebles/casa-en-venta-emilio-brun-residencial-los-olivos-colima-30744643#tipos=casas-venta&area=colima&pos=15
Colima,1,"$7,500,000
MXN","Se vende casa en Pedro Cervantes, Col. Esmeralda, Colima, Colima, México, C.P. 28017, ID: 29856951",4 Recámaras | 4 Baños | 333 m 2,https://propiedades.com/inmuebles/casa-en-venta-pedro-cervantes-esmeralda-colima-29856951#tipos=casas-venta&area=colima&pos=16
Colima,1,"$8,790,000
MXN","Venta de casa Av Constitución, Col. Jardines Vista Hermosa, Colima, Colima, México, C.P. 28017, ID: 26338226",4 Recámaras | 5 Baños | 502 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-constitucion-jardines-vista-hermosa-colima-26338226#tipos=casas-venta&area=colima&pos=17
Colima,1,"$2,690,000
MXN","Casa en venta disponible en Milan, Col. Comala, Comala, Colima, México, C.P. 28450, ID: 30409051",4 Recámaras | 3 Baños | 145 m 2,https://propiedades.com/inmuebles/casa-en-venta-milan-comala-colima-30409051#tipos=casas-venta&area=colima&pos=18
Colima,1,"$670,000
MXN","Se vende casa C. República 580, Tepeyac, 28110 Tecomán, Col. #580, Col. Manuel Alvarez, Tecomán, Colima, México, C.P. 28110, ID: 30632191",4 Recámaras | 3 Baños | 780 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-republica-580-tepeyac-28110-tecoman-col-580-manuel-alvarez-colima-30632191#tipos=casas-venta&area=colima&pos=19
Colima,1,"$450,000
MXN","Se vende casa en Calle Neptuno 207 #207, Col. Valle Esmeralda, Manzanillo, Colima, México, C.P. 28219, ID: 29057616",4 Recámaras | 3 Baños | 210 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-neptuno-207-207-valle-esmeralda-colima-29057616#tipos=casas-venta&area=colima&pos=20
Colima,1,"$690,000
MXN","Casa en venta disponible en Cristóbal Colón, Col. Floresta, Villa de Álvarez, Colima, México, C.P. 28973, ID: 29512084",4 Recámaras | 3 Baños | 68 m 2,https://propiedades.com/inmuebles/casa-en-venta-cristobal-colon-floresta-colima-29512084#tipos=casas-venta&area=colima&pos=21
Colima,1,"$920,000
MXN","Laguna del Jabalí 8, Col. Alfredo V Bonfil, Villa de Álvarez, Colima, México, C.P. 28979, ID: 28500152",2 Recámaras | 1 Baño | 91 m 2,https://propiedades.com/inmuebles/casa-en-venta-laguna-del-jabali-8-alfredo-v-bonfil-colima-28500152#tipos=casas-venta&area=colima&pos=22
Colima,1,"$3,150,000
MXN","Casa en venta, Colinas del Real, Col. Las Colinas, Villa de Álvarez, Colima, México, C.P. 28979, ID: 30217738",3 Recámaras | 3 Baños | 150 m 2,https://propiedades.com/inmuebles/casa-en-venta-colinas-del-real-las-colinas-colima-30217738#tipos=casas-venta&area=colima&pos=23
Colima,1,"$457,000
MXN","Casa disponible en venta en , Col. Tepeyac, Tecomán, Colima, México, C.P. 28110, ID: 29188907",3 Recámaras | 2 Baños | 305 m 2,https://propiedades.com/inmuebles/casa-en-venta-tepeyac-colima-29188907#tipos=casas-venta&area=colima&pos=24
Colima,1,"$2,200,000
MXN","Casa disponible en venta en Col. Real Hacienda, Col. Real Hacienda, Villa de Álvarez, Colima, México, C.P. 28978, ID: 30207467",3 Recámaras | 2 Baños | 126 m 2,https://propiedades.com/inmuebles/casa-en-venta-col-real-hacienda-real-hacienda-colima-30207467#tipos=casas-venta&area=colima&pos=25
Colima,1,"$1,630,000
MXN","Casa disponible en venta en , Col. La Rivera, Colima, Colima, México, C.P. 28078, ID: 27345685",3 Recámaras | 2 Baños | 111 m 2,https://propiedades.com/inmuebles/casa-en-venta-la-rivera-colima-27345685#tipos=casas-venta&area=colima&pos=26
Colima,1,"$3,275,000
MXN","Calle de la Libertad #71, Albaterra, Colima, Col. Villas Colinas, Colima, Colima, México, C.P. 28017, ID: 30783928",3 Recámaras | 3 Baños | 122 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-de-la-libertad-71-albaterra-colima-villas-colinas-colima-30783928#tipos=casas-venta&area=colima&pos=27
Colima,1,"$2,800,000
MXN","Namibia, Col. Colinas de Santa Fe, Colima, Colima, México, C.P. 28017, ID: 30488465",2 Recámaras | 2 Baños | 103 m 2,https://propiedades.com/inmuebles/casa-en-venta-namibia-colinas-de-santa-fe-colima-30488465#tipos=casas-venta&area=colima&pos=28
Colima,1,"$2,680,000
MXN","Se vende casa San Gabriel, San Angel, Colima, Col. Villas Colinas, Colima, Colima, México, C.P. 28017, ID: 30682278",3 Recámaras | 2 Baños | 120 m 2,https://propiedades.com/inmuebles/casa-en-venta-san-gabriel-san-angel-colima-villas-colinas-colima-30682278#tipos=casas-venta&area=colima&pos=29
