Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Guanajuato,1,,"$925,000 USD","Venta de casa Principal de Los Frailes M-40 L-10, Col. Villa de los Frailes, San Miguel de Allende, Guanajuato, México, C.P. 37790, ID: 22751835",3 Recámaras | 3 Baños | 311 m 2,https://propiedades.com/inmuebles/casa-en-venta-principal-de-los-frailes-m40-l10-villa-de-los-frailes-guanajuato-22751835
Guanajuato,1,,"$18,000,000 MXN","Casa disponible en venta en San Francisco, Col. San Miguel de Allende Centro, San Miguel de Allende, Guanajuato, México, C.P. 37700, ID: 30607889",4 Recámaras | 4 Baños | 192 m 2,https://propiedades.com/inmuebles/casa-en-venta-san-francisco-san-miguel-de-allende-centro-guanajuato-30607889
Guanajuato,1,,"$1,750,000 MXN","Cto. Monte Jaya 101, 38183 Gto., Col. San Humberto, Apaseo el Grande, Guanajuato, México, C.P. 38183, ID: 30221005",2 Recámaras | 1 Baño | 70 m 2,https://propiedades.com/inmuebles/casa-en-venta-cto-monte-jaya-101-38183-gto-san-humberto-guanajuato-30221005
Guanajuato,1,,"$12,000,000 MXN","Casa en venta disponible en Margarito Ledezma, Col. Guadalupe, San Miguel de Allende, Guanajuato, México, C.P. 37710, ID: 30726836",3 Recámaras | 5 Baños | 210 m 2,https://propiedades.com/inmuebles/casa-en-venta-margarito-ledezma-guadalupe-guanajuato-30726836
Guanajuato,1,,"$14,750,000 MXN","Venta de casa Club de Golf MalanquinRonda, Col. Residencial Malanquin la Mesa, San Miguel de Allende, Guanajuato, México, C.P. 37797, ID: 30117550",4 Recámaras | 4 Baños | 467 m 2,https://propiedades.com/inmuebles/casa-en-venta-club-de-golf-malanquinronda-residencial-malanquin-la-mesa-guanajuato-30117550
Guanajuato,1,,"$614,000 USD","Venta de casa Umaran, Col. San Miguel de Allende Centro, San Miguel de Allende, Guanajuato, México, C.P. 37700, ID: 30726839",3 Recámaras | 3 Baños | 209 m 2,https://propiedades.com/inmuebles/casa-en-venta-umaran-san-miguel-de-allende-centro-guanajuato-30726839
Guanajuato,1,,"$2,386,000 MXN","Venta de casa en Circuito Bosque Bambú Casa 140 Lt 19 Mz 21, Fracc. Dorado II, Ciudad De León, Guanajuato, C.P. 37590, Col. El Dorado II, León, Guanajuato, México, C.P. 37590, ID: 30057926",3 Recámaras | 1 Baño | 107 m 2,https://propiedades.com/inmuebles/casa-en-venta-circuito-bosque-bambu-casa-140-lt-19-mz-21-fracc-dorado-ii-ciudad-de-leon-guanajuato-cp-37590-el-dorado-ii-guanajuato-30057926
Guanajuato,1,,"$988,000 USD","Venta casa en SosnabarP134 Z7 P1/1 S/ Llano Blanco, Col. Sosnabar, San Miguel de Allende, Guanajuato, México, C.P. 37898, ID: 30450244",2 Recámaras | 2 Baños | 420 m 2,https://propiedades.com/inmuebles/casa-en-venta-sosnabarp134-z7-p11-s-llano-blanco-sosnabar-guanajuato-30450244
Guanajuato,1,,"$762,000 MXN","Se vende casa Circuito Punta de Tarragona 109 B, Fraccionamiento Ciudad Punta Dorada, León, Guanajuato, C.P. 37359, Col. Punta Dorada, León, Guanajuato, México, C.P. 37359, ID: 30077126",2 Recámaras | 1 Baño | 52 m 2,https://propiedades.com/inmuebles/casa-en-venta-circuito-punta-de-tarragona-109-b-fraccionamiento-ciudad-punta-dorada-leon-guanajuato-cp-37359-punta-dorada-guanajuato-30077126
Guanajuato,1,,"$815,000 USD","Animas, Col. San Miguel de Allende Centro, San Miguel de Allende, Guanajuato, México, C.P. 37700, ID: 14187342",2 Recámaras | 2 Baños | 223 m 2,https://propiedades.com/inmuebles/casa-en-venta-animas-san-miguel-de-allende-centro-guanajuato-14187342
Guanajuato,1,,"$1,950,000 MXN","Se vende casa Cto. Monte Jaya 101, 38183 Gto., Col. Colunga, Apaseo el Grande, Guanajuato, México, C.P. 38183, ID: 30334172",3 Recámaras | 1 Baño | 82 m 2,https://propiedades.com/inmuebles/casa-en-venta-cto-monte-jaya-101-38183-gto-colunga-guanajuato-30334172
Guanajuato,1,,"$1,469,820 MXN","Se vende casa Mazuela 102, Residencial Hacienda Viñedos, Los Héroes León, León, Guanajuato, C.P. 37544, Col. Residencial Hacienda Viñedos , León, Guanajuato, México, C.P. 37544, ID: 30273389",3 Recámaras | 3 Baños | 88 m 2,https://propiedades.com/inmuebles/casa-en-venta-mazuela-102-residencial-hacienda-vinedos-los-heroes-leon-leon-guanajuato-cp-37544-residencial-hacienda-vinedos-----guanajuato-30273389
Guanajuato,1,,"$659,000 USD","Venta casa en Callejón del Chorro, Col. San Miguel de Allende Centro, San Miguel de Allende, Guanajuato, México, C.P. 37700, ID: 30108920",3 Recámaras | 4 Baños | 394 m 2,https://propiedades.com/inmuebles/casa-en-venta-callejon-del-chorro-san-miguel-de-allende-centro-guanajuato-30108920
Guanajuato,1,,"$2,026,230 MXN","Casa disponible en venta en Cto. Bosque Limonero #112, El Dorado, 37590, León de los Aldama, Gto., Col. El Dorado, León, Guanajuato, México, C.P. 37590, ID: 30396566",3 Recámaras | 2 Baños | 120 m 2,https://propiedades.com/inmuebles/casa-en-venta-cto-bosque-limonero-112-el-dorado-37590-leon-de-los-aldama-gto-el-dorado-guanajuato-30396566
Guanajuato,1,,"$11,500,000 MXN","Balcones del Campestre, León de los Aldama, Gto. #s/n, Col. Balcones del Campestre, León, Guanajuato, México, C.P. 37138, ID: 30562951",3 Recámaras | 4 Baños | 558 m 2,https://propiedades.com/inmuebles/casa-en-venta-balcones-del-campestre-leon-de-los-aldama-gto-sn-balcones-del-campestre-guanajuato-30562951
Guanajuato,1,,"$3,999,000 MXN","Venta casa en Mineral de Guadalupe, Col. Tierradentro, San Miguel de Allende, Guanajuato, México, C.P. 37713, ID: 30155333",3 Recámaras | 3 Baños | 117 m 2,https://propiedades.com/inmuebles/casa-en-venta-mineral-de-guadalupe-tierradentro-guanajuato-30155333
Guanajuato,1,,"$185,000 USD","Casa disponible en venta en Brisas, Col. San Antonio, San Miguel de Allende, Guanajuato, México, C.P. 37897, ID: 21927343",2 Recámaras | 3 Baños | 176 m 2,https://propiedades.com/inmuebles/casa-en-venta-brisas-san-antonio-guanajuato-21927343
Guanajuato,1,,"$2,500,000 USD","Se vende casa Granada, Col. Residencial Malanquin la Mesa, San Miguel de Allende, Guanajuato, México, C.P. 37797, ID: 30761992",4 Recámaras | 4 Baños | 670 m 2,https://propiedades.com/inmuebles/casa-en-venta-granada-residencial-malanquin-la-mesa-guanajuato-30761992
Guanajuato,1,,"$1,223,103 MXN","36132 Silao de la Victoria, Gto., Col. Hacienda de Silao, Silao de la Victoria, Guanajuato, México, C.P. 36132, ID: 29528068",2 Recámaras | 1 Baño | 62 m 2,https://propiedades.com/inmuebles/casa-en-venta-36132-silao-de-la-victoria-gto-hacienda-de-silao-guanajuato-29528068
Guanajuato,1,,"$8,600,000 MXN","Se vende casa Fray Juan de San Miguel, Col. San Ricardo, San Miguel de Allende, Guanajuato, México, C.P. 37717, ID: 30155332",4 Recámaras | 3 Baños | 320 m 2,https://propiedades.com/inmuebles/casa-en-venta-fray-juan-de-san-miguel-san-ricardo-guanajuato-30155332
Guanajuato,1,,"$1,800,000 USD","Salida Real a Querétaro, Col. San Miguel de Allende Centro, San Miguel de Allende, Guanajuato, México, C.P. 37700, ID: 28417408",9 Recámaras | 8 Baños | 1003 m 2,https://propiedades.com/inmuebles/casa-en-venta-salida-real-a-queretaro-san-miguel-de-allende-centro-guanajuato-28417408
Guanajuato,1,,"$2,280,000 USD","Los LópezFracc., Col. Los López, San Miguel de Allende, Guanajuato, México, C.P. 37897, ID: 30413546",5 Recámaras | 5 Baños | 729 m 2,https://propiedades.com/inmuebles/casa-en-venta-los-lopezfracc-los-lopez-guanajuato-30413546
Guanajuato,1,,"$22,000,000 MXN","Se vende casa en El Cortijo, Col. El Cortijo, San Miguel de Allende, Guanajuato, México, C.P. 37893, ID: 30503706",3 Recámaras | 3 Baños | 490 m 2,https://propiedades.com/inmuebles/casa-en-venta-el-cortijo-el-cortijo-guanajuato-30503706
Guanajuato,1,,"$11,500,000 MXN","Venta casa en 20 de Enero Norte, Col. San Antonio, San Miguel de Allende, Guanajuato, México, C.P. 37750, ID: 30726861",5 Recámaras | 2 Baños | 303 m 2,https://propiedades.com/inmuebles/casa-en-venta-20-de-enero-norte-san-antonio-guanajuato-30726861
Guanajuato,1,,"$37,500,000 MXN","Cumbres del Campestre, 37128 León de los Aldama, Gto. #s/n, Col. Cumbres del Campestre, León, Guanajuato, México, C.P. 37128, ID: 30840843",3 Recámaras | 3 Baños | 997 m 2,https://propiedades.com/inmuebles/casa-en-venta-cumbres-del-campestre-37128-leon-de-los-aldama-gto-sn-cumbres-del-campestre-guanajuato-30840843
Guanajuato,1,,"$2,030,000 MXN","Casa en venta disponible en Av. Monte Everest No. 110 Fracc. La Meseta Apaseo El Grande, Guanajuato, Col. La Punta, Apaseo el Grande, Guanajuato, México, C.P. 38183, ID: 30334323",3 Recámaras | 3 Baños | 79 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-monte-everest-no-110-fracc-la-meseta-apaseo-el-grande-guanajuato-la-punta-guanajuato-30334323
Guanajuato,1,,"$488,000 USD","Se vende casa en La Luz, Col. San Antonio, San Miguel de Allende, Guanajuato, México, C.P. 37750, ID: 25779884",4 Recámaras | 4 Baños | 165 m 2,https://propiedades.com/inmuebles/casa-en-venta-la-luz-san-antonio-guanajuato-25779884
Guanajuato,1,,"$9,500,000 MXN","Casa disponible en venta en Acordada, Col. Villa de los Frailes, San Miguel de Allende, Guanajuato, México, C.P. 37790, ID: 29982750",4 Recámaras | 3 Baños | 310 m 2,https://propiedades.com/inmuebles/casa-en-venta-acordada-villa-de-los-frailes-guanajuato-29982750
Guanajuato,1,,"$10,900,000 MXN","Venta de casa en José Mercadillo, Col. San Felipe Neri, San Miguel de Allende, Guanajuato, México, C.P. 37733, ID: 30441316",4 Recámaras | 2 Baños | 448 m 2,https://propiedades.com/inmuebles/casa-en-venta-jose-mercadillo-san-felipe-neri-guanajuato-30441316
Guanajuato,1,,"$2,085,000 USD","Calzada de la Aurora, Col. Guadalupe, San Miguel de Allende, Guanajuato, México, C.P. 37710, ID: 29890365",9 Recámaras | 6 Baños | 671 m 2,https://propiedades.com/inmuebles/casa-en-venta-calzada-de-la-aurora-guadalupe-guanajuato-29890365
Guanajuato,1,,"$1,512,000 MXN","Venta de casa en Parque Ninfa 404, Fraccionamiento Montolivo Residencial, León Guanajuato, C.p 37547., Col. Loreto Residencial, León, Guanajuato, México, C.P. 37547, ID: 30072524",3 Recámaras | 1 Baño | 80 m 2,https://propiedades.com/inmuebles/casa-en-venta-parque-ninfa-404-fraccionamiento-montolivo-residencial-leon-guanajuato-cp-37547-loreto-residencial-guanajuato-30072524
Guanajuato,1,,"$650,000 USD","Venta de casa Fuente de las Cibeles, Col. Barrio El Tecolote, San Miguel de Allende, Guanajuato, México, C.P. 37740, ID: 30591704",3 Recámaras | 3 Baños | 280 m 2,https://propiedades.com/inmuebles/casa-en-venta-fuente-de-las-cibeles-barrio-el-tecolote-guanajuato-30591704
Guanajuato,1,,"$2,135,000 MXN","Venta casa en Cto. Monte Jaya 101, 38183 Gto., Col. Colunga, Apaseo el Grande, Guanajuato, México, C.P. 38183, ID: 30334173",3 Recámaras | 2 Baños | 99 m 2,https://propiedades.com/inmuebles/casa-en-venta-cto-monte-jaya-101-38183-gto-colunga-guanajuato-30334173
Guanajuato,1,,"$1,735,981 MXN","Se vende casa Calle De Los Girasoles 1102, Los Agaves Residencial, León, Guanajuato, C.P. 37547, Col. Loreto Residencial, León, Guanajuato, México, C.P. 37547, ID: 30334471",3 Recámaras | 84 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-de-los-girasoles-1102-los-agaves-residencial-leon-guanajuato-cp-37547-loreto-residencial-guanajuato-30334471
Guanajuato,1,,"$545,000 USD","Casa disponible en venta en Farolito, Col. Guadalupe, San Miguel de Allende, Guanajuato, México, C.P. 37710, ID: 30689941",4 Recámaras | 4 Baños | 248 m 2,https://propiedades.com/inmuebles/casa-en-venta-farolito-guadalupe-guanajuato-30689941
Guanajuato,1,,"$2,479,000 MXN","David 116, Lugano Residencial, León, Guanajuato, C.P. 37669, Col. Arras Residencial, León, Guanajuato, México, C.P. 37669, ID: 30221008",3 Recámaras | 2 Baños | 108 m 2,https://propiedades.com/inmuebles/casa-en-venta-david-116-lugano-residencial-leon-guanajuato-cp-37669-arras-residencial-guanajuato-30221008
Guanajuato,1,,"$8,400,000 MXN","Casa en venta disponible en Privada de la Cruz, Col. San Antonio, San Miguel de Allende, Guanajuato, México, C.P. 37750, ID: 20706566",6 Recámaras | 6 Baños | 365 m 2,https://propiedades.com/inmuebles/casa-en-venta-privada-de-la-cruz-san-antonio-guanajuato-20706566
Guanajuato,1,,"$1,985,000 USD","Se vende casa en Recreo, Col. San Miguel de Allende Centro, San Miguel de Allende, Guanajuato, México, C.P. 37700, ID: 30637115",5 Recámaras | 5 Baños | 317 m 2,https://propiedades.com/inmuebles/casa-en-venta-recreo-san-miguel-de-allende-centro-guanajuato-30637115
Guanajuato,1,,"$398,000 USD","Se vende casa Club de Golf VentanasCalle Lusitanos, Col. Barrio El Tecolote, San Miguel de Allende, Guanajuato, México, C.P. 37740, ID: 30112622",2 Recámaras | 2 Baños | 132 m 2,https://propiedades.com/inmuebles/casa-en-venta-club-de-golf-ventanascalle-lusitanos-barrio-el-tecolote-guanajuato-30112622
