Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Guerrero,1,,"$3,650,000 MXN","Se vende casa Vía Tropical, Col. Las Playas, Acapulco de Juárez, Guerrero, México, C.P. 39390, ID: 30409313",5 Recámaras | 4 Baños | 237 m 2,https://propiedades.com/inmuebles/casa-en-venta-via-tropical-las-playas-guerrero-30409313
Guerrero,1,,"$1,050,000 MXN","Casa disponible en venta en Llano Largo, Acapulco de Juárez, Gro., Col. La Marquesa, Acapulco de Juárez, Guerrero, México, C.P. 39906, ID: 30761204",2 Recámaras | 1 Baño | 80 m 2,https://propiedades.com/inmuebles/casa-en-venta-llano-largo-acapulco-de-juarez-gro-la-marquesa-guerrero-30761204
Guerrero,1,,"$1,100,000 MXN","Venta casa en Fraccionamiento Los tulipanes #86Int. 20, Col. El Pedregoso, Acapulco de Juárez, Guerrero, México, C.P. 39905, ID: 27868421",2 Recámaras | 1 Baño | 115 m 2,https://propiedades.com/inmuebles/casa-en-venta-fraccionamiento-los-tulipanes-86-el-pedregoso-guerrero-27868421
Guerrero,1,,"$12,800,000 MXN","Venta de casa en Paseo del Mástil & Sendero del Rey, Fracc Marina Brisas, Unta Bruja, 39888 Acapulco de Juárez, Gro. #s/n, Col. Marina Brisas, Acapulco de Juárez, Guerrero, México, C.P. 39889, ID: 30680562",4 Recámaras | 4 Baños | 400 m 2,https://propiedades.com/inmuebles/casa-en-venta-paseo-del-mastil-sendero-del-rey-fracc-marina-brisas-unta-bruja-39888-acapulco-de-juarez-gro-sn-marina-brisas-guerrero-30680562
Guerrero,1,,"$20,500,000 MXN","Venta de casa en Carretera a la Barra de Coyuca Km. 9.5, Guerrero, Col. Los Mogotes, Coyuca de Benítez, Guerrero, México, C.P. 40989, ID: 28298407",4 Recámaras | 734 m 2,https://propiedades.com/inmuebles/casa-en-venta-carretera-a-la-barra-de-coyuca-km-95-guerrero-los-mogotes-guerrero-28298407
Guerrero,1,,"$3,750,000 MXN","jardín Pricesa #lote 30Int. villa 4, Col. Jardín Princesas I, Acapulco de Juárez, Guerrero, México, C.P. 39890, ID: 30378434",3 Recámaras | 3 Baños | 180 m 2,https://propiedades.com/inmuebles/casa-en-venta-jardin-pricesa-lote-30-jardin-princesas-i-guerrero-30378434
Guerrero,1,,"$60,000,000 MXN","Venta de casa Palmas #1, Col. Las Brisas 1, Acapulco de Juárez, Guerrero, México, C.P. 39888, ID: 30682384",4 Recámaras | 7 Baños | 800 m 2,https://propiedades.com/inmuebles/casa-en-venta-palmas-1-las-brisas-1-guerrero-30682384
Guerrero,1,,"$3,300,000 MXN","Venta de casa Fraccionamiento Jdn. Princesa, Granjas del Marqués, 39890 Acapulco de Juárez, Gro. #s/n, Col. Jardín Princesas I, Acapulco de Juárez, Guerrero, México, C.P. 39890, ID: 30653137",4 Recámaras | 4 Baños | 300 m 2,https://propiedades.com/inmuebles/casa-en-venta-fraccionamiento-jdn-princesa-granjas-del-marques-39890-acapulco-de-juarez-gro-sn-jardin-princesas-i-guerrero-30653137
Guerrero,1,,"$28,000,000 MXN","Venta casa en P.º de Las Rocas #11A, Col. Real Diamante, Acapulco de Juárez, Guerrero, México, C.P. 39897, ID: 30766114",6 Recámaras | 7 Baños | 600 m 2,https://propiedades.com/inmuebles/casa-en-venta-p-de-las-rocas-11a-real-diamante-guerrero-30766114
Guerrero,1,,"$4,004,000 MXN","Se vende casa en Avenida Revolución #165, Col. Hogar Moderno, Acapulco de Juárez, Guerrero, México, C.P. 39580, ID: 30161957",5 Recámaras | 5 Baños | 564 m 2,https://propiedades.com/inmuebles/casa-en-venta-avenida-revolucion-165-hogar-moderno-guerrero-30161957
Guerrero,1,,"$38,500,000 MXN","Casa en venta, Del Mar #24Int. Villa del Mar, Col. Las Brisas 1, Acapulco de Juárez, Guerrero, México, C.P. 39888, ID: 30749075",4 Recámaras | 5 Baños | 1000 m 2,https://propiedades.com/inmuebles/casa-en-venta-del-mar-24-las-brisas-1-guerrero-30749075
Guerrero,1,,"$55,000,000 MXN","Se vende casa en Carretera Barra Vieja #1, Col. Club de Golf Tres Vidas, Acapulco de Juárez, Guerrero, México, C.P. 39893, ID: 30705058",5 Recámaras | 9 Baños | 724 m 2,https://propiedades.com/inmuebles/casa-en-venta-carretera-barra-vieja-1-club-de-golf-tres-vidas-guerrero-30705058
Guerrero,1,,"$700,000 MXN","Venta casa en Cda. Castillo Breton 10, Fracc Costa Azul, Costa Azul, Acapulco de Juárez, Gro. #s/n, Col. Icacos Prolongación, Acapulco de Juárez, Guerrero, México, C.P. 39866, ID: 30385285",5 Recámaras | 3 Baños | 380 m 2,https://propiedades.com/inmuebles/casa-en-venta-cda-castillo-breton-10-fracc-costa-azul-costa-azul-acapulco-de-juarez-gro-sn-icacos-prolongacion-guerrero-30385285
Guerrero,1,,"$900,000 MXN","Se vende casa en De los Gobernadores 48, Los Girasoles, 39086 Chilpancingo de los Bravo, Gro. #48, Col. Los Girasoles, Chilpancingo de los Bravo, Guerrero, México, C.P. 39086, ID: 30472892",4 Recámaras | 2 Baños | 430 m 2,https://propiedades.com/inmuebles/casa-en-venta-de-los-gobernadores-48-los-girasoles-39086-chilpancingo-de-los-bravo-gro-48-los-girasoles-guerrero-30472892
Guerrero,1,,"$420,000 MXN","Casa en venta, Paseo del Rincón, Col. Morrocoy, Zihuatanejo de Azueta, Guerrero, México, C.P. 40880, ID: 30133188",3 Recámaras | 2 Baños | 120 m 2,https://propiedades.com/inmuebles/casa-en-venta-paseo-del-rincon-morrocoy-guerrero-30133188
