Estado,Pagina_Extraida,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Michoacan,1,"$2,950,000
MXN","Casa disponible en venta en Las Torrecillas, 58090 Morelia, Mich. #s/n, Col. Las Torrecillas, Morelia, Michoacán de Ocampo, México, C.P. 58090, ID: 30957430",3 Recámaras | 2 Baños | 270 m 2,https://propiedades.com/inmuebles/casa-en-venta-las-torrecillas-58090-morelia-mich-sn-las-torrecillas-michoacan-30957430#tipos=casas-venta&area=michoacan&pos=1
Michoacan,1,"$4,500,000
MXN","Casa en venta, Gral. Antonio Canales, Chapultepec Oriente, 58260 Morelia, Mich. #156, Col. Chapultepec Oriente, Morelia, Michoacán de Ocampo, México, C.P. 58260, ID: 30649556",6 Recámaras | 3 Baños | 228 m 2,https://propiedades.com/inmuebles/casa-en-venta-gral-antonio-canales-chapultepec-oriente-58260-morelia-mich-156-chapultepec-oriente-michoacan-30649556#tipos=casas-venta&area=michoacan&pos=2
Michoacan,1,"$29,000,000
MXN","Se vende casa AMADO NERVO, Col. Centro Histórico, Morelia, Michoacán de Ocampo, México, C.P. 58000, ID: 30161004",34 Recámaras | 34 Baños | 2620 m 2,https://propiedades.com/inmuebles/casa-en-venta-amado-nervo-centro-historico-michoacan-30161004#tipos=casas-venta&area=michoacan&pos=3
Michoacan,1,"$3,780,000
MXN","Casa en venta, Av. Quinta Cantera, 58090 Morelia, Mich., Col. Quinta Cantera, Morelia, Michoacán de Ocampo, México, C.P. 58090, ID: 31004753",3 Recámaras | 2 Baños | 96 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-quinta-cantera-58090-morelia-mich-quinta-cantera-michoacan-31004753#tipos=casas-venta&area=michoacan&pos=4
Michoacan,1,"$2,500,000
MXN","Venta de casa en Cañadas del Bosque, Col. Cañadas del Bosque, Morelia, Michoacán de Ocampo, México, C.P. 58200, ID: 28525845",3 Recámaras | 2 Baños | 126 m 2,https://propiedades.com/inmuebles/casa-en-venta-canadas-del-bosque-canadas-del-bosque-michoacan-28525845#tipos=casas-venta&area=michoacan&pos=5
Michoacan,1,"$5,300,000
MXN","Casa en venta disponible en Varadito, Col. Rincón de Altozano, Morelia, Michoacán de Ocampo, México, C.P. 58350, ID: 30194861",4 Recámaras | 4 Baños | 194 m 2,https://propiedades.com/inmuebles/casa-en-venta-varadito-rincon-de-altozano-michoacan-30194861#tipos=casas-venta&area=michoacan&pos=6
Michoacan,1,"$15,500,000
MXN","Venta casa en Circuito Bosque Monarca, Col. Rincón de Altozano, Morelia, Michoacán de Ocampo, México, C.P. 58350, ID: 28109527",4 Recámaras | 5 Baños | 412 m 2,https://propiedades.com/inmuebles/casa-en-venta-circuito-bosque-monarca-rincon-de-altozano-michoacan-28109527#tipos=casas-venta&area=michoacan&pos=7
Michoacan,1,"$768,905
MXN","Loma Florida, Col. Lomas Del Valle, Morelia, Michoacán de Ocampo, México, C.P. 58170, ID: 29936831",3 Recámaras | 1 Baño | 120 m 2,https://propiedades.com/inmuebles/casa-en-venta-loma-florida-lomas-del-valle-michoacan-29936831#tipos=casas-venta&area=michoacan&pos=8
Michoacan,1,"$7,800,000
MXN","Casa en venta disponible en Altozano, Col. Rincón de Altozano, Morelia, Michoacán de Ocampo, México, C.P. 58350, ID: 29080918",4 Recámaras | 3 Baños | 340 m 2,https://propiedades.com/inmuebles/casa-en-venta-altozano-rincon-de-altozano-michoacan-29080918#tipos=casas-venta&area=michoacan&pos=9
Michoacan,1,"$4,400,000
MXN","Venta casa en 58350 Jesús del Monte, Mich. #s/n, Col. Paseo de las Aves, Morelia, Michoacán de Ocampo, México, C.P. 58350, ID: 30623528",3 Recámaras | 2 Baños | 305 m 2,https://propiedades.com/inmuebles/casa-en-venta-58350-jesus-del-monte-mich-sn-paseo-de-las-aves-michoacan-30623528#tipos=casas-venta&area=michoacan&pos=10
