Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Morelos,1,2026-04-05 23:40,"$16,900,000 MXN","Avenida Libramiento Emiliano Zapata S/N, 62760 Emiliano Zapata, Mor., Col. Paraíso Country Club, Emiliano Zapata, Morelos, México, C.P. 62766, ID: 30729767",4 Recámaras | 4 Baños | 420 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-avenida-libramiento-emiliano-zapata-sn-62760-emiliano-zapata-mor-paraiso-country-club-morelos-30729767
Morelos,1,2026-04-05 23:40,"$18,800,000 MXN","Casa en venta, PASEO DE LAS FLORES #266, Col. El Vigilante, Emiliano Zapata, Morelos, México, C.P. 62766, ID: 30997330",5 Recámaras | 7 Baños | 612 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-paseo-de-las-flores-266-el-vigilante-morelos-30997330
Morelos,1,2026-04-05 23:40,"$8,000,000 MXN","Casa disponible en venta en Av Palmira, Col. Palmira Tinguindin, Cuernavaca, Morelos, México, C.P. 62490, ID: 27976319",4 Recámaras | 4 Baños | 240 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-av-palmira-palmira-tinguindin-morelos-27976319
Morelos,1,2026-04-05 23:40,"$13,750,000 MXN","Casa disponible en venta en , Col. Club de Golf Hacienda San Gaspar, Jiutepec, Morelos, México, C.P. 62555, ID: 9088473",4 Recámaras | 4 Baños | 580 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-club-de-golf-hacienda-san-gaspar-morelos-9088473
Morelos,1,2026-04-05 23:40,"$17,000,000 MXN","Casa en venta disponible en Sumiya, Col. Residencial Sumiya, Jiutepec, Morelos, México, C.P. 62564, ID: 30504071",6 Recámaras | 6 Baños | 700 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-sumiya-residencial-sumiya-morelos-30504071
Morelos,1,2026-04-05 23:40,"$4,300,000 MXN","Se vende casa El Amate Redondo, Cuernavaca, Mor., Col. Amate Redondo, Cuernavaca, Morelos, México, C.P. 62334, ID: 30736422",4 Recámaras | 3 Baños | 252 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-el-amate-redondo-cuernavaca-mor-amate-redondo-morelos-30736422
Morelos,1,2026-04-05 23:40,"$3,100,000 MXN","Pedregal de las Fuentes, 62554 Jiutepec, Mor. #s/n, Col. Pedregal de las Fuentes, Jiutepec, Morelos, México, C.P. 62554, ID: 30765899",2 Recámaras | 2 Baños | 112 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-pedregal-de-las-fuentes-62554-jiutepec-mor-sn-pedregal-de-las-fuentes-morelos-30765899
Morelos,1,2026-04-05 23:40,"$1,780,000 MXN","Se vende casa en Magnolia #1Int. C, Col. Paraíso Escondido, Yecapixtla, Morelos, México, C.P. 62827, ID: 30226169",3 Recámaras | 2 Baños | 121 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-magnolia-1-paraiso-escondido-morelos-30226169
Morelos,1,2026-04-05 23:40,"$3,300,000 MXN","Burgos Cuernavaca, 62584 Tres de Mayo, Mor. #s/n, Col. Burgos, Temixco, Morelos, México, C.P. 62584, ID: 30880019",3 Recámaras | 3 Baños | 148 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-burgos-cuernavaca-62584-tres-de-mayo-mor-sn-burgos-morelos-30880019
Morelos,1,2026-04-05 23:40,"$4,850,000 MXN","Venta de casa en Azucenas, Col. Emiliano Zapata (Casahuates), Yautepec, Morelos, México, C.P. 62738, ID: 29906705",4 Recámaras | 3 Baños | 323 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-azucenas-emiliano-zapata-casahuates-morelos-29906705
