Estado,Pagina_Extraida,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Nayarit,1,"$4,200,000
MXN","Casa en venta disponible en Calle Zapata Poniente #270, Col. Tepic Centro, Tepic, Nayarit, México, C.P. 63000, ID: 29476204",3 Recámaras | 2 Baños | 210 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-zapata-poniente-270-tepic-centro-nayarit-29476204#tipos=casas-venta&area=nayarit&pos=1
Nayarit,1,"$4,100,000
MXN","Casa en venta, Av. Héroes de Nacozari, 63732 Bucerías, Nay., Col. Buenos Aires, Bahía de Banderas, Nayarit, México, C.P. 63732, ID: 30970617",3 Recámaras | 3 Baños | 100 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-heroes-de-nacozari-63732-bucerias-nay-buenos-aires-nayarit-30970617#tipos=casas-venta&area=nayarit&pos=2
Nayarit,1,"$2,200,000
MXN","Casa en venta, C Reforma, Sin Nombre Loc. San Vicente, 63737 San Vicente, Nay. #489, Col. San Vicente del Mar, Bahía de Banderas, Nayarit, México, C.P. 63737, ID: 30961998",3 Recámaras | 2 Baños | 118 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-reforma-sin-nombre-loc-san-vicente-63737-san-vicente-nay-489-san-vicente-del-mar-nayarit-30961998#tipos=casas-venta&area=nayarit&pos=3
Nayarit,1,"$4,350,000
MXN","Se vende casa en Gaviotas 4, Rincón de Guayabitos, 63724 Rincón de Guayabitos, Nay. #4, Col. Rincón de Guayabitos, Compostela, Nayarit, México, C.P. 63724, ID: 30948175",2 Recámaras | 2 Baños | 85 m 2,https://propiedades.com/inmuebles/casa-en-venta-gaviotas-4-rincon-de-guayabitos-63724-rincon-de-guayabitos-nay-4-rincon-de-guayabitos-nayarit-30948175#tipos=casas-venta&area=nayarit&pos=4
Nayarit,1,"$9,250,000
MXN","Venta casa en Privada Ikal 48 #48, Col. Lomas del Sol, Bahía de Banderas, Nayarit, México, C.P. 63735, ID: 29216741",4 Recámaras | 4 Baños | 200 m 2,https://propiedades.com/inmuebles/casa-en-venta-privada-ikal-48-48-lomas-del-sol-nayarit-29216741#tipos=casas-venta&area=nayarit&pos=5
Nayarit,1,"$1,980,000
MXN","Venta casa en MAPA #36, Col. San Clemente de Lima, Bahía de Banderas, Nayarit, México, C.P. 63735, ID: 29440574",3 Recámaras | 2 Baños | 80 m 2,https://propiedades.com/inmuebles/casa-en-venta-mapa-36-san-clemente-de-lima-nayarit-29440574#tipos=casas-venta&area=nayarit&pos=6
Nayarit,1,"$11,000,000
MXN","Venta de casa Fresno, Tío Baltazar, Tepic, Nay. #s/n, Col. Tío Baltazar, Tepic, Nayarit, México, C.P. 63129, ID: 30439356",3 Recámaras | 4 Baños | 440 m 2,https://propiedades.com/inmuebles/casa-en-venta-fresno-tio-baltazar-tepic-nay-sn-tio-baltazar-nayarit-30439356#tipos=casas-venta&area=nayarit&pos=7
Nayarit,1,"$3,950,000
MXN","P.º de Atenea 238, Fraccionamiento Las Ceibas, 63735 Las Jarretaderas, Nay. #238, Col. Las Ceibas, Bahía de Banderas, Nayarit, México, C.P. 63735, ID: 30874098",3 Recámaras | 2 Baños | 113 m 2,https://propiedades.com/inmuebles/casa-en-venta-p-de-atenea-238-fraccionamiento-las-ceibas-63735-las-jarretaderas-nay-238-las-ceibas-nayarit-30874098#tipos=casas-venta&area=nayarit&pos=8
Nayarit,1,"$610,000
MXN","Casa disponible en venta en Ahuacatlán 111, Morelos, 63163 Tepic, Nay. #111, Col. Corralón, Tepic, Nayarit, México, C.P. 63163, ID: 30477300",3 Recámaras | 2 Baños | 121 m 2,https://propiedades.com/inmuebles/casa-en-venta-ahuacatlan-111-morelos-63163-tepic-nay-111-corralon-nayarit-30477300#tipos=casas-venta&area=nayarit&pos=9
Nayarit,1,"$11,500,000
MXN","Se vende casa Paseo de los Cocoteros, Flamingos, 63735 Bucerías, Nay., Col. Flamingos, Bahía de Banderas, Nayarit, México, C.P. 63732, ID: 30666515",4 Recámaras | 4 Baños | 247 m 2,https://propiedades.com/inmuebles/casa-en-venta-paseo-de-los-cocoteros-flamingos-63735-bucerias-nay-flamingos-nayarit-30666515#tipos=casas-venta&area=nayarit&pos=10
Nayarit,1,"$13,500,000
MXN","Casa en venta, Rtno. Flamingos, 63732 Bucerías, Nay., Col. Colibrí, Bahía de Banderas, Nayarit, México, C.P. 63732, ID: 30774185",4 Recámaras | 2 Baños | 172 m 2,https://propiedades.com/inmuebles/casa-en-venta-rtno-flamingos-63732-bucerias-nay-colibri-nayarit-30774185#tipos=casas-venta&area=nayarit&pos=11
Nayarit,1,"$16,000,000
MXN","Nuevo Nayarit, Nayarit #100, Col. Nuevo Vallarta, Bahía de Banderas, Nayarit, México, C.P. 63735, ID: 30601864",4 Recámaras | 4 Baños | 287 m 2,https://propiedades.com/inmuebles/casa-en-venta-nuevo-nayarit-nayarit-100-nuevo-vallarta-nayarit-30601864#tipos=casas-venta&area=nayarit&pos=12
Nayarit,1,"$660,000
MXN","Casa en venta disponible en Av Universidad 154 , Col. Ciudad del Valle, Tepic, Nayarit, México, C.P. 63157, ID: 28509852",4 Recámaras | 3 Baños | 300 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-universidad-154-ciudad-del-valle-nayarit-28509852#tipos=casas-venta&area=nayarit&pos=13
Nayarit,1,"$730,000
MXN","Se vende casa en Prisciliano Sánchez 121, Centro, 63950 Ixtlán del Río, Nay. #121, Col. Ixtlán del Río Centro, Ixtlán del Río, Nayarit, México, C.P. 63950, ID: 30642666",4 Recámaras | 2 Baños | 480 m 2,https://propiedades.com/inmuebles/casa-en-venta-prisciliano-sanchez-121-centro-63950-ixtlan-del-rio-nay-121-ixtlan-del-rio-centro-nayarit-30642666#tipos=casas-venta&area=nayarit&pos=14
Nayarit,1,"$9,900,000
MXN","Playa Destiladeras, 63735 Nuevo Vallarta, Nay., Col. Rinconada de Banderas, Bahía de Banderas, Nayarit, México, C.P. 63735, ID: 30694625",3 Recámaras | 3 Baños | 308 m 2,https://propiedades.com/inmuebles/casa-en-venta-playa-destiladeras-63735-nuevo-vallarta-nay-rinconada-de-banderas-nayarit-30694625#tipos=casas-venta&area=nayarit&pos=15
Nayarit,1,"$811,000
USD","Venta de casa en Col. Flamingos, Bahía de Banderas, Nayarit, México, C.P. 63732, ID: 30609562",4 Recámaras | 4 Baños | 254 m 2,
Nayarit,1,"$3,249,000
MXN","Venta de casa en Av. Rincón del Cielo, Valle Dorado, 63735 Mezcales, Nay. #100, Col. Rincón del Cielo, Bahía de Banderas, Nayarit, México, C.P. 63735, ID: 30638141",3 Recámaras | 2 Baños | 140 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-rincon-del-cielo-valle-dorado-63735-mezcales-nay-100-rincon-del-cielo-nayarit-30638141#tipos=casas-venta&area=nayarit&pos=17
Nayarit,1,"$1,700,000
MXN","Valle Nacional 277, Valle Dorado, 63735 Mezcales, Nay. #277, Col. Valle Dorado, Bahía de Banderas, Nayarit, México, C.P. 63735, ID: 30826626",2 Recámaras | 1 Baño | 64 m 2,https://propiedades.com/inmuebles/casa-en-venta-valle-nacional-277-valle-dorado-63735-mezcales-nay-277-valle-dorado-nayarit-30826626#tipos=casas-venta&area=nayarit&pos=18
Nayarit,1,"$18,000,000
MXN","Se vende casa Carretera, Tepic - Puerto Vallarta Km. 145, Flamingos, 63732 Bucerías, Nay. #Km. 145, Col. Flamingos, Bahía de Banderas, Nayarit, México, C.P. 63732, ID: 30825850",4 Recámaras | 5 Baños | 213 m 2,https://propiedades.com/inmuebles/casa-en-venta-carretera-tepic-puerto-vallarta-km-145-flamingos-63732-bucerias-nay-km-145-flamingos-nayarit-30825850#tipos=casas-venta&area=nayarit&pos=19
Nayarit,1,"$602,888
USD","Paseo de los Cocoteros 195, Flamingos, 63735 Bucerías, Nay. #195Int. 45, Col. Virreyes Vallarta, Bahía de Banderas, Nayarit, México, C.P. 63735, ID: 30512071",4 Recámaras | 4 Baños | 229 m 2,https://propiedades.com/inmuebles/casa-en-venta-paseo-de-los-cocoteros-195-flamingos-63735-bucerias-nay-195-virreyes-vallarta-nayarit-30512071#tipos=casas-venta&area=nayarit&pos=20
Nayarit,1,"$6,200,000
USD","63727 Corral del Risco, Nay., Col. Corral del Risco (Punta de Mita), Bahía de Banderas, Nayarit, México, C.P. 63734, ID: 30638140",5 Recámaras | 6 Baños | 800 m 2,https://propiedades.com/inmuebles/casa-en-venta-63727-corral-del-risco-nay-corral-del-risco-punta-de-mita-nayarit-30638140#tipos=casas-venta&area=nayarit&pos=21
Nayarit,1,"$9,900,000
MXN","Casa en venta, Bahía de Banderas, 63727 Nay. #200, Col. Rinconada de Banderas, Bahía de Banderas, Nayarit, México, C.P. 63735, ID: 30638144",3 Recámaras | 3 Baños | 300 m 2,https://propiedades.com/inmuebles/casa-en-venta-bahia-de-banderas-63727-nay-200-rinconada-de-banderas-nayarit-30638144#tipos=casas-venta&area=nayarit&pos=22
Nayarit,1,"$4,300,000
MXN","Sin nombre de calle, Col. Novillero, Tepic, Nayarit, México, C.P. 63511, ID: 27569718",2 Recámaras | 3 Baños | 539 m 2,https://propiedades.com/inmuebles/casa-en-venta-sin-nombre-de-calle-novillero-nayarit-27569718#tipos=casas-venta&area=nayarit&pos=23
Nayarit,1,"$13,000,000
MXN","Casa disponible en venta en Circuito de los Mangos #86, Col. Flamingos, Bahía de Banderas, Nayarit, México, C.P. 63732, ID: 30642863",4 Recámaras | 4 Baños | 309 m 2,https://propiedades.com/inmuebles/casa-en-venta-circuito-de-los-mangos-86-flamingos-nayarit-30642863#tipos=casas-venta&area=nayarit&pos=24
