Estado,Pagina_Extraida,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Oaxaca,1,"$9,485,000
MXN","Venta de casa en CAMINO AL SEMINARIO, Col. Oaxaca Centro, Oaxaca de Juárez, Oaxaca, México, C.P. 68000, ID: 29972633",3 Recámaras | 2 Baños | 216 m 2,https://propiedades.com/inmuebles/casa-en-venta-camino-al-seminario-oaxaca-centro-oaxaca-29972633#tipos=casas-venta&area=oaxaca&pos=1
Oaxaca,1,"$3,980,000
MXN","San Felipe del Agua, Oax., Col. San Felipe Del Agua 1, Oaxaca de Juárez, Oaxaca, México, C.P. 68026, ID: 30917370",3 Recámaras | 2 Baños | 180 m 2,https://propiedades.com/inmuebles/casa-en-venta-san-felipe-del-agua-oax-san-felipe-del-agua-1-oaxaca-30917370#tipos=casas-venta&area=oaxaca&pos=2
Oaxaca,1,"$2,450,000
MXN","Venta de casa Huertos y Granjas de Brenamiel, 68285 San Jacinto Amilpas, Oax., Col. Los Naranjos, San Jacinto Amilpas, Oaxaca, México, C.P. 68285, ID: 30581267",3 Recámaras | 2 Baños | 114 m 2,https://propiedades.com/inmuebles/casa-en-venta-huertos-y-granjas-de-brenamiel-68285-san-jacinto-amilpas-oax-los-naranjos-oaxaca-30581267#tipos=casas-venta&area=oaxaca&pos=3
Oaxaca,1,"$9,099,000
MXN","Casa en venta disponible en Boulevard Agua de Roca, Col. Lomas Del Jardín, San Andrés Huayápam, Oaxaca, México, C.P. 68288, ID: 30786562",4 Recámaras | 3 Baños | 357 m 2,https://propiedades.com/inmuebles/casa-en-venta-boulevard-agua-de-roca-lomas-del-jardin-oaxaca-30786562#tipos=casas-venta&area=oaxaca&pos=4
Oaxaca,1,"$5,250,000
MXN","Casa disponible en venta en La unión, Col. San Andres Huayapam, San Andrés Huayápam, Oaxaca, México, C.P. 68287, ID: 30967744",3 Recámaras | 2 Baños | 210 m 2,https://propiedades.com/inmuebles/casa-en-venta-la-union-san-andres-huayapam-oaxaca-30967744#tipos=casas-venta&area=oaxaca&pos=5
Oaxaca,1,"$3,980,000
MXN","Casa en venta disponible en Sauces, Col. San Felipe Del Agua 1, Oaxaca de Juárez, Oaxaca, México, C.P. 68026, ID: 30967745",3 Recámaras | 2 Baños | 140 m 2,https://propiedades.com/inmuebles/casa-en-venta-sauces-san-felipe-del-agua-1-oaxaca-30967745#tipos=casas-venta&area=oaxaca&pos=6
Oaxaca,1,"$8,199,000
MXN","Casa en venta, 68827 Col. Reforma, Oax., Col. Reforma, Oaxaca de Juárez, Oaxaca, México, C.P. 68050, ID: 30939099",4 Recámaras | 3 Baños | 120 m 2,https://propiedades.com/inmuebles/casa-en-venta-68827-col-reforma-oax-reforma-oaxaca-30939099#tipos=casas-venta&area=oaxaca&pos=7
Oaxaca,1,"$6,500,000
MXN","Casa disponible en venta en SIERRA NEVADA, Col. Guadalupe Victoria, Oaxaca de Juárez, Oaxaca, México, C.P. 68024, ID: 28709683",3 Recámaras | 4 Baños | 280 m 2,https://propiedades.com/inmuebles/casa-en-venta-sierra-nevada-guadalupe-victoria-oaxaca-28709683#tipos=casas-venta&area=oaxaca&pos=8
Oaxaca,1,"$5,000,000
MXN","Casa disponible en venta en La cascada #s/n, Col. Oaxaca Centro, Oaxaca de Juárez, Oaxaca, México, C.P. 68000, ID: 30477719",3 Recámaras | 3 Baños,https://propiedades.com/inmuebles/casa-en-venta-la-cascada-sn-oaxaca-centro-oaxaca-30477719#tipos=casas-venta&area=oaxaca&pos=9
Oaxaca,1,"$1,800,000
MXN","Se vende casa Otatitlan, 70424 San Francisco Lachigoló, Oax. #5, Col. Los Pinos, San Francisco Lachigoló, Oaxaca, México, C.P. 70424, ID: 30589419",2 Recámaras | 1 Baño | 100 m 2,https://propiedades.com/inmuebles/casa-en-venta-otatitlan-70424-san-francisco-lachigolo-oax-5-los-pinos-oaxaca-30589419#tipos=casas-venta&area=oaxaca&pos=10
