Estado,Pagina_Extraida,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Puebla,1,"$2,395,000
MXN","Venta de casa C. Fray Martin de la Coruña 8125, Tres Cruces, 72595 Heroica Puebla de Zaragoza, Pue. #8125, Col. Tres Cruces, Puebla, Puebla, México, C.P. 72595, ID: 30755577",3 Recámaras | 2 Baños | 125 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-fray-martin-de-la-coruna-8125-tres-cruces-72595-heroica-puebla-de-zaragoza-pue-8125-tres-cruces-puebla-30755577#tipos=casas-venta&area=puebla&pos=1
Puebla,1,"$3,500,000
MXN","Casa en venta disponible en Blvrd del niño poblano #8, Col. Bosques de Atoyac, Puebla, Puebla, México, C.P. 72459, ID: 30417430",3 Recámaras | 3 Baños | 476 m 2,https://propiedades.com/inmuebles/casa-en-venta-blvrd-del-nino-poblano-8-bosques-de-atoyac-puebla-30417430#tipos=casas-venta&area=puebla&pos=2
Puebla,1,"$4,200,000
MXN","Venta casa en Av Independencia, Col. San Bernardino Tlaxcalancingo, San Andrés Cholula, Puebla, México, C.P. 72820, ID: 30557888",3 Recámaras | 4 Baños | 266 m 2,https://propiedades.com/inmuebles/casa-en-venta-av-independencia-san-bernardino-tlaxcalancingo-puebla-30557888#tipos=casas-venta&area=puebla&pos=3
Puebla,1,"$4,750,000
MXN","Venta de casa en Cerrada de la Rosa, Col. Xonaca, Puebla, Puebla, México, C.P. 72280, ID: 30477231",3 Recámaras | 2 Baños | 290 m 2,https://propiedades.com/inmuebles/casa-en-venta-cerrada-de-la-rosa-xonaca-puebla-30477231#tipos=casas-venta&area=puebla&pos=4
Puebla,1,"$11,500,000
MXN","Venta casa en Blvd. Lomas Pte., Lomas de Angelópolis, 72830 San Bernardino Tlaxcalancingo, Pue. #s/n, Col. Lomas de Angelópolis Closster 444, San Andrés Cholula, Puebla, México, C.P. 72830, ID: 30427515",3 Recámaras | 4 Baños | 580 m 2,https://propiedades.com/inmuebles/casa-en-venta-blvd-lomas-pte-lomas-de-angelopolis-72830-san-bernardino-tlaxcalancingo-pue-sn-lomas-de-angelopolis-closster-444-puebla-30427515#tipos=casas-venta&area=puebla&pos=5
Puebla,1,"$3,680,000
MXN","15 de Mayo 4732 #4732, Col. Zona Cementos Atoyac, Puebla, Puebla, México, C.P. 72023, ID: 28006367",3 Recámaras | 2 Baños | 196 m 2,https://propiedades.com/inmuebles/casa-en-venta-15-de-mayo-4732-4732-zona-cementos-atoyac-puebla-28006367#tipos=casas-venta&area=puebla&pos=6
Puebla,1,"$3,300,000
MXN","Venta casa en Prol. Reforma Sur, Reforma, 72160 Heroica Puebla de Zaragoza, Pue., Col. Reforma, Puebla, Puebla, México, C.P. 72160, ID: 30649202",3 Recámaras | 2 Baños | 144 m 2,https://propiedades.com/inmuebles/casa-en-venta-prol-reforma-sur-reforma-72160-heroica-puebla-de-zaragoza-pue-reforma-puebla-30649202#tipos=casas-venta&area=puebla&pos=7
Puebla,1,"$2,650,000
MXN","Venta de casa en Granjas del Sur, 72470 Heroica Puebla de Zaragoza, Pue., Col. Granjas del Sur, Puebla, Puebla, México, C.P. 72470, ID: 30611539",3 Recámaras | 1 Baño | 126 m 2,https://propiedades.com/inmuebles/casa-en-venta-granjas-del-sur-72470-heroica-puebla-de-zaragoza-pue-granjas-del-sur-puebla-30611539#tipos=casas-venta&area=puebla&pos=8
Puebla,1,"$2,690,000
MXN","75212 Vicente Guerrero, Pue., Col. Vicente Guerrero, Tepeaca, Puebla, México, C.P. 75212, ID: 30703145",3 Recámaras | 1 Baño | 132 m 2,https://propiedades.com/inmuebles/casa-en-venta-75212-vicente-guerrero-pue-vicente-guerrero-puebla-30703145#tipos=casas-venta&area=puebla&pos=9
Puebla,1,"$3,350,000
MXN","Bugambilias, Heroica Puebla de Zaragoza, Pue., Col. San Francisco, Puebla, Puebla, México, C.P. 72000, ID: 30703087",3 Recámaras | 3 Baños | 141 m 2,https://propiedades.com/inmuebles/casa-en-venta-bugambilias-heroica-puebla-de-zaragoza-pue-san-francisco-puebla-30703087#tipos=casas-venta&area=puebla&pos=10
