Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Quintana-Roo,1,2026-04-06 02:27,"$3,998,000 MXN","Venta casa en Calle Soleil 2-26, 77585 Puerto Morelos, Q.R. #2Int. 26, Col. Puerto Morelos, Puerto Morelos, Quintana Roo, México, C.P. 77580, ID: 30431165",3 Recámaras | 3 Baños | 183 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calle-soleil-226-77585-puerto-morelos-qr-2-puerto-morelos-quintana_roo-30431165
Quintana-Roo,1,2026-04-06 02:27,"$550,000 USD","Se vende casa 12, Av. los Arboles Tulúm 516857-297140, -87, 77797 Q.R. #s/n, Col. Macario Gómez, Tulum, Quintana Roo, México, C.P. 77796, ID: 30731100",5 Recámaras | 5 Baños | 302 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-12-av-los-arboles-tulum-516857297140-87-77797-qr-sn-macario-gomez-quintana_roo-30731100
Quintana-Roo,1,2026-04-06 02:27,"$6,299,000 MXN","Puerto Morelos, Q.R. #6Int. 6, Col. Residencial Regatta, Puerto Morelos, Quintana Roo, México, C.P. 77586, ID: 30951715",3 Recámaras | 4 Baños | 160 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-puerto-morelos-qr-6-residencial-regatta-quintana_roo-30951715
Quintana-Roo,1,2026-04-06 02:27,"$6,995,000 MXN","_ , Col. Residencial Río, Benito Juárez, Quintana Roo, México, C.P. 77560, ID: 28732469",4 Recámaras | 4 Baños | 263 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-residencial-rio-quintana_roo-28732469
Quintana-Roo,1,2026-04-06 02:27,"$3,900,000 MXN","Venta de casa Aldea Umm Beretuk Puerto Morelos #12Int. 22, Col. Puerto Morelos, Puerto Morelos, Quintana Roo, México, C.P. 77580, ID: 30696438",2 Recámaras | 2 Baños | 139 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-aldea-umm-beretuk-puerto-morelos-12-puerto-morelos-quintana_roo-30696438
Quintana-Roo,1,2026-04-06 02:27,"$789,000 USD","Venta de casa en Punta Ceiba #Punta Vista 7Int. 25-26, Col. Puerto Morelos, Puerto Morelos, Quintana Roo, México, C.P. 77580, ID: 29882139",5 Recámaras | 5 Baños | 365 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-punta-ceiba-punta-vista-7-puerto-morelos-quintana_roo-29882139
Quintana-Roo,1,2026-04-06 02:27,"$4,198,000 USD","Venta de casa Boulevard Kukulcan #s/n, Col. Zona Hotelera, Benito Juárez, Quintana Roo, México, C.P. 77500, ID: 29882155",5 Recámaras | 6 Baños | 1023 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-boulevard-kukulcan-sn-zona-hotelera-quintana_roo-29882155
Quintana-Roo,1,2026-04-06 02:27,"$5,125,000 MXN","Casa disponible en venta en Puerto Morelos, Rafael E. Melgar 104, 77580 Puerto Morelos, Q.R. #104, Col. Residencial Regatta, Puerto Morelos, Quintana Roo, México, C.P. 77586, ID: 30224820",4 Recámaras | 4 Baños | 167 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-puerto-morelos-rafael-e-melgar-104-77580-puerto-morelos-qr-104-residencial-regatta-quintana_roo-30224820
Quintana-Roo,1,2026-04-06 02:27,"$30,000,000 MXN","Venta de casa en Quezal #s/n, Col. Zona Hotelera, Benito Juárez, Quintana Roo, México, C.P. 77500, ID: 29882171",3 Recámaras | 4 Baños | 767 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-quezal-sn-zona-hotelera-quintana_roo-29882171
Quintana-Roo,1,2026-04-06 02:27,"$6,999,000 MXN","Casa en venta disponible en Puerto Morelos, Q.R., Col. Residencial Regatta, Puerto Morelos, Quintana Roo, México, C.P. 77586, ID: 30219620",4 Recámaras | 4 Baños | 200 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-puerto-morelos-qr-residencial-regatta-quintana_roo-30219620
