Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Sinaloa,1,2026-04-06 03:08,"$4,900,000 MXN","Se vende casa 8G3F+8R Casi esquina con Sábalo, Sinaloa El Habal-Mazatlán, Cerritos, 82112 Mazatlán, Sin. #1400, Col. Almarena Residencial, Mazatlán, Sinaloa, México, C.P. 82112, ID: 30397118",3 Recámaras | 2 Baños | 129 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-8g3f8r-casi-esquina-con-sabalo-sinaloa-el-habalmazatlan-cerritos-82112-mazatlan-sin-1400-almarena-residencial-sinaloa-30397118
Sinaloa,1,2026-04-06 03:08,"$14,500,000 MXN","El Cid, 82110 Mazatlán, Sin., Col. El Cid, Mazatlán, Sinaloa, México, C.P. 82110, ID: 30638902",4 Recámaras | 4 Baños | 387 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-el-cid-82110-mazatlan-sin-el-cid-sinaloa-30638902
Sinaloa,1,2026-04-06 03:08,"$3,500,000 MXN","Casa en venta, Calle sin nombre #S/NInt. -, Col. La Bebelama de San Pedro, Navolato, Sinaloa, México, C.P. 80376, ID: 28817574",3 Recámaras | 3 Baños | 211 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calle-sin-nombre-sn-la-bebelama-de-san-pedro-sinaloa-28817574
Sinaloa,1,2026-04-06 03:08,"$1,570,000 MXN","Casa disponible en venta en La Conquista, 80058 Culiacán Rosales, Sin. #s/n, Col. La Conquista, Culiacán, Sinaloa, México, C.P. 80058, ID: 30661839",2 Recámaras | 1 Baño | 76 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-la-conquista-80058-culiacan-rosales-sin-sn-la-conquista-sinaloa-30661839
Sinaloa,1,2026-04-06 03:08,"$1,500,000 MXN","Avenida Francisco Solís 3 A #3 A, Col. Sanchez Celis, Mazatlán, Sinaloa, México, C.P. 82120, ID: 29801902",1 Recámara | 1 Baño | 110 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-avenida-francisco-solis-3-a-3-a-sanchez-celis-sinaloa-29801902
Sinaloa,1,2026-04-06 03:08,"$8,450,000 MXN","Se vende casa Ciudad de Reynosa #1352, Col. Las Quintas, Culiacán, Sinaloa, México, C.P. 80060, ID: 30534564",4 Recámaras | 4 Baños | 420 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-ciudad-de-reynosa-1352-las-quintas-sinaloa-30534564
Sinaloa,1,2026-04-06 03:08,"$788,000 MXN","Se vende casa en Fuente de Zeus 155 #155, Col. Las Fuentes, Ahome, Sinaloa, México, C.P. 81223, ID: 29040391",4 Recámaras | 3 Baños | 230 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-fuente-de-zeus-155-155-las-fuentes-sinaloa-29040391
Sinaloa,1,2026-04-06 03:08,"$665,000 MXN","Venta de casa en GARZAS #120, Col. Villas del Estero, Mazatlán, Sinaloa, México, C.P. 82156, ID: 26782595",3 Recámaras | 2 Baños | 150 m 2,https://propiedades.comNone
Sinaloa,1,2026-04-06 03:08,"$749,000 MXN","C. Tabachín 333, Alameda, 82123 Mazatlán, Sin. #333, Col. Jardines de la Alameda, Mazatlán, Sinaloa, México, C.P. 82123, ID: 30636129",4 Recámaras | 2 Baños | 330 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-c-tabachin-333-alameda-82123-mazatlan-sin-333-jardines-de-la-alameda-sinaloa-30636129
Sinaloa,1,2026-04-06 03:08,"$6,900,000 MXN","Casa en venta, San Javier #207, Col. Campo Patricia, Culiacán, Sinaloa, México, C.P. 80300, ID: 29878346",2 Recámaras | 3 Baños | 150 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-san-javier-207-campo-patricia-sinaloa-29878346
Sinaloa,1,2026-04-06 03:08,"$500,000 MXN","Se vende casa ALBIZIA 2714, Col. 9 de Marzo, Culiacán, Sinaloa, México, C.P. 80058, ID: 28518306",2 Recámaras | 1 Baño | 57 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-albizia-2714-9-de-marzo-sinaloa-28518306
Sinaloa,1,2026-04-06 03:08,"$23,990,000 MXN","Casa en venta disponible en San Jose , Col. Campo Patricia, Culiacán, Sinaloa, México, C.P. 80300, ID: 29747845",4 Recámaras | 4 Baños | 607 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-san-jose--campo-patricia-sinaloa-29747845
