Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Sonora,1,2026-04-06 03:19,"$11,000,000 MXN","Venta de casa VENTA DE CASA EN COL SAN BERNARDO #s/n, Col. Guaymas Centro, Guaymas, Sonora, México, C.P. 85400, ID: 29501087",3 Recámaras | 3 Baños | 874 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-venta-de-casa-en-col-san-bernardo-sn-guaymas-centro-sonora-29501087
Sonora,1,2026-04-06 03:19,"$2,400,000 MXN","Casa disponible en venta en , Col. Villa Hermosa, Hermosillo, Sonora, México, C.P. 83280, ID: 30401090",3 Recámaras | 1 Baño | 160 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-villa-hermosa-sonora-30401090
Sonora,1,2026-04-06 03:19,"$11,587,000 MXN","Casa en venta disponible en Avenida Gangapurna #17, Col. Monterosa Hábitat Residencial, Hermosillo, Sonora, México, C.P. 83106, ID: 30874778",4 Recámaras | 4 Baños | 365 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-avenida-gangapurna-17-monterosa-habitat-residencial-sonora-30874778
Sonora,1,2026-04-06 03:19,"$5,500,000 MXN",", Col. Real de Sevilla Club Residencial, Hermosillo, Sonora, México, C.P. 83220, ID: 30657241",3 Recámaras | 2 Baños | 165 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-real-de-sevilla-club-residencial-sonora-30657241
Sonora,1,2026-04-06 03:19,"$6,300,000 MXN","Se vende casa oyamel #s/nInt. 6, Col. Alamos Centro, Alamos, Sonora, México, C.P. 85760, ID: 28954908",3 Recámaras | 4 Baños | 315 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-oyamel-sn-alamos-centro-sonora-28954908
Sonora,1,2026-04-06 03:19,"$806,000 MXN","Casa en venta disponible en Cerrada Saint Denis, Col. Los Pinos, Guaymas, Sonora, México, C.P. 85456, ID: 29802015",2 Recámaras | 1 Baño | 85 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-cerrada-saint-denis-los-pinos-sonora-29802015
Sonora,1,2026-04-06 03:19,"$933,000 MXN","Casa disponible en venta en Nueva Galicia 30, Col. Bosque de Nogales, Nogales, Sonora, México, C.P. 84094, ID: 28521604",4 Recámaras | 2 Baños | 70 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-nueva-galicia-30-bosque-de-nogales-sonora-28521604
Sonora,1,2026-04-06 03:19,"$675,000 MXN","Se vende casa en isla de peruano #811, Col. Lomas de Miramar, Guaymas, Sonora, México, C.P. 85448, ID: 26782348",4 Recámaras | 3 Baños | 300 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-isla-de-peruano-811-lomas-de-miramar-sonora-26782348
Sonora,1,2026-04-06 03:19,"$1,467,000 MXN","Casa disponible en venta en Avenida Plan de Iguala 4 #4, Col. Paseo Del Palmar, Hermosillo, Sonora, México, C.P. 83100, ID: 29937011",4 Recámaras | 2 Baños | 600 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-avenida-plan-de-iguala-4-4-paseo-del-palmar-sonora-29937011
Sonora,1,2026-04-06 03:19,"$878,079 MXN","Venta casa en Lago Eric, Real del Sol, 85019 Cdad. Obregón, Son., Col. Real Del Sol, Cajeme, Sonora, México, C.P. 85019, ID: 30439446",3 Recámaras | 2 Baños | 170 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-lago-eric-real-del-sol-85019-cdad-obregon-son-real-del-sol-sonora-30439446
