Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Tabasco,1,2026-04-06 03:26,"$2,400,000 MXN","Venta casa en Av. 4 Ote., Progresivo Ciudad Industrial, 86281 Villahermosa, Tab. #s/n, Col. Indeco Unidad, Centro, Tabasco, México, C.P. 86017, ID: 30811892",2 Recámaras | 2 Baños | 132 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-av-4-ote-progresivo-ciudad-industrial-86281-villahermosa-tab-sn-indeco-unidad-tabasco-30811892
Tabasco,1,2026-04-06 03:26,"$3,100,000 MXN","Casa disponible en venta en REAL CAMPESTRE #S/NInt. CLUSTER 13, Col. Jardines del Country, Centro, Tabasco, México, C.P. 86287, ID: 27190396",3 Recámaras | 3 Baños | 117 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-real-campestre-sn-jardines-del-country-tabasco-27190396
Tabasco,1,2026-04-06 03:26,"$2,550,000 MXN","Sin nombre de calle #1, Col. Los Caracoles, Centro, Tabasco, México, C.P. 86029, ID: 30784082",3 Recámaras | 3 Baños | 125 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-sin-nombre-de-calle-1-los-caracoles-tabasco-30784082
Tabasco,1,2026-04-06 03:26,"$2,800,000 MXN","Casa en venta disponible en Primero de mayo, Col. Puerto Ceiba (Carrizal), Paraíso, Tabasco, México, C.P. 86610, ID: 29917279",8 Recámaras | 8 Baños | 400 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-primero-de-mayo-puerto-ceiba-carrizal-tabasco-29917279
Tabasco,1,2026-04-06 03:26,"$4,800,000 MXN","Venta de casa en , Col. Jardines del Country, Centro, Tabasco, México, C.P. 86287, ID: 27819891",3 Recámaras | 3 Baños | 214 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-jardines-del-country-tabasco-27819891
Tabasco,1,2026-04-06 03:26,"$9,950,000 MXN","Venta de casa , Col. Heriberto Kehoe Vicent, Centro, Tabasco, México, C.P. 86030, ID: 29551652",3 Recámaras | 3 Baños | 400 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-heriberto-kehoe-vicent-tabasco-29551652
Tabasco,1,2026-04-06 03:26,"$2,290,000 MXN","Casa en venta disponible en Isla Ventarrón, Col. José María Morelos y Pavón (El Bellote), Paraíso, Tabasco, México, C.P. 86611, ID: 28546139",2 Recámaras | 1 Baño | 180 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-isla-ventarron-jose-maria-morelos-y-pavon-el-bellote-tabasco-28546139
Tabasco,1,2026-04-06 03:26,"$5,000,000 MXN","Venta de casa , Col. Real Campestre, Nacajuca, Tabasco, México, C.P. 86246, ID: 26029975",3 Recámaras | 3 Baños | 256 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-real-campestre-tabasco-26029975
Tabasco,1,2026-04-06 03:26,"$3,900,000 MXN","Se vende casa en Paseo Tabasco #s/n, Col. Mayito, Centro, Tabasco, México, C.P. 86098, ID: 27193997",2 Recámaras | 3 Baños | 207 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-paseo-tabasco--sn-mayito-tabasco-27193997
Tabasco,1,2026-04-06 03:26,"$5,500,000 MXN","Casa en venta, 27 de febrero, Col. Puerto Ceiba (Carrizal), Paraíso, Tabasco, México, C.P. 86610, ID: 29787786",3 Recámaras | 3 Baños | 245 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-27-de-febrero-puerto-ceiba-carrizal-tabasco-29787786
Tabasco,1,2026-04-06 03:26,"$1,900,000 MXN","Periferico 43 #43, Col. Vereda, Cárdenas, Tabasco, México, C.P. 86534, ID: 29919460",4 Recámaras | 2 Baños | 350 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-periferico-43-43-vereda-tabasco-29919460
Tabasco,1,2026-04-06 03:26,"$4,350,000 MXN",", Col. Loma Diamante, Centro, Tabasco, México, C.P. 86170, ID: 28557404",3 Recámaras | 3 Baños | 180 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-loma-diamante-tabasco-28557404
Tabasco,1,2026-04-06 03:26,"$500,000 MXN","Casa disponible en venta en Cda. 23 de Agosto 238, Jesus Garcia, 86040 Villahermosa, Tab. #238, Col. Lago Ilusiones, Centro, Tabasco, México, C.P. 86040, ID: 30505255",3 Recámaras | 1 Baño | 130 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-cda-23-de-agosto-238-jesus-garcia-86040-villahermosa-tab-238-lago-ilusiones-tabasco-30505255
Tabasco,1,2026-04-06 03:26,"$4,900,000 MXN","Casa en venta, COUNTRY #S/N, Col. Jardines del Country, Centro, Tabasco, México, C.P. 86287, ID: 27459268",3 Recámaras | 4 Baños | 200 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-country-sn-jardines-del-country-tabasco-27459268
Tabasco,1,2026-04-06 03:26,"$14,000,000 MXN","Se vende casa CALLE GIRASOL #S/N, Col. Jardines del Country, Centro, Tabasco, México, C.P. 86287, ID: 24698778",3 Recámaras | 6 Baños | 400 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calle-girasol-sn-jardines-del-country-tabasco-24698778
Tabasco,1,2026-04-06 03:26,"$2,300,000 MXN",", Col. Brisas del Carrizal, Nacajuca, Tabasco, México, C.P. 86246, ID: 29526052",3 Recámaras | 2 Baños | 144 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-brisas-del-carrizal-tabasco-29526052
Tabasco,1,2026-04-06 03:26,"$12,000,000 MXN","Casa disponible en venta en LA VENTA #107, Col. Club Campestre, Centro, Tabasco, México, C.P. 86037, ID: 26214524",3 Recámaras | 5 Baños | 480 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-la-venta-107-club-campestre-tabasco-26214524
Tabasco,1,2026-04-06 03:26,"$7,500,000 MXN",", Col. Plutarco Elias Calles Cura Hueso, Centro, Tabasco, México, C.P. 86170, ID: 30394987",341 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-plutarco-elias-calles-cura-hueso-tabasco-30394987
Tabasco,1,2026-04-06 03:26,"$2,395,000 MXN","Se vende casa PRIVADA MONTE CARLO, Col. Quintín Arauz, Paraíso, Tabasco, México, C.P. 86608, ID: 14203583",3 Recámaras | 2 Baños | 151 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-privada-monte-carlo-quintin-arauz-tabasco-14203583
Tabasco,1,2026-04-06 03:26,"$5,900,000 MXN","Se vende casa en Haciendas Residencial, Col. Sabina, Centro, Tabasco, México, C.P. 86153, ID: 28915084",4 Recámaras | 4 Baños | 253 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-haciendas-residencial-sabina-tabasco-28915084
Tabasco,1,2026-04-06 03:26,"$5,300,000 MXN","Venta de casa en , Col. El Country, Centro, Tabasco, México, C.P. 86039, ID: 26832659",3 Recámaras | 4 Baños | 222 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-el-country-tabasco-26832659
Tabasco,1,2026-04-06 03:26,"$1,100,000 MXN","Casa en venta disponible en Niños héroes, Col. Hueso de Puerco (Colonia Quintín Arauz), Paraíso, Tabasco, México, C.P. 86608, ID: 28459353",1 Recámara | 1 Baño | 52 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-ninos-heroes-hueso-de-puerco-colonia-quintin-arauz-tabasco-28459353
Tabasco,1,2026-04-06 03:26,"$2,380,000 MXN","Venta casa en El Camaron, Col. Bosques de Saloya, Nacajuca, Tabasco, México, C.P. 86246, ID: 29486089",3 Recámaras | 2 Baños | 171 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-el-camaron-bosques-de-saloya-tabasco-29486089
Tabasco,1,2026-04-06 03:26,"$5,200,000 MXN","Venta de casa en ESTATUTO JURIDICO #S/N, Col. Adolfo Lopez Mateos, Centro, Tabasco, México, C.P. 86040, ID: 27550773",4 Recámaras | 5 Baños | 227 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-estatuto-juridico-sn-adolfo-lopez-mateos-tabasco-27550773
Tabasco,1,2026-04-06 03:26,"$2,550,000 MXN","Venta casa en Carretera vecinal Paraíso-Comlcalco, Col. Moctezuma 2da. Sección, Paraíso, Tabasco, México, C.P. 86600, ID: 24694736",3 Recámaras | 2 Baños | 157 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-carretera-vecinal-paraisocomlcalco-moctezuma-2da-seccion-tabasco-24694736
Tabasco,1,2026-04-06 03:26,"$3,800,000 MXN",", Col. Real Campestre, Nacajuca, Tabasco, México, C.P. 86246, ID: 29853223",3 Recámaras | 3 Baños | 185 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-real-campestre-tabasco-29853223
Tabasco,1,2026-04-06 03:26,"$5,500,000 MXN","Casa disponible en venta en Carmen Sanchez esquina Malecon #1309, Col. Villahermosa Centro, Centro, Tabasco, México, C.P. 86000, ID: 26114881",8 Recámaras | 9 Baños | 722 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-carmen-sanchez-esquina-malecon--1309-villahermosa-centro-tabasco-26114881
Tabasco,1,2026-04-06 03:26,"$560,000 MXN","Venta de casa en Israel #124, Col. Gaviotas Norte Sector Explanada, Centro, Tabasco, México, C.P. 86090, ID: 26777031",4 Recámaras | 2 Baños | 253 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-israel-124-gaviotas-norte-sector-explanada-tabasco-26777031
Tabasco,1,2026-04-06 03:26,"$5,500,000 MXN","Se vende casa en , Col. Framboyanes, Centro, Tabasco, México, C.P. 86020, ID: 30214387",5 Recámaras | 5 Baños | 298 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-framboyanes-tabasco-30214387
Tabasco,1,2026-04-06 03:26,"$6,900,000 MXN","Venta de casa en Calle cerrada MEXICO, Col. Puerto Ceiba (Carrizal), Paraíso, Tabasco, México, C.P. 86610, ID: 28961528",5 Recámaras | 4 Baños | 618 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calle-cerrada-mexico-puerto-ceiba-carrizal-tabasco-28961528
Tabasco,1,2026-04-06 03:26,"$4,380,000 MXN","Venta de casa , Col. Florida, Centro, Tabasco, México, C.P. 86040, ID: 30558718",3 Recámaras | 2 Baños | 196 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-florida-tabasco-30558718
Tabasco,1,2026-04-06 03:26,"$3,650,000 MXN","Casa en venta disponible en av. paseo del jaguar #s/n, Col. Jardines del Country, Centro, Tabasco, México, C.P. 86287, ID: 26936697",3 Recámaras | 3 Baños | 173 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-av-paseo-del-jaguar-sn-jardines-del-country-tabasco-26936697
Tabasco,1,2026-04-06 03:26,"$2,923,500 MXN","Venta casa en , Col. Real Campestre, Nacajuca, Tabasco, México, C.P. 86246, ID: 27927234",3 Recámaras | 2 Baños | 133 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-real-campestre-tabasco-27927234
Tabasco,1,2026-04-06 03:26,"$4,900,000 MXN","Casa en venta, Cluster 6, Col. Real Campestre, Nacajuca, Tabasco, México, C.P. 86246, ID: 28915082",3 Recámaras | 3 Baños | 210 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-cluster-6-real-campestre-tabasco-28915082
Tabasco,1,2026-04-06 03:26,"$3,980,000 MXN","Se vende casa en , Col. Carrizal, Centro, Tabasco, México, C.P. 86108, ID: 30116343",3 Recámaras | 3 Baños | 187 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-carrizal-tabasco-30116343
Tabasco,1,2026-04-06 03:26,"$1,700,000 MXN","Casa en venta, , Col. Residencial Paraíso, Paraíso, Tabasco, México, C.P. 86607, ID: 8164016",3 Recámaras | 2 Baños | 106 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-residencial-paraiso-tabasco-8164016
