Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Tamaulipas,1,2026-04-06 03:31,"$3,900,000 MXN","Venta de casa en 89514, C. Simón Castro LB, Jesús Luna Luna, 89514 Cd Madero, Tamps. #LB, Col. Jesús Luna Luna, Ciudad Madero, Tamaulipas, México, C.P. 89514, ID: 30734739",3 Recámaras | 3 Baños,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-89514-c-simon-castro-lb-jesus-luna-luna-89514-cd-madero-tamps-lb-jesus-luna-luna-tamaulipas-30734739
Tamaulipas,1,2026-04-06 03:31,"$3,300,000 MXN","Linares, Col. 1° de Mayo, Ciudad Madero, Tamaulipas, México, C.P. 89450, ID: 30168845",3 Recámaras | 2 Baños | 1 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-linares-1-de-mayo-tamaulipas-30168845
Tamaulipas,1,2026-04-06 03:31,"$8,300,000 MXN","Casa en venta disponible en , Col. El Charro, Tampico, Tamaulipas, México, C.P. 89364, ID: 30857378",3 Recámaras | 3 Baños | 343 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-el-charro-tamaulipas-30857378
Tamaulipas,1,2026-04-06 03:31,"$7,900,000 MXN","Casa en venta disponible en , Col. Residencial Lagunas de Miralta, Altamira, Tamaulipas, México, C.P. 89605, ID: 30899911",4 Recámaras | 3 Baños,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-residencial-lagunas-de-miralta-tamaulipas-30899911
Tamaulipas,1,2026-04-06 03:31,"$6,300,000 MXN","Venta de casa en , Col. Manuel R Diaz, Ciudad Madero, Tamaulipas, México, C.P. 89515, ID: 30793400",4 Recámaras | 3 Baños | 283 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-manuel-r-diaz-tamaulipas-30793400
Tamaulipas,1,2026-04-06 03:31,"$4,990,000 MXN","Venta de casa en , Col. Minerva, Tampico, Tamaulipas, México, C.P. 89120, ID: 30812768",3 Recámaras | 3 Baños | 236 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-minerva-tamaulipas-30812768
Tamaulipas,1,2026-04-06 03:31,"$6,800,000 MXN","Calle Puebla #209, Col. Guadalupe, Tampico, Tamaulipas, México, C.P. 89120, ID: 29879771",3 Recámaras | 3 Baños | 343 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calle-puebla-209-guadalupe-tamaulipas-29879771
Tamaulipas,1,2026-04-06 03:31,"$6,700,000 MXN","Se vende casa en , Col. Hacienda del Rul, Tampico, Tamaulipas, México, C.P. 89364, ID: 26632114",3 Recámaras | 3 Baños | 336 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-hacienda-del-rul-tamaulipas-26632114
Tamaulipas,1,2026-04-06 03:31,"$500,000 MXN","Se vende casa C Begonas 614 #614, Col. Los Fresnos Residencial, Reynosa, Tamaulipas, México, C.P. 88715, ID: 28450415",2 Recámaras | 2 Baños | 109 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-c-begonas-614-614-los-fresnos-residencial-tamaulipas-28450415
Tamaulipas,1,2026-04-06 03:31,"$750,000 MXN","Se vende casa ARQUITECTOS 159, Col. Bertha Del Avellano, Victoria, Tamaulipas, México, C.P. 87160, ID: 28538989",3 Recámaras | 2 Baños | 190 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-arquitectos-159-bertha-del-avellano-tamaulipas-28538989
Tamaulipas,1,2026-04-06 03:31,"$7,900,000 MXN","Avenida Hidalgo, Col. Aurora, Tampico, Tamaulipas, México, C.P. 89170, ID: 28602520",6 Recámaras | 430 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-avenida-hidalgo-aurora-tamaulipas-28602520
Tamaulipas,1,2026-04-06 03:31,"$5,350,000 MXN",", Col. Tampico, Tampico, Tamaulipas, México, C.P. 89137, ID: 30371539",3 Recámaras | 2 Baños | 267 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-tampico-tamaulipas-30371539
Tamaulipas,1,2026-04-06 03:31,"$5,800,000 MXN","Se vende casa en , Col. Arenal, Tampico, Tamaulipas, México, C.P. 89344, ID: 30412443",3 Recámaras | 3 Baños | 327 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-arenal-tamaulipas-30412443
Tamaulipas,1,2026-04-06 03:31,"$430,000 MXN","Casa en venta, C. Rio Bravo #17, Col. Santa Anita, Altamira, Tamaulipas, México, C.P. 89607, ID: 29170850",2 Recámaras | 1 Baño | 54 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-c-rio-bravo-17-santa-anita-tamaulipas-29170850
Tamaulipas,1,2026-04-06 03:31,"$520,000 MXN","Se vende casa C. 20 406, Vista Hermosa, 88710 Reynosa, Tamps. #406, Col. Antara, Reynosa, Tamaulipas, México, C.P. 88710, ID: 30505276",2 Recámaras | 1 Baño | 122 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-c-20-406-vista-hermosa-88710-reynosa-tamps-406-antara-tamaulipas-30505276
Tamaulipas,1,2026-04-06 03:31,"$6,800,000 MXN","Venta de casa en , Col. Lomas Del Chairel, Tampico, Tamaulipas, México, C.P. 89360, ID: 29895492",3 Recámaras | 3 Baños | 221 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-lomas-del-chairel-tamaulipas-29895492
