Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Tlaxcala,1,2026-04-06 03:44,"$700,000 MXN","Casa en venta, CIPRESES, Col. 1ra San Bartolomé Matlalohcan, Tetla de la Solidaridad, Tlaxcala, México, C.P. 90430, ID: 26217515",2 Recámaras | 1 Baño | 65 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-cipreses-1ra-san-bartolome-matlalohcan-tlaxcala-26217515
Tlaxcala,1,2026-04-06 03:44,"$900,000 MXN","Casa en venta, JUAREZ, Col. San Lucas Tlacochcalco, Santa Cruz Tlaxcala, Tlaxcala, México, C.P. 90640, ID: 26496205",2 Recámaras | 1 Baño | 78 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-juarez-san-lucas-tlacochcalco-tlaxcala-26496205
Tlaxcala,1,2026-04-06 03:44,"$770,000 MXN","Se vende casa en CONCANAGUA, Col. FOVISSSTE Loma Verde, Apizaco, Tlaxcala, México, C.P. 90355, ID: 26890676",2 Recámaras | 1 Baño | 85 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-concanagua-fovissste-loma-verde-tlaxcala-26890676
Tlaxcala,1,2026-04-06 03:44,"$620,000 MXN","Casa en venta, Turqueza 17, Col. Amapotla, Tlaxcala, Tlaxcala, México, C.P. 90114, ID: 28539003",3 Recámaras | 3 Baños | 200 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-turqueza-17-amapotla-tlaxcala-28539003
Tlaxcala,1,2026-04-06 03:44,"$1,800,000 MXN","Se vende casa en , Col. Apizaco Celulosa, Apizaco, Tlaxcala, México, C.P. 90309, ID: 28564174",120 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-apizaco-celulosa-tlaxcala-28564174
Tlaxcala,1,2026-04-06 03:44,"$8,500,000 MXN","Casa en venta, , Col. El Alto, Tlaxcala, Tlaxcala, México, C.P. 90110, ID: 28839822",360 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-el-alto-tlaxcala-28839822
Tlaxcala,1,2026-04-06 03:44,"$2,100,000 MXN","Se vende casa en , Col. Lázaro Cárdenas, Lázaro Cárdenas, Tlaxcala, México, C.P. 90545, ID: 30606384",2 Baños | 77 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-lazaro-cardenas-tlaxcala-30606384
Tlaxcala,1,2026-04-06 03:44,"$965,000 MXN","Venta de casa en JUAREZ, Col. La Joya, Tlaxcala, Tlaxcala, México, C.P. 90114, ID: 25004827",3 Recámaras | 1 Baño | 100 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-juarez-la-joya-tlaxcala-25004827
Tlaxcala,1,2026-04-06 03:44,"$891,000 MXN","Casa en venta disponible en tlaxcala, Col. San Miguel Contla, Santa Cruz Tlaxcala, Tlaxcala, México, C.P. 90640, ID: 28583600",2 Recámaras | 1 Baño | 46 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-tlaxcala-san-miguel-contla-tlaxcala-28583600
Tlaxcala,1,2026-04-06 03:44,"$1,015,000 MXN","Casa en venta disponible en EMILIANO ZAPATA, Col. San Marcos I, Totolac, Tlaxcala, México, C.P. 90163, ID: 25877417",3 Recámaras | 1 Baño | 115 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-emiliano-zapata-san-marcos-i-tlaxcala-25877417
Tlaxcala,1,2026-04-06 03:44,"$880,000 MXN","Casa en venta, SAN MIGUEL, Col. La Joya, Tlaxcala, Tlaxcala, México, C.P. 90114, ID: 28030284",2 Recámaras | 1 Baño | 100 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-san-miguel-la-joya-tlaxcala-28030284
Tlaxcala,1,2026-04-06 03:44,"$1,345,000 MXN","Se vende casa en REFORMA, Col. San Gabriel Cuautla, Tlaxcala, Tlaxcala, México, C.P. 90117, ID: 25004711",3 Recámaras | 2 Baños | 130 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-reforma-san-gabriel-cuautla-tlaxcala-25004711
Tlaxcala,1,2026-04-06 03:44,"$1,470,000 MXN","Venta casa en Centro, Cdad. de Apizaco, Tlax., Col. San Miguel, Apizaco, Tlaxcala, México, C.P. 90339, ID: 30839403",4 Recámaras | 2 Baños | 182 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-centro-cdad-de-apizaco-tlax-san-miguel-tlaxcala-30839403
Tlaxcala,1,2026-04-06 03:44,"$1,035,000 MXN","Venta de casa en PRINCIPAL, Col. La Trinidad Tepehitec, Tlaxcala, Tlaxcala, México, C.P. 90115, ID: 28029982",3 Recámaras | 1 Baño | 115 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-principal-la-trinidad-tepehitec-tlaxcala-28029982
Tlaxcala,1,2026-04-06 03:44,"$2,300,000 MXN","Casa en venta, san matias #101, Col. San Matías Tepetomatitlan, Apetatitlán de Antonio Carvajal, Tlaxcala, México, C.P. 90606, ID: 30178862",3 Recámaras | 2 Baños | 210 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-san-matias-101-san-matias-tepetomatitlan-tlaxcala-30178862
Tlaxcala,1,2026-04-06 03:44,"$1,250,000 MXN","MOISES COCA HERRERIAS, Col. Miraflores, Tlaxcala, Tlaxcala, México, C.P. 90114, ID: 26679742",3 Recámaras | 1 Baño | 115 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-moises-coca-herrerias-miraflores-tlaxcala-26679742
