Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Veracruz,1,2026-04-06 03:46,"$1,280,000 MXN","Calz. Morelos, Veracruz, Col. Santa Martina, Fortín, Veracruz de Ignacio de la Llave, México, C.P. 94477, ID: 30653056",2 Recámaras | 1 Baño | 78 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calz-morelos-veracruz-santa-martina-veracruz-30653056
Veracruz,1,2026-04-06 03:46,"$1,980,000 MXN","Venta de casa en 94477 Fortín de las Flores, Ver. #s/n, Col. Los Naranjos, Fortín, Veracruz de Ignacio de la Llave, México, C.P. 94477, ID: 30862154",3 Recámaras | 2 Baños | 138 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-94477-fortin-de-las-flores-ver-sn-los-naranjos-veracruz-30862154
Veracruz,1,2026-04-06 03:46,"$2,920,000 MXN","Casa en venta disponible en Carretera Xalapa Veracruz 173 #173, Col. Morada del Quetzal (Tres Pasos), Emiliano Zapata, Veracruz de Ignacio de la Llave, México, C.P. 91637, ID: 28538152",3 Recámaras | 2 Baños | 210 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-carretera-xalapa-veracruz-173-173-morada-del-quetzal-tres-pasos-veracruz-28538152
Veracruz,1,2026-04-06 03:46,"$1,500,000 MXN","Venta casa en Av. Puerta Paraiso s/n, 91775 Veracruz, Ver., Col. Banaterra, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91775, ID: 29708268",3 Recámaras | 1 Baño | 71 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-av-puerta-paraiso-sn-91775-veracruz-ver-banaterra-veracruz-29708268
Veracruz,1,2026-04-06 03:46,"$3,300,000 MXN","Se vende casa en Acueducto Animas, 91197 Xalapa-Enríquez, Ver., Col. Acueducto Animas, Xalapa, Veracruz de Ignacio de la Llave, México, C.P. 91197, ID: 30997355",3 Recámaras | 2 Baños,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-acueducto-animas-91197-xalapaenriquez-ver-acueducto-animas-veracruz-30997355
Veracruz,1,2026-04-06 03:46,"$1,600,000 MXN","Casa en venta disponible en Mar de Aral, Col. Dream Lagoons, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91699, ID: 30180769",3 Recámaras | 2 Baños | 72 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-mar-de-aral-dream-lagoons-veracruz-30180769
Veracruz,1,2026-04-06 03:46,"$3,700,000 MXN","Venta de casa en Blvd. Europa 28, 91193 Xalapa-Enríquez, Ver. #28, Col. Ánimas Marqueza, Xalapa, Veracruz de Ignacio de la Llave, México, C.P. 91193, ID: 31030625",4 Recámaras | 3 Baños | 189 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-blvd-europa-28-91193-xalapaenriquez-ver-28-animas-marqueza-veracruz-31030625
Veracruz,1,2026-04-06 03:46,"$1,800,000 MXN","Casa en venta disponible en Joyas de Mocambo, 94298 Veracruz, Ver., Col. Joyas de Mocambo (Granjas los Pinos), Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94298, ID: 30879895",3 Recámaras | 2 Baños | 90 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-joyas-de-mocambo-94298-veracruz-ver-joyas-de-mocambo-granjas-los-pinos-veracruz-30879895
Veracruz,1,2026-04-06 03:46,"$1,200,000 MXN","Se vende casa FRACCIONAMIENTO PALMAR, Col. Casitas, Tecolutla, Veracruz de Ignacio de la Llave, México, C.P. 93590, ID: 26207170",2 Recámaras | 2 Baños | 60 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-fraccionamiento-palmar-casitas-veracruz-26207170
Veracruz,1,2026-04-06 03:46,"$4,750,000 MXN",", Col. La Tampiquera, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94290, ID: 30610051",4 Recámaras | 3 Baños | 273 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-la-tampiquera-veracruz-30610051
