Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Yucatan,1,2026-04-06 04:21,"$13,500,000 MXN","Venta de casa C. 53 303, Villas la Hacienda, 97119 Mérida, Yuc. #303, Col. Villas La Hacienda, Mérida, Yucatán, México, C.P. 97119, ID: 30800757",6 Recámaras | 7 Baños | 550 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-c-53-303-villas-la-hacienda-97119-merida-yuc-303-villas-la-hacienda-yucatan-30800757
Yucatan,1,2026-04-06 04:21,"$14,500,000 MXN","Calle 81 #70, Col. Merida Centro, Mérida, Yucatán, México, C.P. 97000, ID: 30312347",5 Recámaras | 5 Baños | 664 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calle-81-70-merida-centro-yucatan-30312347
Yucatan,1,2026-04-06 04:21,"$11,000,000 MXN","Se vende casa , Col. Montes de Ame, Mérida, Yucatán, México, C.P. 97115, ID: 30371219",3 Recámaras | 5 Baños | 450 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-montes-de-ame-yucatan-30371219
Yucatan,1,2026-04-06 04:21,"$8,800,000 MXN","Casa disponible en venta en , Col. Merida Centro, Mérida, Yucatán, México, C.P. 97000, ID: 29803834",2 Recámaras | 2 Baños | 170 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-merida-centro-yucatan-29803834
Yucatan,1,2026-04-06 04:21,"$1,150,000 MXN","Casa en venta, Canto, 97189 Mérida, Yuc., Col. Canto, Mérida, Yucatán, México, C.P. 97189, ID: 30754925",2 Recámaras | 1 Baño | 97 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-canto-97189-merida-yuc-canto-yucatan-30754925
Yucatan,1,2026-04-06 04:21,"$957,000 MXN","Venta de casa 19024, Anillo Periferico Lic. Manuel Berzunza Km 47 + 725, Manzana y tablaje, 97312 Mérida, Yuc., Col. Tixcacal, Mérida, Yucatán, México, C.P. 97312, ID: 30396411",2 Recámaras | 1 Baño | 62 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-19024-anillo-periferico-lic-manuel-berzunza-km-47--725-manzana-y-tablaje-97312-merida-yuc-tixcacal-yucatan-30396411
Yucatan,1,2026-04-06 04:21,"$3,100,000 MXN","Calle 80 #550, Col. Gran Santa Fe, Mérida, Yucatán, México, C.P. 97314, ID: 30289367",3 Recámaras | 2 Baños | 135 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-calle-80-550-gran-santa-fe-yucatan-30289367
Yucatan,1,2026-04-06 04:21,"$1,717,000 MXN","Se vende casa 19024, Anillo Periferico Lic. Manuel Berzunza Km 47 + 725, Manzana y tablaje, 97312 Mérida, Yuc., Col. Tixcacal, Mérida, Yucatán, México, C.P. 97312, ID: 30396413",3 Recámaras | 2 Baños | 101 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-19024-anillo-periferico-lic-manuel-berzunza-km-47--725-manzana-y-tablaje-97312-merida-yuc-tixcacal-yucatan-30396413
Yucatan,1,2026-04-06 04:21,"$1,102,000 MXN","Se vende casa 19024, Anillo Periferico Lic. Manuel Berzunza Km 47 + 725, Manzana y tablaje, 97312 Mérida, Yuc., Col. Tixcacal, Mérida, Yucatán, México, C.P. 97312, ID: 30396412",2 Recámaras | 1 Baño | 66 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-19024-anillo-periferico-lic-manuel-berzunza-km-47--725-manzana-y-tablaje-97312-merida-yuc-tixcacal-yucatan-30396412
Yucatan,1,2026-04-06 04:21,"$1,334,000 MXN","Venta de casa Periferico Poniente, entre Calle 149, Fraccionamiento los Heroes, 97306 Mérida, Yuc., Col. Los Héroes, Mérida, Yucatán, México, C.P. 97306, ID: 30327420",2 Recámaras | 1 Baño | 76 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-periferico-poniente-entre-calle-149-fraccionamiento-los-heroes-97306-merida-yuc-los-heroes-yucatan-30327420
Yucatan,1,2026-04-06 04:21,"$1,190,000 MXN","Venta de casa en Periferico Poniente, entre Calle 149, Fraccionamiento los Heroes, 97306 Mérida, Yuc., Col. Los Héroes, Mérida, Yucatán, México, C.P. 97306, ID: 30334069",2 Recámaras | 1 Baño | 65 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-periferico-poniente-entre-calle-149-fraccionamiento-los-heroes-97306-merida-yuc-los-heroes-yucatan-30334069
