Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Zacatecas,1,2026-04-06 07:13,"$18,000,000 MXN","Se vende casa Elias Amador #303, Col. Sierra de Alica, Zacatecas, Zacatecas, México, C.P. 98050, ID: 26645234",3 Recámaras | 2 Baños | 600 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-elias-amador-303-sierra-de-alica-zacatecas-26645234
Zacatecas,1,2026-04-06 07:13,"$11,000,000 MXN","Casa en venta disponible en Paseo de los Plateros 15 #15, Col. Lomas de Bernardez, Guadalupe, Zacatecas, México, C.P. 98610, ID: 29733333",5 Recámaras | 5 Baños | 790 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-paseo-de-los-plateros-15-15-lomas-de-bernardez-zacatecas-29733333
Zacatecas,1,2026-04-06 07:13,"$12,000,000 MXN","Casa en venta disponible en Reforma #6, Col. Villanueva Centro, Villanueva, Zacatecas, México, C.P. 99540, ID: 26580584",9 Recámaras | 5 Baños | 734 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-reforma-6-villanueva-centro-zacatecas-26580584
Zacatecas,1,2026-04-06 07:13,"$10,500,000 MXN","Venta casa en Mina Real de Angeles, Lomas de Bernardez, Guadalupe, Zac., Col. Lomas de Bernardez, Guadalupe, Zacatecas, México, C.P. 98610, ID: 30545269",6 Recámaras | 5 Baños | 450 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-mina-real-de-angeles-lomas-de-bernardez-guadalupe-zac-lomas-de-bernardez-zacatecas-30545269
Zacatecas,1,2026-04-06 07:13,"$1,365,000 MXN","Venta de casa Zona A, Lomas del Cristo, 98085 Zacatecas, Zac. #s/n, Col. Lomas de Cristo, Zacatecas, Zacatecas, México, C.P. 98085, ID: 30761316",2 Recámaras | 1 Baño | 90 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-zona-a-lomas-del-cristo-98085-zacatecas-zac-sn-lomas-de-cristo-zacatecas-30761316
Zacatecas,1,2026-04-06 07:13,"$8,200,000 MXN","Cárpatos, Lomas del Campestre, 98098 Zacatecas, Zac. #s/n, Col. Lomas Del Campestre, Zacatecas, Zacatecas, México, C.P. 98098, ID: 30612572",5 Recámaras | 4 Baños | 450 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-carpatos-lomas-del-campestre-98098-zacatecas-zac-sn-lomas-del-campestre-zacatecas-30612572
Zacatecas,1,2026-04-06 07:13,"$2,100,000 MXN","Se vende casa , Col. El Socorro, Loreto, Zacatecas, México, C.P. 98838, ID: 30360219",3 Recámaras | 2 Baños | 297 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-el-socorro-zacatecas-30360219
Zacatecas,1,2026-04-06 07:13,"$2,460,000 MXN","Torrecillas 22, San Miguel del Cortijo, 98615 Guadalupe, Zac. #22, Col. San Miguel del Cortijo, Guadalupe, Zacatecas, México, C.P. 98615, ID: 30980272",3 Recámaras | 2 Baños | 145 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-torrecillas-22-san-miguel-del-cortijo-98615-guadalupe-zac-22-san-miguel-del-cortijo-zacatecas-30980272
Zacatecas,1,2026-04-06 07:13,"$1,400,000 MXN","Se vende casa Moral 317, Huerta Vieja, 98087 Zacatecas, Zac. #317, Col. Huerta Vieja, Zacatecas, Zacatecas, México, C.P. 98087, ID: 31001741",3 Recámaras | 2 Baños | 125 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-moral-317-huerta-vieja-98087-zacatecas-zac-317-huerta-vieja-zacatecas-31001741
Zacatecas,1,2026-04-06 07:13,"$2,400,000 MXN","Se vende casa en Facultad de Economía 70, S.T.U.A.Z., 98613 Guadalupe, Zac. #70, Col. Stuaz, Guadalupe, Zacatecas, México, C.P. 98609, ID: 30980367",3 Recámaras | 2 Baños | 145 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-facultad-de-economia-70-stuaz-98613-guadalupe-zac-70-stuaz-zacatecas-30980367
