clave_municipio,clave_estado,ano,estado,municipio,modalidad,zona,acciones,monto
001,01,2016,Aguascalientes,Aguascalientes,Viviendas nuevas,Urbano,1520,1115960148.0
001,01,2016,Aguascalientes,Aguascalientes,Viviendas existentes,Urbano,287,182495351.0
001,01,2016,Aguascalientes,Aguascalientes,Mejoramientos,Urbano,482,35863151.0
001,01,2016,Aguascalientes,Aguascalientes,Otros programas,Urbano,222,199484645.0
002,01,2016,Aguascalientes,Asientos,Viviendas existentes,Rural,3,2555188.0
002,01,2016,Aguascalientes,Asientos,Mejoramientos,Rural,40,1446500.0
002,01,2016,Aguascalientes,Asientos,Otros programas,Rural,0,865500.0
003,01,2016,Aguascalientes,Calvillo,Viviendas nuevas,Rural,5,3073776.0
003,01,2016,Aguascalientes,Calvillo,Viviendas existentes,Rural,2,3123808.0
003,01,2016,Aguascalientes,Calvillo,Mejoramientos,Rural,9,147557.0
003,01,2016,Aguascalientes,Calvillo,Otros programas,Rural,0,899357.0
004,01,2016,Aguascalientes,Cosío,Viviendas existentes,Rural,1,107086.0
004,01,2016,Aguascalientes,Cosío,Mejoramientos,Rural,14,433611.0
005,01,2016,Aguascalientes,Jesús María,Viviendas nuevas,Mixto,479,429633710.0
005,01,2016,Aguascalientes,Jesús María,Viviendas existentes,Mixto,80,55489698.0
005,01,2016,Aguascalientes,Jesús María,Mejoramientos,Mixto,69,14186703.0
005,01,2016,Aguascalientes,Jesús María,Otros programas,Mixto,92,91635327.0
006,01,2016,Aguascalientes,Pabellón de Arteaga,Viviendas nuevas,Urbano,5,4425101.0
006,01,2016,Aguascalientes,Pabellón de Arteaga,Viviendas existentes,Urbano,1,395100.0
006,01,2016,Aguascalientes,Pabellón de Arteaga,Mejoramientos,Urbano,10,367553.0
006,01,2016,Aguascalientes,Pabellón de Arteaga,Otros programas,Urbano,0,8118782.0
007,01,2016,Aguascalientes,Rincón de Romos,Viviendas nuevas,Urbano,8,5468834.0
007,01,2016,Aguascalientes,Rincón de Romos,Viviendas existentes,Urbano,1,1461404.0
007,01,2016,Aguascalientes,Rincón de Romos,Mejoramientos,Urbano,19,596202.0
007,01,2016,Aguascalientes,Rincón de Romos,Otros programas,Urbano,0,4717423.0
008,01,2016,Aguascalientes,San José de Gracia,Viviendas nuevas,Semiurbano,1,758229.0
008,01,2016,Aguascalientes,San José de Gracia,Mejoramientos,Semiurbano,1,23758.0
009,01,2016,Aguascalientes,Tepezalá,Mejoramientos,Rural,11,322934.0
009,01,2016,Aguascalientes,Tepezalá,Otros programas,Rural,0,943859.0
010,01,2016,Aguascalientes,El Llano,Viviendas nuevas,Rural,1,391000.0
010,01,2016,Aguascalientes,El Llano,Viviendas existentes,Rural,2,2242869.0
010,01,2016,Aguascalientes,El Llano,Mejoramientos,Rural,16,313747.0
011,01,2016,Aguascalientes,San Francisco de los Romo,Viviendas nuevas,Mixto,8,2798313.0
011,01,2016,Aguascalientes,San Francisco de los Romo,Viviendas existentes,Mixto,6,1614771.0
011,01,2016,Aguascalientes,San Francisco de los Romo,Mejoramientos,Mixto,25,815899.0
011,01,2016,Aguascalientes,San Francisco de los Romo,Otros programas,Mixto,8,2771908.0
001,02,2016,Baja California,Ensenada,Viviendas nuevas,Urbano,230,220236382.0
001,02,2016,Baja California,Ensenada,Viviendas existentes,Urbano,99,62602611.0
001,02,2016,Baja California,Ensenada,Mejoramientos,Urbano,520,14819103.0
001,02,2016,Baja California,Ensenada,Otros programas,Urbano,61,68840977.0
002,02,2016,Baja California,Mexicali,Viviendas nuevas,Urbano,953,944329267.0
002,02,2016,Baja California,Mexicali,Viviendas existentes,Urbano,324,191091090.0
002,02,2016,Baja California,Mexicali,Mejoramientos,Urbano,948,47235733.0
002,02,2016,Baja California,Mexicali,Otros programas,Urbano,341,258981577.0
003,02,2016,Baja California,Tecate,Viviendas nuevas,Urbano,16,13699837.0
003,02,2016,Baja California,Tecate,Viviendas existentes,Urbano,15,7295893.0
003,02,2016,Baja California,Tecate,Mejoramientos,Urbano,91,2535577.0
003,02,2016,Baja California,Tecate,Otros programas,Urbano,2,887863.0
004,02,2016,Baja California,Tijuana,Viviendas nuevas,Urbano,1570,1268414509.0
004,02,2016,Baja California,Tijuana,Viviendas existentes,Urbano,415,270179244.0
004,02,2016,Baja California,Tijuana,Mejoramientos,Urbano,2064,73389920.0
004,02,2016,Baja California,Tijuana,Otros programas,Urbano,390,267670704.0
005,02,2016,Baja California,Playas de Rosarito,Viviendas nuevas,Urbano,41,47325874.0
005,02,2016,Baja California,Playas de Rosarito,Viviendas existentes,Urbano,6,11943077.0
005,02,2016,Baja California,Playas de Rosarito,Mejoramientos,Urbano,70,1830717.0
005,02,2016,Baja California,Playas de Rosarito,Otros programas,Urbano,2,4829038.0
001,03,2016,Baja California Sur,Comondú,Viviendas nuevas,Urbano,2,1566953.0
001,03,2016,Baja California Sur,Comondú,Viviendas existentes,Urbano,8,3193377.0
001,03,2016,Baja California Sur,Comondú,Mejoramientos,Urbano,9,215871.0
001,03,2016,Baja California Sur,Comondú,Otros programas,Urbano,1,50863.0
002,03,2016,Baja California Sur,Mulegé,Viviendas nuevas,Semiurbano,9,5680622.0
002,03,2016,Baja California Sur,Mulegé,Viviendas existentes,Semiurbano,5,1552575.0
002,03,2016,Baja California Sur,Mulegé,Mejoramientos,Semiurbano,8,368365.0
003,03,2016,Baja California Sur,La Paz,Viviendas nuevas,Urbano,321,327673607.0
003,03,2016,Baja California Sur,La Paz,Viviendas existentes,Urbano,89,61404051.0
003,03,2016,Baja California Sur,La Paz,Mejoramientos,Urbano,245,14444545.0
003,03,2016,Baja California Sur,La Paz,Otros programas,Urbano,65,65027305.0
008,03,2016,Baja California Sur,Los Cabos,Viviendas nuevas,Urbano,351,358727052.0
008,03,2016,Baja California Sur,Los Cabos,Viviendas existentes,Urbano,111,88622614.0
008,03,2016,Baja California Sur,Los Cabos,Mejoramientos,Urbano,885,39002693.0
008,03,2016,Baja California Sur,Los Cabos,Otros programas,Urbano,74,87551206.0
009,03,2016,Baja California Sur,Loreto,Viviendas nuevas,Urbano,2,6474380.0
009,03,2016,Baja California Sur,Loreto,Viviendas existentes,Urbano,4,5242872.0
009,03,2016,Baja California Sur,Loreto,Mejoramientos,Urbano,3,46629.0
009,03,2016,Baja California Sur,Loreto,Otros programas,Urbano,1,1361137.0
001,04,2016,Campeche,Calkiní,Viviendas nuevas,Semiurbano,3,1836324.0
001,04,2016,Campeche,Calkiní,Mejoramientos,Semiurbano,29,691164.0
002,04,2016,Campeche,Campeche,Viviendas nuevas,Urbano,157,138598893.0
002,04,2016,Campeche,Campeche,Viviendas existentes,Urbano,64,33055365.0
002,04,2016,Campeche,Campeche,Mejoramientos,Urbano,178,4967428.0
002,04,2016,Campeche,Campeche,Otros programas,Urbano,18,35723192.0
003,04,2016,Campeche,Carmen,Viviendas nuevas,Urbano,434,472684973.0
003,04,2016,Campeche,Carmen,Viviendas existentes,Urbano,110,99490133.0
003,04,2016,Campeche,Carmen,Mejoramientos,Urbano,84,4577349.0
003,04,2016,Campeche,Carmen,Otros programas,Urbano,62,117312501.0
004,04,2016,Campeche,Champotón,Viviendas nuevas,Mixto,3,3328240.0
004,04,2016,Campeche,Champotón,Viviendas existentes,Mixto,1,177634.0
004,04,2016,Campeche,Champotón,Mejoramientos,Mixto,13,333934.0
004,04,2016,Campeche,Champotón,Otros programas,Mixto,0,1634640.0
005,04,2016,Campeche,Hecelchakán,Mejoramientos,Semiurbano,4,108271.0
006,04,2016,Campeche,Hopelchén,Viviendas nuevas,Rural,1,949904.0
006,04,2016,Campeche,Hopelchén,Mejoramientos,Rural,3,47406.0
007,04,2016,Campeche,Palizada,Viviendas nuevas,Rural,2,1121725.0
007,04,2016,Campeche,Palizada,Viviendas existentes,Rural,10,13781308.0
007,04,2016,Campeche,Palizada,Otros programas,Rural,0,13937491.0
008,04,2016,Campeche,Tenabo,Viviendas nuevas,Semiurbano,1,998250.0
008,04,2016,Campeche,Tenabo,Mejoramientos,Semiurbano,4,68611.0
009,04,2016,Campeche,Escárcega,Viviendas nuevas,Urbano,3,1323643.0
009,04,2016,Campeche,Escárcega,Mejoramientos,Urbano,2,76981.0
009,04,2016,Campeche,Escárcega,Otros programas,Urbano,0,750750.0
010,04,2016,Campeche,Calakmul,Otros programas,Rural,0,354182.0
011,04,2016,Campeche,Candelaria,Viviendas nuevas,Rural,19,28384684.0
011,04,2016,Campeche,Candelaria,Viviendas existentes,Rural,24,23382800.0
011,04,2016,Campeche,Candelaria,Mejoramientos,Rural,2,77110.0
011,04,2016,Campeche,Candelaria,Otros programas,Rural,10,44044577.0
001,05,2016,Coahuila de Zaragoza,Abasolo,Viviendas existentes,Rural,1,77714.0
001,05,2016,Coahuila de Zaragoza,Abasolo,Mejoramientos,Rural,1,8479.0
001,05,2016,Coahuila de Zaragoza,Abasolo,Otros programas,Rural,0,245673.0
002,05,2016,Coahuila de Zaragoza,Acuña,Viviendas nuevas,Urbano,31,20830314.0
002,05,2016,Coahuila de Zaragoza,Acuña,Viviendas existentes,Urbano,41,15444116.0
002,05,2016,Coahuila de Zaragoza,Acuña,Mejoramientos,Urbano,374,8447649.0
002,05,2016,Coahuila de Zaragoza,Acuña,Otros programas,Urbano,2,874614.0
003,05,2016,Coahuila de Zaragoza,Allende,Viviendas existentes,Urbano,4,1910602.0
003,05,2016,Coahuila de Zaragoza,Allende,Mejoramientos,Urbano,6,250685.0
003,05,2016,Coahuila de Zaragoza,Allende,Otros programas,Urbano,0,208246.0
004,05,2016,Coahuila de Zaragoza,Arteaga,Viviendas nuevas,Urbano,80,66110892.0
004,05,2016,Coahuila de Zaragoza,Arteaga,Viviendas existentes,Urbano,4,5085422.0
004,05,2016,Coahuila de Zaragoza,Arteaga,Mejoramientos,Urbano,9,305690.0
004,05,2016,Coahuila de Zaragoza,Arteaga,Otros programas,Urbano,4,7488439.0
005,05,2016,Coahuila de Zaragoza,Candela,Mejoramientos,Rural,1,15765.0
006,05,2016,Coahuila de Zaragoza,Castaños,Viviendas nuevas,Urbano,7,2579197.0
006,05,2016,Coahuila de Zaragoza,Castaños,Viviendas existentes,Urbano,7,2724943.0
006,05,2016,Coahuila de Zaragoza,Castaños,Mejoramientos,Urbano,92,2425248.0
006,05,2016,Coahuila de Zaragoza,Castaños,Otros programas,Urbano,0,526238.0
007,05,2016,Coahuila de Zaragoza,Cuatro Ciénegas,Viviendas nuevas,Semiurbano,2,1149669.0
007,05,2016,Coahuila de Zaragoza,Cuatro Ciénegas,Viviendas existentes,Semiurbano,5,2078325.0
007,05,2016,Coahuila de Zaragoza,Cuatro Ciénegas,Mejoramientos,Semiurbano,3,57732.0
008,05,2016,Coahuila de Zaragoza,Escobedo,Viviendas existentes,Rural,1,186848.0
008,05,2016,Coahuila de Zaragoza,Escobedo,Mejoramientos,Rural,3,84660.0
009,05,2016,Coahuila de Zaragoza,Francisco I. Madero,Viviendas nuevas,Urbano,7,3217576.0
009,05,2016,Coahuila de Zaragoza,Francisco I. Madero,Viviendas existentes,Urbano,3,4294611.0
009,05,2016,Coahuila de Zaragoza,Francisco I. Madero,Mejoramientos,Urbano,79,1713381.0
009,05,2016,Coahuila de Zaragoza,Francisco I. Madero,Otros programas,Urbano,0,701447.0
010,05,2016,Coahuila de Zaragoza,Frontera,Viviendas nuevas,Urbano,36,21159473.0
010,05,2016,Coahuila de Zaragoza,Frontera,Viviendas existentes,Urbano,40,14337189.0
010,05,2016,Coahuila de Zaragoza,Frontera,Mejoramientos,Urbano,219,6243865.0
010,05,2016,Coahuila de Zaragoza,Frontera,Otros programas,Urbano,5,2768509.0
011,05,2016,Coahuila de Zaragoza,General Cepeda,Viviendas nuevas,Rural,1,606000.0
011,05,2016,Coahuila de Zaragoza,General Cepeda,Viviendas existentes,Rural,1,130843.0
011,05,2016,Coahuila de Zaragoza,General Cepeda,Mejoramientos,Rural,5,179799.0
012,05,2016,Coahuila de Zaragoza,Guerrero,Viviendas existentes,Rural,1,865462.0
012,05,2016,Coahuila de Zaragoza,Guerrero,Otros programas,Rural,0,4500000.0
013,05,2016,Coahuila de Zaragoza,Hidalgo,Viviendas nuevas,Rural,2,3333937.0
013,05,2016,Coahuila de Zaragoza,Hidalgo,Mejoramientos,Rural,1,16019.0
013,05,2016,Coahuila de Zaragoza,Hidalgo,Otros programas,Rural,0,9495402.0
014,05,2016,Coahuila de Zaragoza,Jiménez,Mejoramientos,Rural,12,267373.0
015,05,2016,Coahuila de Zaragoza,Juárez,Viviendas existentes,Rural,5,4576833.0
015,05,2016,Coahuila de Zaragoza,Juárez,Otros programas,Rural,0,13471064.0
016,05,2016,Coahuila de Zaragoza,Lamadrid,Mejoramientos,Rural,5,190794.0
017,05,2016,Coahuila de Zaragoza,Matamoros,Viviendas nuevas,Urbano,3,4740338.0
017,05,2016,Coahuila de Zaragoza,Matamoros,Viviendas existentes,Urbano,6,2244917.0
017,05,2016,Coahuila de Zaragoza,Matamoros,Mejoramientos,Urbano,121,2853738.0
017,05,2016,Coahuila de Zaragoza,Matamoros,Otros programas,Urbano,0,1861299.0
018,05,2016,Coahuila de Zaragoza,Monclova,Viviendas nuevas,Urbano,93,82684570.0
018,05,2016,Coahuila de Zaragoza,Monclova,Viviendas existentes,Urbano,124,57555707.0
018,05,2016,Coahuila de Zaragoza,Monclova,Mejoramientos,Urbano,444,12589409.0
018,05,2016,Coahuila de Zaragoza,Monclova,Otros programas,Urbano,13,27262820.0
019,05,2016,Coahuila de Zaragoza,Morelos,Mejoramientos,Semiurbano,1,50181.0
020,05,2016,Coahuila de Zaragoza,Múzquiz,Viviendas nuevas,Urbano,7,4141561.0
020,05,2016,Coahuila de Zaragoza,Múzquiz,Viviendas existentes,Urbano,7,2362745.0
020,05,2016,Coahuila de Zaragoza,Múzquiz,Mejoramientos,Urbano,40,985567.0
020,05,2016,Coahuila de Zaragoza,Múzquiz,Otros programas,Urbano,2,1375400.0
021,05,2016,Coahuila de Zaragoza,Nadadores,Viviendas nuevas,Semiurbano,2,1673000.0
021,05,2016,Coahuila de Zaragoza,Nadadores,Viviendas existentes,Semiurbano,1,362150.0
021,05,2016,Coahuila de Zaragoza,Nadadores,Mejoramientos,Semiurbano,21,616747.0
022,05,2016,Coahuila de Zaragoza,Nava,Viviendas nuevas,Urbano,4,3406286.0
022,05,2016,Coahuila de Zaragoza,Nava,Viviendas existentes,Urbano,4,1386197.0
022,05,2016,Coahuila de Zaragoza,Nava,Mejoramientos,Urbano,4,61126.0
023,05,2016,Coahuila de Zaragoza,Ocampo,Viviendas nuevas,Rural,2,814173.0
023,05,2016,Coahuila de Zaragoza,Ocampo,Viviendas existentes,Rural,5,1793903.0
023,05,2016,Coahuila de Zaragoza,Ocampo,Mejoramientos,Rural,5,199131.0
023,05,2016,Coahuila de Zaragoza,Ocampo,Otros programas,Rural,0,2920422.0
024,05,2016,Coahuila de Zaragoza,Parras,Viviendas nuevas,Urbano,6,4438620.0
024,05,2016,Coahuila de Zaragoza,Parras,Viviendas existentes,Urbano,1,276764.0
024,05,2016,Coahuila de Zaragoza,Parras,Mejoramientos,Urbano,5,186232.0
024,05,2016,Coahuila de Zaragoza,Parras,Otros programas,Urbano,2,2814581.0
025,05,2016,Coahuila de Zaragoza,Piedras Negras,Viviendas nuevas,Urbano,134,95029186.0
025,05,2016,Coahuila de Zaragoza,Piedras Negras,Viviendas existentes,Urbano,22,17021326.0
025,05,2016,Coahuila de Zaragoza,Piedras Negras,Mejoramientos,Urbano,121,5532676.0
025,05,2016,Coahuila de Zaragoza,Piedras Negras,Otros programas,Urbano,8,4217352.0
026,05,2016,Coahuila de Zaragoza,Progreso,Mejoramientos,Rural,3,63413.0
026,05,2016,Coahuila de Zaragoza,Progreso,Otros programas,Rural,2,593027.0
027,05,2016,Coahuila de Zaragoza,Ramos Arizpe,Viviendas nuevas,Urbano,244,226099692.0
027,05,2016,Coahuila de Zaragoza,Ramos Arizpe,Viviendas existentes,Urbano,47,29104348.0
027,05,2016,Coahuila de Zaragoza,Ramos Arizpe,Mejoramientos,Urbano,57,3023637.0
027,05,2016,Coahuila de Zaragoza,Ramos Arizpe,Otros programas,Urbano,21,16124271.0
028,05,2016,Coahuila de Zaragoza,Sabinas,Viviendas nuevas,Urbano,21,16143899.0
028,05,2016,Coahuila de Zaragoza,Sabinas,Viviendas existentes,Urbano,14,5282841.0
028,05,2016,Coahuila de Zaragoza,Sabinas,Mejoramientos,Urbano,77,2186299.0
028,05,2016,Coahuila de Zaragoza,Sabinas,Otros programas,Urbano,1,1347948.0
029,05,2016,Coahuila de Zaragoza,Sacramento,Viviendas existentes,Rural,1,181852.0
029,05,2016,Coahuila de Zaragoza,Sacramento,Mejoramientos,Rural,8,262526.0
030,05,2016,Coahuila de Zaragoza,Saltillo,Viviendas nuevas,Urbano,1140,1051260390.0
030,05,2016,Coahuila de Zaragoza,Saltillo,Viviendas existentes,Urbano,226,140614322.0
030,05,2016,Coahuila de Zaragoza,Saltillo,Mejoramientos,Urbano,612,27390004.0
030,05,2016,Coahuila de Zaragoza,Saltillo,Otros programas,Urbano,184,157876335.0
031,05,2016,Coahuila de Zaragoza,San Buenaventura,Viviendas nuevas,Urbano,7,3334316.0
031,05,2016,Coahuila de Zaragoza,San Buenaventura,Viviendas existentes,Urbano,16,8409786.0
031,05,2016,Coahuila de Zaragoza,San Buenaventura,Mejoramientos,Urbano,42,1149229.0
031,05,2016,Coahuila de Zaragoza,San Buenaventura,Otros programas,Urbano,1,1198687.0
032,05,2016,Coahuila de Zaragoza,San Juan de Sabinas,Viviendas nuevas,Urbano,8,6778058.0
032,05,2016,Coahuila de Zaragoza,San Juan de Sabinas,Viviendas existentes,Urbano,4,1210426.0
032,05,2016,Coahuila de Zaragoza,San Juan de Sabinas,Mejoramientos,Urbano,43,934683.0
032,05,2016,Coahuila de Zaragoza,San Juan de Sabinas,Otros programas,Urbano,1,1375820.0
033,05,2016,Coahuila de Zaragoza,San Pedro,Viviendas nuevas,Mixto,6,3712189.0
033,05,2016,Coahuila de Zaragoza,San Pedro,Viviendas existentes,Mixto,10,8477604.0
033,05,2016,Coahuila de Zaragoza,San Pedro,Mejoramientos,Mixto,125,2697314.0
033,05,2016,Coahuila de Zaragoza,San Pedro,Otros programas,Mixto,0,4479941.0
034,05,2016,Coahuila de Zaragoza,Sierra Mojada,Viviendas existentes,Semiurbano,2,1015446.0
035,05,2016,Coahuila de Zaragoza,Torreón,Viviendas nuevas,Urbano,1083,1009447800.0
035,05,2016,Coahuila de Zaragoza,Torreón,Viviendas existentes,Urbano,225,133089900.0
035,05,2016,Coahuila de Zaragoza,Torreón,Mejoramientos,Urbano,421,36990714.0
035,05,2016,Coahuila de Zaragoza,Torreón,Otros programas,Urbano,191,217977846.0
036,05,2016,Coahuila de Zaragoza,Viesca,Viviendas nuevas,Rural,5,6521140.0
036,05,2016,Coahuila de Zaragoza,Viesca,Viviendas existentes,Rural,24,28554203.0
036,05,2016,Coahuila de Zaragoza,Viesca,Mejoramientos,Rural,24,504267.0
036,05,2016,Coahuila de Zaragoza,Viesca,Otros programas,Rural,4,32965293.0
