clave_municipio,clave_estado,ano,estado,municipio,modalidad,linea_apoyo,acciones,monto
001,01,2019,Aguascalientes,Aguascalientes,Autoproducción,Autoproducción,35,2607023.3
001,01,2019,Aguascalientes,Aguascalientes,Autoproducción,Mejoramiento,6,152567.26
001,01,2019,Aguascalientes,Aguascalientes,Autoproducción,Vivienda nueva,44,2413790.79
002,01,2019,Aguascalientes,Asientos,Autoproducción,Autoproducción,3,223459.14
003,01,2019,Aguascalientes,Calvillo,Autoproducción,Autoproducción,40,2979455.2
003,01,2019,Aguascalientes,Calvillo,Autoproducción,Mejoramiento,4,99014.47
004,01,2019,Aguascalientes,Cosío,Autoproducción,Autoproducción,2,148972.76
005,01,2019,Aguascalientes,Jesús María,Autoproducción,Autoproducción,37,2755996.06
005,01,2019,Aguascalientes,Jesús María,Autoproducción,Mejoramiento,4,90923.36
005,01,2019,Aguascalientes,Jesús María,Autoproducción,Vivienda nueva,11,594259.7
006,01,2019,Aguascalientes,Pabellón de Arteaga,Autoproducción,Autoproducción,1,74486.38
007,01,2019,Aguascalientes,Rincón de Romos,Autoproducción,Autoproducción,51,3798805.38
007,01,2019,Aguascalientes,Rincón de Romos,Autoproducción,Mejoramiento,2,45461.68
008,01,2019,Aguascalientes,San José de Gracia,Autoproducción,Autoproducción,43,3202914.34
009,01,2019,Aguascalientes,Tepezalá,Autoproducción,Autoproducción,3,223459.14
010,01,2019,Aguascalientes,El Llano,Autoproducción,Autoproducción,7,521404.66
011,01,2019,Aguascalientes,San Francisco de los Romo,Autoproducción,Autoproducción,20,1489727.6
011,01,2019,Aguascalientes,San Francisco de los Romo,Autoproducción,Mejoramiento,1,22730.84
011,01,2019,Aguascalientes,San Francisco de los Romo,Autoproducción,Vivienda nueva,17,794800.63
000,02,2019,Baja California,No distribuido,Autoproducción,Rentas,4,59092.33
001,02,2019,Baja California,Ensenada,Autoproducción,Vivienda nueva,12,606832.31
002,02,2019,Baja California,Mexicali,Vivienda en Lote Urbano,Ampliación de vivienda,399,48143660.9
002,02,2019,Baja California,Mexicali,Vivienda en Lote Urbano,Mejoramiento,480,24657600.0
002,02,2019,Baja California,Mexicali,Vivienda en Lote Urbano,Vivienda nueva,190,45873410.0
002,02,2019,Baja California,Mexicali,Autoproducción,Vivienda nueva,11,463243.52
004,02,2019,Baja California,Tijuana,Vivienda en Conjunto Habitacional,Adquisición de vivienda usada,22,7480362.45
004,02,2019,Baja California,Tijuana,Vivienda en Lote Urbano,Ampliación de vivienda,90,11063073.0
004,02,2019,Baja California,Tijuana,Vivienda en Lote Urbano,Mejoramiento,100,5483747.5
004,02,2019,Baja California,Tijuana,Vivienda en Lote Urbano,Vivienda nueva,556,127170834.03
004,02,2019,Baja California,Tijuana,Autoproducción,Autoproducción,17,1258562.95
004,02,2019,Baja California,Tijuana,Autoproducción,Vivienda nueva,112,5856888.9
005,02,2019,Baja California,Playas de Rosarito,Autoproducción,Autoproducción,4,297945.52
000,03,2019,Baja California Sur,No distribuido,Autoproducción,Rentas,9,67375.54
003,03,2019,Baja California Sur,La Paz,Autoproducción,Vivienda nueva,39,2056694.52
008,03,2019,Baja California Sur,Los Cabos,Vivienda en Lote Urbano,Ampliación de vivienda,661,85572146.0
008,03,2019,Baja California Sur,Los Cabos,Vivienda en Lote Urbano,Mejoramiento,395,24364791.0
008,03,2019,Baja California Sur,Los Cabos,Vivienda en Lote Urbano,Vivienda nueva,82,20265448.0
001,04,2019,Campeche,Calkiní,Autoproducción,Autoproducción,22,1623289.38
002,04,2019,Campeche,Campeche,Vivienda en Espacio Edificable Rural o Urbano,Ampliación de vivienda,19,570000.0
002,04,2019,Campeche,Campeche,Autoproducción,Autoproducción,70,4921237.98
002,04,2019,Campeche,Campeche,Autoproducción,Vivienda nueva,9,563753.89
003,04,2019,Campeche,Carmen,Autoproducción,Autoproducción,11,819350.18
004,04,2019,Campeche,Champotón,Vivienda en Espacio Edificable Rural o Urbano,Ampliación de vivienda,30,900000.0
004,04,2019,Campeche,Champotón,Autoproducción,Autoproducción,132,9601037.46
005,04,2019,Campeche,Hecelchakán,Autoproducción,Autoproducción,44,3277400.72
006,04,2019,Campeche,Hopelchén,Vivienda en Espacio Edificable Rural o Urbano,Ampliación de vivienda,19,570000.0
007,04,2019,Campeche,Palizada,Autoproducción,Autoproducción,20,1489727.6
009,04,2019,Campeche,Escárcega,Autoproducción,Autoproducción,31,2232022.88
010,04,2019,Campeche,Calakmul,Autoproducción,Autoproducción,5,372431.9
011,04,2019,Campeche,Candelaria,Autoproducción,Autoproducción,58,4320210.04
000,05,2019,Coahuila de Zaragoza,No distribuido,Autoproducción,Rentas,11,127673.0
