ano,estado,municipio,organismo,modalidad,clave_municipio,clave_estado,acciones,monto
2015,No distribuido,No distribuido,CONAVI,Otros programas,000,00,0,71784064.0
2015,No distribuido,No distribuido,SHF (FONDEO),Viviendas nuevas,000,00,716,995737312.0
2015,No distribuido,No distribuido,SHF (FONDEO),Viviendas existentes,000,00,2,140983396.6875
2015,No distribuido,No distribuido,SHF (FONDEO),Mejoramientos,000,00,17240,742952606.594
2015,No distribuido,No distribuido,ISSFAM,Viviendas nuevas,000,00,123,91932750.0
2015,No distribuido,No distribuido,BANCA (CNBV),Mejoramientos,000,00,0,11302825792.0
2015,Aguascalientes,No distribuido,CONAVI,Viviendas existentes,000,01,19,94757.9296
2015,Aguascalientes,No distribuido,PEMEX,Mejoramientos,000,01,0,0.0
2015,Aguascalientes,Aguascalientes,FOVISSSTE,Viviendas nuevas,001,01,742,377582213.4171
2015,Aguascalientes,Aguascalientes,FOVISSSTE,Viviendas existentes,001,01,235,130395175.7354
2015,Aguascalientes,Aguascalientes,FOVISSSTE,Mejoramientos,001,01,168,0.0
2015,Aguascalientes,Aguascalientes,FOVISSSTE,Otros programas,001,01,4,2463717.7813
2015,Aguascalientes,Aguascalientes,INFONAVIT,Viviendas nuevas,001,01,3627,979349221.1804
2015,Aguascalientes,Aguascalientes,INFONAVIT,Viviendas existentes,001,01,2140,607393645.6337
2015,Aguascalientes,Aguascalientes,INFONAVIT,Mejoramientos,001,01,3849,3430691.0159
2015,Aguascalientes,Aguascalientes,INFONAVIT,Otros programas,001,01,21,6338992.8129
2015,Aguascalientes,Aguascalientes,CONAVI,Viviendas nuevas,001,01,2157,121258095.1203
2015,Aguascalientes,Aguascalientes,CONAVI,Viviendas existentes,001,01,489,26230220.9443
2015,Aguascalientes,Aguascalientes,CONAVI,Mejoramientos,001,01,11,172261.3105
2015,Aguascalientes,Aguascalientes,SHF (FONDEO),Viviendas nuevas,001,01,2,51969.5196
2015,Aguascalientes,Aguascalientes,SHF (FONDEO),Mejoramientos,001,01,1124,31948816.0299
2015,Aguascalientes,Aguascalientes,ISSFAM,Viviendas nuevas,001,01,29,12583004.8125
2015,Aguascalientes,Aguascalientes,ISSFAM,Otros programas,001,01,10,3840250.0
2015,Aguascalientes,Aguascalientes,CFE,Viviendas nuevas,001,01,1,821578.0
2015,Aguascalientes,Aguascalientes,CFE,Viviendas existentes,001,01,12,9573886.5
2015,Aguascalientes,Aguascalientes,CFE,Mejoramientos,001,01,2,1552980.0
2015,Aguascalientes,Aguascalientes,CFE,Otros programas,001,01,4,3191962.0
2015,Aguascalientes,Aguascalientes,FONHAPO,Viviendas nuevas,001,01,66,5037120.0
2015,Aguascalientes,Aguascalientes,FONHAPO,Mejoramientos,001,01,173,3460000.0
2015,Aguascalientes,Aguascalientes,BANJERCITO,Viviendas nuevas,001,01,2,606339.9375
2015,Aguascalientes,Aguascalientes,BANJERCITO,Viviendas existentes,001,01,14,5439788.1251
2015,Aguascalientes,Aguascalientes,BANJERCITO,Otros programas,001,01,0,857600.0
2015,Aguascalientes,Aguascalientes,BANCA (CNBV),Viviendas nuevas,001,01,1385,1020502973.0
2015,Aguascalientes,Aguascalientes,BANCA (CNBV),Viviendas existentes,001,01,369,233196187.0
2015,Aguascalientes,Aguascalientes,BANCA (CNBV),Otros programas,001,01,367,241159718.0
2015,Aguascalientes,Asientos,FOVISSSTE,Mejoramientos,002,01,9,0.0
2015,Aguascalientes,Asientos,INFONAVIT,Viviendas existentes,002,01,23,6296010.9847
2015,Aguascalientes,Asientos,INFONAVIT,Mejoramientos,002,01,254,0.0
2015,Aguascalientes,Asientos,SHF (FONDEO),Mejoramientos,002,01,57,1399785.2069
2015,Aguascalientes,Asientos,FONHAPO,Mejoramientos,002,01,327,6540000.0
