clave_municipio,clave_estado,ano,estado,municipio,modalidad,esquema,acciones,monto
001,01,2015,Aguascalientes,Aguascalientes,Vivienda Nueva,Tradicional,361,220767799.96
001,01,2015,Aguascalientes,Aguascalientes,Vivienda Nueva,Fovissste infonavit conyugal,24,11767408.92
001,01,2015,Aguascalientes,Aguascalientes,Vivienda Nueva,Pensionados,19,7968591.05
001,01,2015,Aguascalientes,Aguascalientes,Vivienda Nueva,Subsidios,219,102991374.71
001,01,2015,Aguascalientes,Aguascalientes,Vivienda Nueva,Alia2+ Plus,117,33557857.12
001,01,2015,Aguascalientes,Aguascalientes,Vivienda Nueva,Respalda2,2,529182.47
001,01,2015,Aguascalientes,Aguascalientes,Vivienda Existente,Tradicional,186,113690495.35
001,01,2015,Aguascalientes,Aguascalientes,Vivienda Existente,Fovissste infonavit conyugal,10,5272594.19
001,01,2015,Aguascalientes,Aguascalientes,Vivienda Existente,Pensionados,11,4579437.07
001,01,2015,Aguascalientes,Aguascalientes,Vivienda Existente,Subsidios,4,1996065.85
001,01,2015,Aguascalientes,Aguascalientes,Vivienda Existente,Alia2+ Plus,26,7065348.02
001,01,2015,Aguascalientes,Aguascalientes,Vivienda Existente,Respalda2,2,254953.26
001,01,2015,Aguascalientes,Aguascalientes,Vivienda Existente,Respalda2M,168,0.0
002,01,2015,Aguascalientes,Asientos,Vivienda Existente,Respalda2M,9,0.0
003,01,2015,Aguascalientes,Calvillo,Vivienda Nueva,Tradicional,5,2497102.28
003,01,2015,Aguascalientes,Calvillo,Vivienda Nueva,Subsidios,1,574487.5
003,01,2015,Aguascalientes,Calvillo,Vivienda Nueva,Alia2+ Plus,1,123918.14
003,01,2015,Aguascalientes,Calvillo,Vivienda Existente,Tradicional,1,461473.63
003,01,2015,Aguascalientes,Calvillo,Vivienda Existente,Respalda2M,3,0.0
004,01,2015,Aguascalientes,Cosío,Vivienda Existente,Tradicional,1,474110.63
004,01,2015,Aguascalientes,Cosío,Vivienda Existente,Respalda2M,3,0.0
005,01,2015,Aguascalientes,Jesús María,Vivienda Nueva,Tradicional,140,100275942.5
005,01,2015,Aguascalientes,Jesús María,Vivienda Nueva,Fovissste infonavit conyugal,5,3016160.0
005,01,2015,Aguascalientes,Jesús María,Vivienda Nueva,Pensionados,5,2322861.9
005,01,2015,Aguascalientes,Jesús María,Vivienda Nueva,Subsidios,16,8353410.73
005,01,2015,Aguascalientes,Jesús María,Vivienda Nueva,Alia2+ Plus,22,6675972.74
005,01,2015,Aguascalientes,Jesús María,Vivienda Nueva,Respalda2,3,754379.65
005,01,2015,Aguascalientes,Jesús María,Vivienda Existente,Tradicional,19,10086122.7
005,01,2015,Aguascalientes,Jesús María,Vivienda Existente,Pensionados,2,850146.91
005,01,2015,Aguascalientes,Jesús María,Vivienda Existente,Alia2+ Plus,6,1871613.36
005,01,2015,Aguascalientes,Jesús María,Vivienda Existente,Respalda2M,14,0.0
006,01,2015,Aguascalientes,Pabellón de Arteaga,Vivienda Nueva,Tradicional,30,13313739.2
006,01,2015,Aguascalientes,Pabellón de Arteaga,Vivienda Nueva,Pensionados,1,347500.0
006,01,2015,Aguascalientes,Pabellón de Arteaga,Vivienda Existente,Tradicional,16,9012056.56
006,01,2015,Aguascalientes,Pabellón de Arteaga,Vivienda Existente,Pensionado con subsidio,1,216268.27
006,01,2015,Aguascalientes,Pabellón de Arteaga,Vivienda Existente,Subsidios,2,1082351.38
006,01,2015,Aguascalientes,Pabellón de Arteaga,Vivienda Existente,Respalda2M,12,0.0
007,01,2015,Aguascalientes,Rincón de Romos,Vivienda Nueva,Tradicional,16,6918271.17
007,01,2015,Aguascalientes,Rincón de Romos,Vivienda Nueva,Pensionados,3,1005319.91
007,01,2015,Aguascalientes,Rincón de Romos,Vivienda Nueva,Subsidios,12,4675251.97
007,01,2015,Aguascalientes,Rincón de Romos,Vivienda Nueva,Alia2+ Plus,8,1939556.89
007,01,2015,Aguascalientes,Rincón de Romos,Vivienda Nueva,Respalda2,1,285972.06
007,01,2015,Aguascalientes,Rincón de Romos,Vivienda Existente,Tradicional,6,3304256.5
007,01,2015,Aguascalientes,Rincón de Romos,Vivienda Existente,Alia2+ Plus,5,1213167.98
007,01,2015,Aguascalientes,Rincón de Romos,Vivienda Existente,Respalda2M,9,0.0
009,01,2015,Aguascalientes,Tepezalá,Vivienda Existente,Respalda2M,2,0.0
010,01,2015,Aguascalientes,El Llano,Vivienda Existente,Respalda2M,2,0.0
011,01,2015,Aguascalientes,San Francisco de los Romo,Vivienda Nueva,Tradicional,21,10562895.1
011,01,2015,Aguascalientes,San Francisco de los Romo,Vivienda Nueva,Pensionado con subsidio,1,133117.25
011,01,2015,Aguascalientes,San Francisco de los Romo,Vivienda Nueva,Alia2+ Plus,8,2251547.49
011,01,2015,Aguascalientes,San Francisco de los Romo,Vivienda Existente,Tradicional,2,1323000.0
011,01,2015,Aguascalientes,San Francisco de los Romo,Vivienda Existente,Pensionados,1,434000.0
011,01,2015,Aguascalientes,San Francisco de los Romo,Vivienda Existente,Respalda2M,8,0.0
001,02,2015,Baja California,Ensenada,Vivienda Nueva,Tradicional,61,50589799.94
001,02,2015,Baja California,Ensenada,Vivienda Nueva,Fovissste infonavit conyugal,1,989833.13
001,02,2015,Baja California,Ensenada,Vivienda Nueva,Pensionados,4,1456780.67
001,02,2015,Baja California,Ensenada,Vivienda Nueva,Alia2+ Plus,9,3806788.14
001,02,2015,Baja California,Ensenada,Vivienda Existente,Tradicional,132,96521015.92
001,02,2015,Baja California,Ensenada,Vivienda Existente,Fovissste infonavit conyugal,6,4518747.6
001,02,2015,Baja California,Ensenada,Vivienda Existente,Pensionados,5,2265410.17
001,02,2015,Baja California,Ensenada,Vivienda Existente,Alia2+ Plus,1,154390.34
001,02,2015,Baja California,Ensenada,Vivienda Existente,Respalda2M,6,0.0
002,02,2015,Baja California,Mexicali,Vivienda Nueva,Tradicional,264,189154959.9
002,02,2015,Baja California,Mexicali,Vivienda Nueva,Fovissste infonavit conyugal,9,6445976.62
002,02,2015,Baja California,Mexicali,Vivienda Nueva,Pensionados,8,3424202.73
002,02,2015,Baja California,Mexicali,Vivienda Nueva,Subsidios,61,29396532.41
002,02,2015,Baja California,Mexicali,Vivienda Nueva,Alia2+ Plus,9,2701927.45
002,02,2015,Baja California,Mexicali,Vivienda Existente,Tradicional,140,92457226.27
002,02,2015,Baja California,Mexicali,Vivienda Existente,Fovissste infonavit conyugal,5,2484269.74
002,02,2015,Baja California,Mexicali,Vivienda Existente,Pensionados,8,3081260.85
002,02,2015,Baja California,Mexicali,Vivienda Existente,Alia2+ Plus,2,540473.78
002,02,2015,Baja California,Mexicali,Vivienda Existente,Respalda2M,58,0.0
003,02,2015,Baja California,Tecate,Vivienda Nueva,Tradicional,1,477000.0
003,02,2015,Baja California,Tecate,Vivienda Nueva,Alia2+ Plus,1,381975.56
003,02,2015,Baja California,Tecate,Vivienda Existente,Tradicional,14,9966915.89
003,02,2015,Baja California,Tecate,Vivienda Existente,Pensionados,1,416000.0
003,02,2015,Baja California,Tecate,Vivienda Existente,Respalda2M,2,0.0
004,02,2015,Baja California,Tijuana,Vivienda Nueva,Tradicional,301,226160902.44
004,02,2015,Baja California,Tijuana,Vivienda Nueva,Fovissste infonavit conyugal,12,7159143.63
004,02,2015,Baja California,Tijuana,Vivienda Nueva,Pensionados,4,1660931.22
004,02,2015,Baja California,Tijuana,Vivienda Nueva,Subsidios,169,82568140.54
004,02,2015,Baja California,Tijuana,Vivienda Nueva,Alia2+ Plus,29,8002119.74
004,02,2015,Baja California,Tijuana,Vivienda Nueva,Respalda2,1,256972.45
004,02,2015,Baja California,Tijuana,Vivienda Existente,Tradicional,117,80108794.53
004,02,2015,Baja California,Tijuana,Vivienda Existente,Fovissste infonavit conyugal,9,5841622.63
004,02,2015,Baja California,Tijuana,Vivienda Existente,Pensionados,8,3210877.09
004,02,2015,Baja California,Tijuana,Vivienda Existente,Subsidios,2,967092.35
004,02,2015,Baja California,Tijuana,Vivienda Existente,Alia2+ Plus,8,2233904.55
004,02,2015,Baja California,Tijuana,Vivienda Existente,Respalda2M,14,0.0
