clave_municipio,clave_estado,ano,estado,municipio,sexo,grupo_edad,acciones,monto
017,07,2019,Chiapas,Cintalapa de Figueroa,Hombre,30 a 59,18,167232.0
017,07,2019,Chiapas,Cintalapa de Figueroa,Mujer,30 a 59,9,84223.0
017,07,2020,Chiapas,Cintalapa de Figueroa,Hombre,30 a 59,62,744000.0
017,07,2020,Chiapas,Cintalapa de Figueroa,Mujer,29 o menos,20,240000.0
017,07,2020,Chiapas,Cintalapa de Figueroa,Hombre,60 o más,16,192000.0
017,07,2020,Chiapas,Cintalapa de Figueroa,Hombre,29 o menos,13,156000.0
017,07,2019,Chiapas,Cintalapa de Figueroa,Mujer,29 o menos,3,29699.0
017,07,2020,Chiapas,Cintalapa de Figueroa,Mujer,60 o más,25,300000.0
017,07,2020,Chiapas,Cintalapa de Figueroa,Mujer,30 a 59,72,857492.0
017,07,2019,Chiapas,Cintalapa de Figueroa,Mujer,60 o más,1,9727.0
017,07,2019,Chiapas,Cintalapa de Figueroa,Hombre,60 o más,4,36987.0
001,01,2019,Aguascalientes,Aguascalientes,Mujer,29 o menos,11,132000.0
001,01,2019,Aguascalientes,Aguascalientes,Mujer,30 a 59,39,468000.0
001,01,2019,Aguascalientes,Aguascalientes,Mujer,60 o más,7,84000.0
001,01,2019,Aguascalientes,Aguascalientes,Hombre,60 o más,3,36000.0
001,01,2019,Aguascalientes,Aguascalientes,Hombre,30 a 59,43,516000.0
001,01,2019,Aguascalientes,Aguascalientes,Hombre,29 o menos,9,108000.0
005,01,2019,Aguascalientes,Jesús María,Mujer,30 a 59,25,300000.0
005,01,2019,Aguascalientes,Jesús María,Hombre,29 o menos,4,48000.0
005,01,2019,Aguascalientes,Jesús María,Mujer,29 o menos,6,72000.0
005,01,2019,Aguascalientes,Jesús María,Hombre,30 a 59,32,384000.0
005,01,2019,Aguascalientes,Jesús María,Hombre,60 o más,11,132000.0
005,01,2019,Aguascalientes,Jesús María,Mujer,60 o más,4,48000.0
010,01,2019,Aguascalientes,El Llano,Hombre,60 o más,2,24000.0
010,01,2019,Aguascalientes,El Llano,Mujer,30 a 59,5,60000.0
010,01,2019,Aguascalientes,El Llano,Hombre,30 a 59,9,108000.0
010,01,2019,Aguascalientes,El Llano,Mujer,60 o más,3,36000.0
010,01,2019,Aguascalientes,El Llano,Hombre,29 o menos,5,60000.0
010,01,2019,Aguascalientes,El Llano,Mujer,29 o menos,3,36000.0
001,04,2020,Campeche,Calkiní,Hombre,60 o más,11,132000.0
001,04,2019,Campeche,Calkiní,Mujer,60 o más,1,12000.0
001,04,2020,Campeche,Calkiní,Hombre,29 o menos,3,36000.0
001,04,2019,Campeche,Calkiní,Hombre,29 o menos,4,48000.0
001,04,2019,Campeche,Calkiní,Hombre,30 a 59,22,264000.0
001,04,2019,Campeche,Calkiní,Mujer,29 o menos,3,36000.0
001,04,2020,Campeche,Calkiní,Hombre,30 a 59,28,336000.0
001,04,2019,Campeche,Calkiní,Hombre,60 o más,5,60000.0
001,04,2020,Campeche,Calkiní,Mujer,60 o más,3,36000.0
001,04,2020,Campeche,Calkiní,Mujer,30 a 59,14,168000.0
001,04,2019,Campeche,Calkiní,Mujer,30 a 59,14,168000.0
017,05,2019,Coahuila de Zaragoza,Matamoros,Hombre,29 o menos,1,12000.0
017,05,2019,Coahuila de Zaragoza,Matamoros,Mujer,30 a 59,2,24000.0
017,05,2019,Coahuila de Zaragoza,Matamoros,Hombre,30 a 59,2,24000.0
025,05,2020,Coahuila de Zaragoza,Piedras Negras,Hombre,30 a 59,15,180000.0
025,05,2020,Coahuila de Zaragoza,Piedras Negras,Mujer,30 a 59,12,144000.0
025,05,2020,Coahuila de Zaragoza,Piedras Negras,Hombre,60 o más,3,36000.0
033,05,2020,Coahuila de Zaragoza,San Pedro,Mujer,60 o más,8,96000.0
033,05,2020,Coahuila de Zaragoza,San Pedro,Hombre,29 o menos,8,96000.0
033,05,2020,Coahuila de Zaragoza,San Pedro,Hombre,60 o más,5,60000.0
033,05,2020,Coahuila de Zaragoza,San Pedro,Mujer,29 o menos,4,48000.0
033,05,2020,Coahuila de Zaragoza,San Pedro,Mujer,30 a 59,32,384000.0
033,05,2020,Coahuila de Zaragoza,San Pedro,Hombre,30 a 59,21,252000.0
035,05,2019,Coahuila de Zaragoza,Torreón,Hombre,30 a 59,2,24000.0
008,06,2019,Colima,Minatitlán,Hombre,60 o más,1,12000.0
008,06,2019,Colima,Minatitlán,Mujer,30 a 59,7,84000.0
008,06,2019,Colima,Minatitlán,Mujer,29 o menos,1,12000.0
008,06,2019,Colima,Minatitlán,Mujer,60 o más,1,12000.0
008,06,2019,Colima,Minatitlán,Hombre,30 a 59,10,120000.0
008,06,2019,Colima,Minatitlán,Hombre,29 o menos,3,36000.0
002,07,2020,Chiapas,Acala,Mujer,29 o menos,10,120000.0
002,07,2020,Chiapas,Acala,Mujer,60 o más,11,132000.0
002,07,2020,Chiapas,Acala,Hombre,60 o más,10,120000.0
002,07,2020,Chiapas,Acala,Hombre,30 a 59,36,432000.0
002,07,2020,Chiapas,Acala,Hombre,29 o menos,6,72000.0
002,07,2020,Chiapas,Acala,Mujer,30 a 59,52,624000.0
012,07,2019,Chiapas,Berriozábal,Mujer,29 o menos,3,33567.0
012,07,2019,Chiapas,Berriozábal,Hombre,60 o más,15,175988.0
012,07,2020,Chiapas,Berriozábal,Hombre,29 o menos,1,12000.0
012,07,2020,Chiapas,Berriozábal,Mujer,29 o menos,3,36000.0
012,07,2019,Chiapas,Berriozábal,Hombre,30 a 59,25,284532.0
012,07,2020,Chiapas,Berriozábal,Hombre,30 a 59,8,96000.0
012,07,2020,Chiapas,Berriozábal,Mujer,60 o más,3,36000.0
012,07,2019,Chiapas,Berriozábal,Mujer,60 o más,7,77741.0
012,07,2020,Chiapas,Berriozábal,Mujer,30 a 59,4,48000.0
012,07,2020,Chiapas,Berriozábal,Hombre,60 o más,5,60000.0
012,07,2019,Chiapas,Berriozábal,Hombre,29 o menos,3,32888.0
012,07,2019,Chiapas,Berriozábal,Mujer,30 a 59,21,234735.0
101,07,2020,Chiapas,Tuxtla Gutiérrez,Mujer,30 a 59,2,24000.0
101,07,2020,Chiapas,Tuxtla Gutiérrez,Hombre,30 a 59,1,12000.0
101,07,2020,Chiapas,Tuxtla Gutiérrez,Mujer,60 o más,1,12000.0
101,07,2020,Chiapas,Tuxtla Gutiérrez,Hombre,60 o más,1,12000.0
107,07,2020,Chiapas,Villa Corzo,Mujer,29 o menos,15,180000.0
107,07,2020,Chiapas,Villa Corzo,Mujer,60 o más,29,348000.0
107,07,2020,Chiapas,Villa Corzo,Hombre,60 o más,28,336000.0
107,07,2020,Chiapas,Villa Corzo,Hombre,29 o menos,14,168000.0
107,07,2020,Chiapas,Villa Corzo,Hombre,30 a 59,58,696000.0
107,07,2020,Chiapas,Villa Corzo,Mujer,30 a 59,109,1308000.0
019,08,2020,Chihuahua,Chihuahua,Hombre,30 a 59,4,48000.0
019,08,2019,Chihuahua,Chihuahua,Mujer,30 a 59,1,12000.0
019,08,2020,Chihuahua,Chihuahua,Mujer,30 a 59,3,36000.0
037,08,2020,Chihuahua,Juárez,Hombre,29 o menos,1,12000.0
037,08,2020,Chihuahua,Juárez,Mujer,30 a 59,83,996000.0
037,08,2020,Chihuahua,Juárez,Mujer,29 o menos,4,48000.0
037,08,2020,Chihuahua,Juárez,Hombre,30 a 59,111,1332000.0
037,08,2020,Chihuahua,Juárez,Hombre,60 o más,22,264000.0
037,08,2020,Chihuahua,Juárez,Mujer,60 o más,22,264000.0
045,08,2020,Chihuahua,Meoqui,Mujer,30 a 59,6,72000.0
045,08,2020,Chihuahua,Meoqui,Hombre,29 o menos,1,12000.0
045,08,2020,Chihuahua,Meoqui,Hombre,30 a 59,5,60000.0
045,08,2020,Chihuahua,Meoqui,Mujer,60 o más,4,48000.0
045,08,2020,Chihuahua,Meoqui,Hombre,60 o más,1,12000.0
062,08,2019,Chihuahua,Saucillo,Mujer,60 o más,5,60000.0
062,08,2019,Chihuahua,Saucillo,Hombre,60 o más,1,12000.0
062,08,2020,Chihuahua,Saucillo,Mujer,30 a 59,1,12000.0
062,08,2019,Chihuahua,Saucillo,Hombre,29 o menos,4,48000.0
062,08,2019,Chihuahua,Saucillo,Mujer,29 o menos,3,36000.0
062,08,2019,Chihuahua,Saucillo,Mujer,30 a 59,14,168000.0
062,08,2019,Chihuahua,Saucillo,Hombre,30 a 59,11,132000.0
005,09,2020,Ciudad de México,Gustavo A. Madero,Mujer,29 o menos,2,24000.0
005,09,2020,Ciudad de México,Gustavo A. Madero,Hombre,30 a 59,21,252000.0
005,09,2020,Ciudad de México,Gustavo A. Madero,Hombre,60 o más,12,144000.0
005,09,2020,Ciudad de México,Gustavo A. Madero,Mujer,60 o más,12,144000.0
005,09,2020,Ciudad de México,Gustavo A. Madero,Mujer,30 a 59,18,216000.0
005,09,2020,Ciudad de México,Gustavo A. Madero,Hombre,29 o menos,2,24000.0
005,10,2019,Durango,Durango,Mujer,29 o menos,14,168000.0
005,10,2019,Durango,Durango,Hombre,29 o menos,18,216000.0
005,10,2019,Durango,Durango,Mujer,30 a 59,45,540000.0
005,10,2019,Durango,Durango,Hombre,30 a 59,29,348000.0
005,10,2019,Durango,Durango,Hombre,60 o más,4,48000.0
005,10,2019,Durango,Durango,Mujer,60 o más,9,108000.0
007,10,2019,Durango,Gómez Palacio,Hombre,29 o menos,3,36000.0
007,10,2019,Durango,Gómez Palacio,Mujer,60 o más,1,12000.0
007,10,2019,Durango,Gómez Palacio,Mujer,29 o menos,1,12000.0
007,10,2019,Durango,Gómez Palacio,Hombre,60 o más,1,12000.0
007,10,2019,Durango,Gómez Palacio,Mujer,30 a 59,3,36000.0
007,10,2019,Durango,Gómez Palacio,Hombre,30 a 59,3,36000.0
012,10,2019,Durango,Lerdo,Hombre,29 o menos,1,12000.0
012,10,2019,Durango,Lerdo,Mujer,30 a 59,1,12000.0
