ano,estado,municipio,pcu,avance_obra,tipo_vivienda,viviendas,clave_municipio,clave_estado
0,Nuevo León,General Escobedo,U1,Avance 60-79,Vertical,44,021,19
0,Michoacán de Ocampo,Zamora,U3,Avance 60-79,Vertical,76,108,16
0,Ciudad de México,Benito Juárez,U2,HBT + 5m,Vertical,19,014,09
0,Hidalgo,Zempoala,FC,Sin HBT,Horizontal,1,083,13
0,Veracruz de Ignacio de la Llave,Ixtaczoquitlán,U3,Avance 80-99,Horizontal,12,085,30
0,Veracruz de Ignacio de la Llave,Fortín,U3,Avance 20-39,Horizontal,6,068,30
0,Hidalgo,Epazoyucan,FC,Avance 40-59,Vertical,38,022,13
0,Chiapas,Tapachula,U3,Avance 40-59,Vertical,16,089,07
0,Nuevo León,García,U3,Avance 80-99,Vertical,6,018,19
0,Hidalgo,Tepeji del Río de Ocampo,U2,Avance 80-99,Horizontal,4,063,13
0,Ciudad de México,Iztacalco,ND,HBT + 5m,Vertical,41,006,09
0,Hidalgo,Zempoala,U3,HBT + 5m,Horizontal,142,083,13
0,México,Tecámac,U2,HBT - 5m,Vertical,13,081,15
0,Ciudad de México,Tláhuac,U2,Avance 80-99,Horizontal,1,011,09
0,Veracruz de Ignacio de la Llave,Boca del Río,FC,Sin HBT,Horizontal,2,028,30
0,Puebla,Amozoc,U2,Sin reporte,Horizontal,1,015,21
0,Guanajuato,Apaseo el Grande,FC,Avance 20-39,Horizontal,23,005,11
0,Jalisco,Zapotlán el Grande,U3,Avance 60-79,Horizontal,325,023,14
0,Sinaloa,Mazatlán,U3,Avance 80-99,Vertical,17,012,25
0,Querétaro,Querétaro,U3,Avance 1-19,Vertical,222,014,22
0,Nuevo León,Guadalupe,U2,Avance 80-99,Horizontal,99,026,19
0,Guerrero,Iguala de la Independencia,FC,Sin HBT,Vertical,2,035,12
0,Guanajuato,Purísima del Rincón,U2,HBT + 5m,Horizontal,2,025,11
0,Puebla,Puebla,U2,Avance 20-39,Vertical,68,114,21
0,Michoacán de Ocampo,La Piedad,U3,Avance 0,Vertical,120,069,16
0,Morelos,Ayala,U3,HBT - 5m,Horizontal,199,004,17
0,Hidalgo,Zimapán,FC,HBT + 5m,Horizontal,28,084,13
0,Sonora,Puerto Peñasco,U2,Avance 1-19,Horizontal,15,048,26
0,Sonora,Cajeme,U3,Avance 60-79,Vertical,16,018,26
0,Nuevo León,García,U3,Avance 40-59,Horizontal,466,018,19
0,Aguascalientes,San Francisco de los Romo,U3,Avance 20-39,Vertical,4,011,01
0,Jalisco,Arandas,FC,Sin reporte,Horizontal,6,008,14
0,Puebla,Tehuacán,U3,HBT + 5m,Vertical,5,156,21
0,Aguascalientes,San Francisco de los Romo,U3,Avance 0,Vertical,156,011,01
0,Veracruz de Ignacio de la Llave,Coatepec,U2,Avance 80-99,Horizontal,4,038,30
0,Sinaloa,Culiacán,U3,HBT + 5m,Vertical,69,006,25
0,Tamaulipas,Reynosa,U3,HBT - 5m,Vertical,76,032,28
0,Guanajuato,León,U3,Sin HBT,Horizontal,118,020,11
0,Baja California,Ensenada,U2,Sin reporte,Vertical,10,001,02
0,Coahuila de Zaragoza,Piedras Negras,FC,Avance 80-99,Horizontal,9,025,05
0,Jalisco,Tlajomulco de Zúñiga,U2,Avance 60-79,Horizontal,154,097,14
0,San Luis Potosí,Cerritos,FC,Avance 1-19,Horizontal,4,008,24
0,Nuevo León,Juárez,U1,Avance 40-59,Horizontal,11,031,19
0,Nayarit,Bahía de Banderas,FC,HBT - 5m,Horizontal,1,020,18
0,Puebla,Ahuazotepec,FC,HBT + 5m,Horizontal,1,008,21
0,México,Coacalco de Berriozábal,U2,Avance 60-79,Horizontal,46,020,15
0,Nuevo León,Apodaca,U2,Avance 20-39,Horizontal,74,006,19
0,Michoacán de Ocampo,Vista Hermosa,FC,HBT + 5m,Horizontal,3,105,16
0,Sinaloa,Ahome,U2,Avance 60-79,Vertical,2,001,25
0,Nuevo León,García,FC,HBT + 5m,Vertical,5,018,19
0,Veracruz de Ignacio de la Llave,Ixtaczoquitlán,U2,HBT + 5m,Horizontal,2,085,30
0,Chihuahua,Juárez,U2,Sin reporte,Horizontal,96,037,08
0,Sonora,Empalme,FC,HBT + 5m,Horizontal,1,025,26
0,Veracruz de Ignacio de la Llave,Coatzintla,U3,Avance 40-59,Vertical,70,040,30
0,Puebla,Coronango,U1,Avance 40-59,Horizontal,59,034,21
0,Nuevo León,Santa Catarina,U2,HBT - 5m,Vertical,3,048,19
0,México,Coacalco de Berriozábal,U1,Avance 0,Vertical,48,020,15
0,Zacatecas,Zacatecas,FC,HBT + 5m,Horizontal,2,056,32
0,Veracruz de Ignacio de la Llave,Xico,U2,Avance 0,Vertical,3,092,30
0,Nuevo León,General Escobedo,U1,Avance 0,Horizontal,4,021,19
0,Sonora,Nogales,U1,Sin HBT,Horizontal,4,043,26
0,Ciudad de México,Gustavo A. Madero,U1,Sin HBT,Vertical,12,005,09
0,Sinaloa,Culiacán,U3,Sin reporte,Horizontal,163,006,25
0,Jalisco,La Barca,U2,Avance 80-99,Horizontal,7,018,14
0,Jalisco,Lagos de Moreno,U2,Avance 80-99,Horizontal,22,053,14
0,Hidalgo,Epazoyucan,FC,Avance 1-19,Horizontal,155,022,13
