ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2015,Nuevo León,Santa Catarina,U3,Horizontal,17,048,19
2015,Puebla,Tehuacán,U3,Vertical,30,156,21
2017,Jalisco,Acatic,FC,Horizontal,2,001,14
2016,Puebla,Atlixco,U2,Horizontal,4,019,21
2017,Jalisco,Tonalá,U3,Vertical,189,101,14
2015,Nuevo León,Sabinas Hidalgo,U1,Horizontal,5,044,19
2016,Durango,Durango,U3,Horizontal,196,005,10
2015,Puebla,Puebla,U2,Vertical,1675,114,21
2017,Veracruz de Ignacio de la Llave,Ixtaczoquitlán,U3,Horizontal,190,085,30
2016,Tamaulipas,Reynosa,FC,Horizontal,48,032,28
2016,Michoacán de Ocampo,Purépero,FC,Horizontal,6,070,16
2017,Guerrero,Acapulco de Juárez,U3,Vertical,67,001,12
2017,Guanajuato,San Francisco del Rincón,FC,Horizontal,2,031,11
2015,Nuevo León,Sabinas Hidalgo,U2,Horizontal,72,044,19
2017,Hidalgo,Atotonilco de Tula,FC,Vertical,1718,013,13
2017,Coahuila de Zaragoza,Arteaga,U3,Horizontal,266,004,05
2017,Colima,Colima,U2,Vertical,28,002,06
2015,Jalisco,Tototlán,FC,Horizontal,2,105,14
2015,Tlaxcala,Xaloztoc,U1,Vertical,17,039,29
2016,Michoacán de Ocampo,Yurécuaro,U2,Horizontal,5,106,16
2017,Veracruz de Ignacio de la Llave,Río Blanco,U2,Horizontal,147,138,30
2015,Durango,Lerdo,U1,Horizontal,19,012,10
2015,Zacatecas,Morelos,FC,Horizontal,4,032,32
2016,Puebla,Puebla,U2,Horizontal,638,114,21
2017,Yucatán,Mérida,U2,Vertical,330,050,31
2015,Jalisco,El Salto,U3,Horizontal,66,070,14
2017,Michoacán de Ocampo,La Piedad,U1,Vertical,36,069,16
2017,México,Huehuetoca,FC,Vertical,240,035,15
2017,Colima,Colima,U1,Horizontal,44,002,06
2015,Nuevo León,Apodaca,U2,Horizontal,2084,006,19
2016,Guanajuato,León,U3,Vertical,1087,020,11
2015,Tamaulipas,Altamira,U1,Horizontal,2,003,28
2017,Ciudad de México,Cuauhtémoc,U1,Vertical,299,015,09
2016,Veracruz de Ignacio de la Llave,Coatepec,U2,Horizontal,1,038,30
2015,Nuevo León,Salinas Victoria,U3,Horizontal,81,045,19
2015,Jalisco,Tonalá,U2,Horizontal,941,101,14
2017,Tamaulipas,Altamira,U2,Vertical,96,003,28
2017,Nuevo León,Cadereyta Jiménez,U3,Vertical,76,009,19
2016,Aguascalientes,Pabellón de Arteaga,U3,Horizontal,5,006,01
2017,Ciudad de México,Iztapalapa,U2,Vertical,51,007,09
2016,Hidalgo,Tizayuca,U2,Horizontal,2158,069,13
2016,Colima,Coquimatlán,U3,Horizontal,20,004,06
2016,Nuevo León,García,FC,Horizontal,104,018,19
2015,Tamaulipas,Altamira,U3,Horizontal,38,003,28
2015,Colima,Villa de Álvarez,FC,Horizontal,11,010,06
2017,Morelos,Xochitepec,U3,Horizontal,86,028,17
2015,Hidalgo,Mineral de la Reforma,U2,Vertical,440,051,13
2015,Chiapas,Cintalapa de Figueroa,U2,Horizontal,5,017,07
2015,Tlaxcala,Huamantla,U2,Horizontal,37,013,29
2016,Aguascalientes,Cosío,FC,Horizontal,4,004,01
2015,Veracruz de Ignacio de la Llave,Minatitlán,U3,Horizontal,35,108,30
2017,Chiapas,Tapachula,U1,Horizontal,9,089,07
2017,Tabasco,Emiliano Zapata,U2,Horizontal,3,007,27
2015,Nuevo León,El Carmen,U3,Horizontal,11,010,19
2015,Coahuila de Zaragoza,Arteaga,U2,Horizontal,1,004,05
2016,Sonora,Hermosillo,U3,Horizontal,684,030,26
2015,Ciudad de México,Cuauhtémoc,U2,Vertical,109,015,09
2017,Aguascalientes,San Francisco de los Romo,U3,Horizontal,92,011,01
2016,Tlaxcala,Huamantla,U2,Vertical,53,013,29
2016,Tamaulipas,Reynosa,U2,Vertical,213,032,28
2017,Chiapas,Berriozábal,FC,Horizontal,24,012,07
2016,México,Tenancingo,U1,Horizontal,7,088,15
2015,Hidalgo,Atotonilco de Tula,U3,Vertical,180,013,13
2016,Coahuila de Zaragoza,Ramos Arizpe,U1,Horizontal,207,027,05
2016,Oaxaca,Santa María Atzompa,U3,Vertical,24,399,20
2017,Jalisco,Tlajomulco de Zúñiga,U3,Vertical,250,097,14
2016,Morelos,Temixco,U3,Vertical,6,018,17
2015,Jalisco,Jocotepec,U2,Horizontal,7,050,14
