ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2015,Nuevo León,Santa Catarina,U3,Horizontal,3,048,19
2017,Jalisco,Acatic,FC,Horizontal,2,001,14
2016,Puebla,Atlixco,U2,Horizontal,9,019,21
2017,Jalisco,Tonalá,U3,Vertical,468,101,14
2015,Nuevo León,Sabinas Hidalgo,U1,Horizontal,7,044,19
2016,Durango,Durango,U3,Horizontal,259,005,10
2015,Puebla,Puebla,U2,Vertical,1646,114,21
2017,Veracruz de Ignacio de la Llave,Ixtaczoquitlán,U3,Horizontal,33,085,30
2016,Tamaulipas,Reynosa,FC,Horizontal,260,032,28
2016,Michoacán de Ocampo,Purépero,FC,Horizontal,16,070,16
2017,Guerrero,Acapulco de Juárez,U3,Vertical,338,001,12
2017,Guanajuato,San Francisco del Rincón,FC,Horizontal,4,031,11
2015,Nuevo León,Sabinas Hidalgo,U2,Horizontal,2,044,19
2017,Hidalgo,Atotonilco de Tula,FC,Vertical,224,013,13
2017,Coahuila de Zaragoza,Arteaga,U3,Horizontal,350,004,05
2017,Nayarit,Xalisco,U1,Vertical,14,008,18
2015,Jalisco,Tototlán,FC,Horizontal,8,105,14
2015,Tlaxcala,Xaloztoc,U1,Vertical,10,039,29
2016,Michoacán de Ocampo,Yurécuaro,U2,Horizontal,5,106,16
2016,Chihuahua,Delicias,U3,Horizontal,151,021,08
2017,Veracruz de Ignacio de la Llave,Río Blanco,U2,Horizontal,21,138,30
2015,Durango,Lerdo,U1,Horizontal,49,012,10
2015,Zacatecas,Morelos,FC,Horizontal,3,032,32
2015,San Luis Potosí,Cerritos,U2,Horizontal,11,008,24
2016,Puebla,Puebla,U2,Horizontal,371,114,21
2015,Jalisco,El Salto,U3,Horizontal,414,070,14
2015,Puebla,Amozoc,U1,Horizontal,138,015,21
2017,Colima,Colima,U1,Horizontal,288,002,06
2015,Nuevo León,Apodaca,U2,Horizontal,1693,006,19
2017,Sonora,Guaymas,U3,Horizontal,37,029,26
2016,Guanajuato,León,U3,Vertical,256,020,11
2017,Ciudad de México,Cuauhtémoc,U1,Vertical,1141,015,09
2016,Veracruz de Ignacio de la Llave,Coatepec,U2,Horizontal,1,038,30
2015,Nuevo León,Salinas Victoria,U3,Horizontal,977,045,19
2015,Jalisco,Tonalá,U2,Horizontal,202,101,14
2017,Tamaulipas,Altamira,U2,Vertical,360,003,28
2017,Nuevo León,Cadereyta Jiménez,U3,Vertical,80,009,19
2017,Ciudad de México,Iztapalapa,U2,Vertical,188,007,09
2017,Chiapas,Chilón,FC,Vertical,1,031,07
2016,Hidalgo,Tizayuca,U2,Horizontal,447,069,13
2016,Colima,Coquimatlán,U3,Horizontal,24,004,06
2015,Tamaulipas,Altamira,U3,Horizontal,106,003,28
2017,Puebla,Zacapoaxtla,U3,Horizontal,1,207,21
2015,Hidalgo,Mineral de la Reforma,U2,Vertical,150,051,13
2015,Chiapas,Cintalapa de Figueroa,U2,Horizontal,5,017,07
2015,Tlaxcala,Huamantla,U2,Horizontal,65,013,29
2015,Veracruz de Ignacio de la Llave,Minatitlán,U3,Horizontal,50,108,30
2017,Chiapas,Tapachula,U1,Horizontal,6,089,07
2017,Tabasco,Emiliano Zapata,U2,Horizontal,3,007,27
2015,Nuevo León,El Carmen,U3,Horizontal,651,010,19
2015,Coahuila de Zaragoza,Arteaga,U2,Horizontal,1,004,05
2016,Sonora,Hermosillo,U3,Horizontal,1991,030,26
2015,Ciudad de México,Cuauhtémoc,U2,Vertical,363,015,09
2017,Quintana Roo,Benito Juárez,U1,Vertical,134,005,23
2017,Aguascalientes,San Francisco de los Romo,U3,Horizontal,168,011,01
2016,Tlaxcala,Huamantla,U2,Vertical,72,013,29
2016,Tamaulipas,Reynosa,U2,Vertical,69,032,28
2016,Zacatecas,Guadalupe,U1,Horizontal,1,017,32
2017,Michoacán de Ocampo,Zinapécuaro,U3,Horizontal,10,110,16
2015,Hidalgo,Atotonilco de Tula,U3,Vertical,180,013,13
2016,Coahuila de Zaragoza,Ramos Arizpe,U1,Horizontal,124,027,05
2017,Jalisco,Tlajomulco de Zúñiga,U3,Vertical,294,097,14
2017,Chiapas,Arriaga,U1,Horizontal,6,009,07
2016,Morelos,Temixco,U3,Vertical,504,018,17
2017,Ciudad de México,Benito Juárez,U1,Horizontal,94,014,09
2015,Guanajuato,San Luis de la Paz,U3,Vertical,30,033,11
2016,Hidalgo,Tepeapulco,U3,Horizontal,64,061,13
2017,Tamaulipas,Victoria,FC,Horizontal,74,041,28
2015,San Luis Potosí,Ciudad Fernández,U2,Horizontal,2,011,24
2017,Quintana Roo,Tulum,U3,Vertical,56,009,23
2016,México,La Paz,U1,Horizontal,26,070,15
2017,Coahuila de Zaragoza,Múzquiz,U3,Horizontal,438,020,05
2016,Veracruz de Ignacio de la Llave,Martínez de la Torre,U2,Horizontal,2,102,30
2016,Guanajuato,Acámbaro,U2,Horizontal,12,002,11
2017,Chihuahua,Guachochi,U3,Horizontal,13,027,08
2017,Tabasco,Emiliano Zapata,U3,Horizontal,1,007,27
2017,Michoacán de Ocampo,Morelia,FC,Horizontal,90,053,16
2016,Sonora,Magdalena,U2,Horizontal,16,036,26
2015,Veracruz de Ignacio de la Llave,Córdoba,U3,Vertical,117,044,30
2016,Chiapas,Berriozábal,U1,Horizontal,7,012,07
2015,Colima,Tecomán,U2,Horizontal,3,009,06
2015,Michoacán de Ocampo,La Piedad,U1,Horizontal,8,069,16
2015,Tamaulipas,Reynosa,U2,Vertical,114,032,28
2017,Chihuahua,Delicias,U3,Horizontal,59,021,08
2015,Baja California Sur,Los Cabos,U2,Vertical,369,008,03
2017,Veracruz de Ignacio de la Llave,San Andrés Tuxtla,U2,Horizontal,43,141,30
2016,Baja California Sur,Loreto,U1,Horizontal,1,009,03
2017,Puebla,San Salvador el Verde,U3,Horizontal,3,143,21
2015,Puebla,Atlixco,U2,Horizontal,11,019,21
2016,Coahuila de Zaragoza,San Buenaventura,U2,Horizontal,8,031,05
2017,Michoacán de Ocampo,Pátzcuaro,U2,Horizontal,15,066,16
2016,Jalisco,El Salto,U2,Vertical,1606,070,14
2015,Nayarit,Tepic,U2,Vertical,289,017,18
2015,Sonora,General Plutarco Elías Calles,FC,Horizontal,18,070,26
2015,Michoacán de Ocampo,Jiquilpan,U3,Horizontal,29,045,16
2015,Oaxaca,Heroica Ciudad de Huajuapan de León,U2,Horizontal,4,039,20
2015,Chihuahua,Camargo,U2,Horizontal,1,011,08
2015,Guanajuato,Cortazar,U3,Horizontal,21,011,11
2015,Michoacán de Ocampo,Sahuayo,U3,Horizontal,13,076,16
2015,Tabasco,Cárdenas,U2,Horizontal,3,002,27
2017,Veracruz de Ignacio de la Llave,Veracruz,U3,Vertical,900,193,30
2016,Morelos,Emiliano Zapata,U3,Vertical,67,008,17
2015,Morelos,Tlayacapan,FC,Horizontal,156,026,17
2016,Hidalgo,Santiago Tulantepec de Lugo Guerrero,U1,Horizontal,2,056,13
2015,Baja California,Tijuana,FC,Horizontal,42,004,02
2015,Quintana Roo,Benito Juárez,U3,Vertical,345,005,23
2016,Sonora,Empalme,U2,Horizontal,19,025,26
2016,Coahuila de Zaragoza,Saltillo,U3,Horizontal,355,030,05
2016,Jalisco,Ameca,U3,Horizontal,8,006,14
2017,Aguascalientes,Calvillo,U3,Horizontal,4,003,01
2015,Veracruz de Ignacio de la Llave,Coatzacoalcos,U2,Vertical,768,039,30
2015,Sonora,Cananea,U2,Horizontal,21,019,26
2017,Guanajuato,Salamanca,U2,Horizontal,4,027,11
2015,Jalisco,Ixtlahuacán de los Membrillos,U3,Horizontal,39,044,14
2015,Baja California,Tijuana,FC,Vertical,896,004,02
