ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2015,Nuevo León,Santa Catarina,U3,Horizontal,19,048,19
2017,Jalisco,Acatic,FC,Horizontal,2,001,14
2016,Puebla,Atlixco,U2,Horizontal,7,019,21
2016,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,U2,Horizontal,267,014,11
2017,México,Almoloya de Juárez,U3,Horizontal,76,005,15
2016,México,Tecámac,U3,Horizontal,1199,081,15
2016,Guanajuato,Salamanca,FC,Vertical,297,027,11
2016,Chiapas,Palenque,U1,Horizontal,26,065,07
2017,Jalisco,Tonalá,U3,Vertical,98,101,14
2015,México,Zumpango,U3,Vertical,108,120,15
2015,Nuevo León,Sabinas Hidalgo,U1,Horizontal,4,044,19
2016,Durango,Durango,U3,Horizontal,253,005,10
2015,Ciudad de México,Venustiano Carranza,U2,Vertical,43,017,09
2015,Puebla,Puebla,U2,Vertical,1539,114,21
2017,Veracruz de Ignacio de la Llave,Ixtaczoquitlán,U3,Horizontal,21,085,30
2015,Aguascalientes,Aguascalientes,FC,Horizontal,48,001,01
2016,Tamaulipas,Reynosa,FC,Horizontal,11,032,28
2016,Michoacán de Ocampo,Purépero,FC,Horizontal,4,070,16
2017,Guerrero,Acapulco de Juárez,U3,Vertical,197,001,12
2015,Coahuila de Zaragoza,Nava,U2,Horizontal,177,022,05
2017,Tabasco,Nacajuca,U1,Vertical,256,013,27
2015,México,Tonanitla,U3,Vertical,28,125,15
2017,Guanajuato,San Francisco del Rincón,FC,Horizontal,4,031,11
2015,Nuevo León,Sabinas Hidalgo,U2,Horizontal,2,044,19
2017,Puebla,Puebla,U3,Horizontal,4,114,21
2017,Hidalgo,Atotonilco de Tula,FC,Vertical,224,013,13
2017,Coahuila de Zaragoza,Arteaga,U3,Horizontal,350,004,05
2017,Jalisco,Zapotlán el Grande,U3,Horizontal,281,023,14
2017,Nayarit,Xalisco,U1,Vertical,14,008,18
2016,México,Nextlalpan,U3,Horizontal,30,059,15
